chapter,source_file,heading_level,heading_text,identifier,source_line,source_order
6,chapters/06-agile-methodologies.qmd,2,Running Effective Agile Meetings,running-effective-agile-meetings,1659,304
6,chapters/06-agile-methodologies.qmd,3,Meeting Anti-Patterns,meeting-anti-patterns,1663,305
6,chapters/06-agile-methodologies.qmd,3,Facilitating Effective Standups,facilitating-effective-standups,1692,306
6,chapters/06-agile-methodologies.qmd,3,Facilitating Effective Retrospectives,facilitating-effective-retrospectives,1724,307
6,chapters/06-agile-methodologies.qmd,3,Remote/Hybrid Agile,remote-hybrid-agile,1793,308
6,chapters/06-agile-methodologies.qmd,2,Adapting Agile to Your Context,adapting-agile-to-your-context,1839,309
6,chapters/06-agile-methodologies.qmd,3,Team Size Considerations,team-size-considerations,1843,310
6,chapters/06-agile-methodologies.qmd,3,Project Type Considerations,project-type-considerations,1873,311
6,chapters/06-agile-methodologies.qmd,3,Scaling Agile,scaling-agile,1899,312
6,chapters/06-agile-methodologies.qmd,2,Chapter Summary,chapter-summary,1933,313
6,chapters/06-agile-methodologies.qmd,2,Key Terms,key-terms,1961,314
6,chapters/06-agile-methodologies.qmd,2,Review Questions,review-questions,1983,315
6,chapters/06-agile-methodologies.qmd,2,Hands-On Exercises,hands-on-exercises,2007,316
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.1: Product Backlog Creation,exercise-6-1-product-backlog-creation,2009,317
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.2: Story Point Estimation,exercise-6-2-story-point-estimation,2019,318
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.3: Sprint Planning,exercise-6-3-sprint-planning,2029,319
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.4: Kanban Board Setup,exercise-6-4-kanban-board-setup,2040,320
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.5: Sprint Simulation,exercise-6-5-sprint-simulation,2060,321
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.6: Retrospective Facilitation,exercise-6-6-retrospective-facilitation,2074,322
6,chapters/06-agile-methodologies.qmd,3,Exercise 6.7: Agile Sprint Plan Document,exercise-6-7-agile-sprint-plan-document,2085,323
6,chapters/06-agile-methodologies.qmd,2,Further Reading,further-reading,2099,324
6,chapters/06-agile-methodologies.qmd,2,References,references,2120,325
7,chapters/07-version-control.qmd,1,Version Control Workflows,version-control-workflows,1,326
7,chapters/07-version-control.qmd,2,Learning Objectives,learning-objectives,3,327
7,chapters/07-version-control.qmd,2,Why Version Control Workflows Matter,why-version-control-workflows-matter,18,328
7,chapters/07-version-control.qmd,3,The Cost of Poor Version Control,the-cost-of-poor-version-control,29,329
7,chapters/07-version-control.qmd,3,What Good Workflows Provide,what-good-workflows-provide,43,330
7,chapters/07-version-control.qmd,2,Understanding Git Branching,understanding-git-branching,59,331
7,chapters/07-version-control.qmd,3,What Is a Branch?,what-is-a-branch,63,332
7,chapters/07-version-control.qmd,3,HEAD: Where You Are,head-where-you-are,76,333
7,chapters/07-version-control.qmd,3,Branch Operations,branch-operations,86,334
7,chapters/07-version-control.qmd,3,Merging Branches,merging-branches,134,335
7,chapters/07-version-control.qmd,3,Rebasing,rebasing,167,336
7,chapters/07-version-control.qmd,2,Branching Strategies,branching-strategies,210,337
7,chapters/07-version-control.qmd,3,Gitflow,gitflow,214,338
7,chapters/07-version-control.qmd,3,GitHub Flow,github-flow,342,339
7,chapters/07-version-control.qmd,3,Trunk-Based Development,trunk-based-development,462,340
7,chapters/07-version-control.qmd,3,Comparing Branching Strategies,comparing-branching-strategies,559,341
7,chapters/07-version-control.qmd,3,Choosing a Strategy,choosing-a-strategy,571,342
7,chapters/07-version-control.qmd,2,Pull Requests,pull-requests,603,343
7,chapters/07-version-control.qmd,3,Anatomy of a Good Pull Request,anatomy-of-a-good-pull-request,607,344
7,chapters/07-version-control.qmd,3,Writing Effective PR Descriptions,writing-effective-pr-descriptions,667,345
7,chapters/07-version-control.qmd,3,Pull Request Best Practices,pull-request-best-practices,710,346
7,chapters/07-version-control.qmd,3,Draft Pull Requests,draft-pull-requests,767,347
7,chapters/07-version-control.qmd,2,Code Review,code-review,803,348
7,chapters/07-version-control.qmd,3,Why Code Review Matters,why-code-review-matters,807,349
7,chapters/07-version-control.qmd,3,The Reviewer's Mindset,the-reviewer-s-mindset,829,350
7,chapters/07-version-control.qmd,3,What to Look For,what-to-look-for,843,351
7,chapters/07-version-control.qmd,3,Review Checklist,review-checklist,890,352
7,chapters/07-version-control.qmd,3,Giving Feedback,giving-feedback,937,353
7,chapters/07-version-control.qmd,3,Receiving Feedback,receiving-feedback,1010,354
7,chapters/07-version-control.qmd,3,Review Etiquette,review-etiquette,1050,355
7,chapters/07-version-control.qmd,3,Automated Checks,automated-checks,1068,356
7,chapters/07-version-control.qmd,2,Handling Merge Conflicts,handling-merge-conflicts,1113,357
7,chapters/07-version-control.qmd,3,Why Conflicts Happen,why-conflicts-happen,1117,358
7,chapters/07-version-control.qmd,3,Anatomy of a Conflict,anatomy-of-a-conflict,1147,359
7,chapters/07-version-control.qmd,3,Resolving Conflicts,resolving-conflicts,1167,360
7,chapters/07-version-control.qmd,3,Conflict Resolution Strategies,conflict-resolution-strategies,1214,361
7,chapters/07-version-control.qmd,3,Preventing Conflicts,preventing-conflicts,1240,362
7,chapters/07-version-control.qmd,3,Conflict Resolution Example,conflict-resolution-example,1264,363
7,chapters/07-version-control.qmd,3,Handling Complex Conflicts,handling-complex-conflicts,1355,364
7,chapters/07-version-control.qmd,2,Repository Hygiene,repository-hygiene,1383,365
7,chapters/07-version-control.qmd,3,Branch Naming Conventions,branch-naming-conventions,1387,366
7,chapters/07-version-control.qmd,3,Commit Message Conventions,commit-message-conventions,1433,367
7,chapters/07-version-control.qmd,3,Essential Repository Files,essential-repository-files,1510,368
7,chapters/07-version-control.qmd,3,Running the Application,running-the-application,1545,369
7,chapters/07-version-control.qmd,2,Documentation,documentation,1553,370
7,chapters/07-version-control.qmd,2,Contributing,contributing,1559,371
7,chapters/07-version-control.qmd,2,License,license,1563,372
7,chapters/07-version-control.qmd,3,Branch Protection,branch-protection,1700,373
7,chapters/07-version-control.qmd,3,Cleaning Up Branches,cleaning-up-branches,1763,374
7,chapters/07-version-control.qmd,3,Git Hooks,git-hooks,1791,375
7,chapters/07-version-control.qmd,2,Advanced Git Techniques,advanced-git-techniques,1876,376
7,chapters/07-version-control.qmd,3,Interactive Rebase,interactive-rebase,1878,377
7,chapters/07-version-control.qmd,3,Cherry-Pick,cherry-pick,1938,378
7,chapters/07-version-control.qmd,3,Stashing,stashing,1959,379
7,chapters/07-version-control.qmd,3,Bisect,bisect,2008,380
7,chapters/07-version-control.qmd,3,Reflog,reflog,2042,381
7,chapters/07-version-control.qmd,2,Workflow for Your Project,workflow-for-your-project,2076,382
7,chapters/07-version-control.qmd,3,Project Setup,project-setup,2080,383
7,chapters/07-version-control.qmd,3,Daily Workflow,daily-workflow,2097,384
7,chapters/07-version-control.qmd,3,Pull Request Process,pull-request-process,2124,385
7,chapters/07-version-control.qmd,3,Code Review Process,code-review-process,2151,386
7,chapters/07-version-control.qmd,3,Branch Cleanup,branch-cleanup,2170,387
7,chapters/07-version-control.qmd,2,Chapter Summary,chapter-summary,2184,388
7,chapters/07-version-control.qmd,2,Key Terms,key-terms,2212,389
7,chapters/07-version-control.qmd,2,Review Questions,review-questions,2234,390
7,chapters/07-version-control.qmd,2,Hands-On Exercises,hands-on-exercises,2258,391
7,chapters/07-version-control.qmd,3,Exercise 7.1: Branching Practice,exercise-7-1-branching-practice,2260,392
7,chapters/07-version-control.qmd,3,Exercise 7.2: Conflict Resolution,exercise-7-2-conflict-resolution,2273,393
7,chapters/07-version-control.qmd,3,Exercise 7.3: Interactive Rebase,exercise-7-3-interactive-rebase,2284,394
7,chapters/07-version-control.qmd,3,Exercise 7.4: Pull Request,exercise-7-4-pull-request,2298,395
7,chapters/07-version-control.qmd,3,Exercise 7.5: Code Review,exercise-7-5-code-review,2313,396
7,chapters/07-version-control.qmd,3,Exercise 7.6: Repository Setup,exercise-7-6-repository-setup,2325,397
7,chapters/07-version-control.qmd,3,Exercise 7.7: Git Hooks,exercise-7-7-git-hooks,2344,398
7,chapters/07-version-control.qmd,2,Further Reading,further-reading,2360,399
7,chapters/07-version-control.qmd,2,References,references,2383,400
8,chapters/08-testing-quality.qmd,1,Testing and Quality Assurance,testing-and-quality-assurance,1,401
8,chapters/08-testing-quality.qmd,2,Learning Objectives,learning-objectives,3,402
8,chapters/08-testing-quality.qmd,2,Why Testing Matters,why-testing-matters,20,403
8,chapters/08-testing-quality.qmd,3,The Cost of Bugs,the-cost-of-bugs,24,404
8,chapters/08-testing-quality.qmd,3,What Testing Provides,what-testing-provides,42,405
8,chapters/08-testing-quality.qmd,3,Testing vs. Quality Assurance,testing-vs-quality-assurance,54,406
8,chapters/08-testing-quality.qmd,2,Testing Levels,testing-levels,79,407
8,chapters/08-testing-quality.qmd,3,Unit Testing,unit-testing,85,408
8,chapters/08-testing-quality.qmd,3,Integration Testing,integration-testing,221,409
8,chapters/08-testing-quality.qmd,3,System Testing,system-testing,366,410
8,chapters/08-testing-quality.qmd,3,Acceptance Testing,acceptance-testing,424,411
8,chapters/08-testing-quality.qmd,3,End-to-End (E2E) Testing,end-to-end-e2e-testing,492,412
8,chapters/08-testing-quality.qmd,2,Test-Driven Development (TDD),test-driven-development-tdd,654,413
8,chapters/08-testing-quality.qmd,3,The TDD Cycle,the-tdd-cycle,658,414
8,chapters/08-testing-quality.qmd,3,TDD Example: Building a Shopping Cart,tdd-example-building-a-shopping-cart,669,415
8,chapters/08-testing-quality.qmd,3,Benefits of TDD,benefits-of-tdd,868,416
8,chapters/08-testing-quality.qmd,3,TDD Challenges,tdd-challenges,900,417
8,chapters/08-testing-quality.qmd,2,Writing Effective Tests,writing-effective-tests,928,418
8,chapters/08-testing-quality.qmd,3,Test Structure: Arrange-Act-Assert,test-structure-arrange-act-assert,932,419
8,chapters/08-testing-quality.qmd,3,Test Naming,test-naming,968,420
8,chapters/08-testing-quality.qmd,3,One Assertion Per Test (Usually),one-assertion-per-test-usually,1010,421
8,chapters/08-testing-quality.qmd,3,Test Data and Fixtures,test-data-and-fixtures,1078,422
8,chapters/08-testing-quality.qmd,3,Testing Edge Cases,testing-edge-cases,1168,423
8,chapters/08-testing-quality.qmd,3,Avoiding Test Smells,avoiding-test-smells,1252,424
8,chapters/08-testing-quality.qmd,2,Mocking and Test Doubles,mocking-and-test-doubles,1351,425
8,chapters/08-testing-quality.qmd,3,Types of Test Doubles,types-of-test-doubles,1355,426
8,chapters/08-testing-quality.qmd,3,Mocking in Practice,mocking-in-practice,1390,427
8,chapters/08-testing-quality.qmd,3,Mocking External APIs,mocking-external-apis,1539,428
8,chapters/08-testing-quality.qmd,3,When to Mock,when-to-mock,1601,429
8,chapters/08-testing-quality.qmd,3,Dependency Injection for Testability,dependency-injection-for-testability,1629,430
8,chapters/08-testing-quality.qmd,2,Code Coverage,code-coverage,1666,431
8,chapters/08-testing-quality.qmd,3,Types of Coverage,types-of-coverage,1670,432
8,chapters/08-testing-quality.qmd,3,Running Coverage Reports,running-coverage-reports,1766,433
8,chapters/08-testing-quality.qmd,3,Coverage Guidelines,coverage-guidelines,1797,434
8,chapters/08-testing-quality.qmd,3,Coverage Anti-Patterns,coverage-anti-patterns,1825,435
8,chapters/08-testing-quality.qmd,3,Meaningful Coverage Strategy,meaningful-coverage-strategy,1871,436
8,chapters/08-testing-quality.qmd,2,Test Planning and Documentation,test-planning-and-documentation,1895,437
8,chapters/08-testing-quality.qmd,3,Test Plan,test-plan,1899,438
8,chapters/08-testing-quality.qmd,3,Test Cases,test-cases,2001,439
8,chapters/08-testing-quality.qmd,3,Bug Reports,bug-reports,2075,440
8,chapters/08-testing-quality.qmd,3,Test Summary Report,test-summary-report,2123,441
8,chapters/08-testing-quality.qmd,2,Continuous Testing and CI Integration,continuous-testing-and-ci-integration,2195,442
8,chapters/08-testing-quality.qmd,3,CI Testing Pipeline,ci-testing-pipeline,2199,443
8,chapters/08-testing-quality.qmd,3,GitHub Actions Configuration,github-actions-configuration,2242,444
8,chapters/08-testing-quality.qmd,3,Test Parallelization,test-parallelization,2347,445
8,chapters/08-testing-quality.qmd,3,Test Reporting,test-reporting,2385,446
8,chapters/08-testing-quality.qmd,2,Performance and Security Testing,performance-and-security-testing,2414,447
8,chapters/08-testing-quality.qmd,3,Performance Testing,performance-testing,2418,448
8,chapters/08-testing-quality.qmd,3,Security Testing,security-testing,2478,449
8,chapters/08-testing-quality.qmd,2,Chapter Summary,chapter-summary,2581,450
8,chapters/08-testing-quality.qmd,2,Key Terms,key-terms,2611,451
8,chapters/08-testing-quality.qmd,2,Review Questions,review-questions,2633,452
8,chapters/08-testing-quality.qmd,2,Hands-On Exercises,hands-on-exercises,2657,453
8,chapters/08-testing-quality.qmd,3,Exercise 8.1: Unit Testing with TDD,exercise-8-1-unit-testing-with-tdd,2659,454
8,chapters/08-testing-quality.qmd,3,Exercise 8.2: Integration Testing,exercise-8-2-integration-testing,2676,455
8,chapters/08-testing-quality.qmd,3,Exercise 8.3: E2E Testing,exercise-8-3-e2e-testing,2688,456
8,chapters/08-testing-quality.qmd,3,Exercise 8.4: Test Coverage Analysis,exercise-8-4-test-coverage-analysis,2698,457
8,chapters/08-testing-quality.qmd,3,Exercise 8.5: Mocking Practice,exercise-8-5-mocking-practice,2708,458
8,chapters/08-testing-quality.qmd,3,Exercise 8.6: Test Plan Creation,exercise-8-6-test-plan-creation,2720,459
8,chapters/08-testing-quality.qmd,3,Exercise 8.7: CI Testing Pipeline,exercise-8-7-ci-testing-pipeline,2730,460
8,chapters/08-testing-quality.qmd,2,Further Reading,further-reading,2742,461
8,chapters/08-testing-quality.qmd,2,References,references,2769,462
9,chapters/09-cicd.qmd,1,Continuous Integration and Continuous Deployment,continuous-integration-and-continuous-deployment,1,463
9,chapters/09-cicd.qmd,2,Learning Objectives,learning-objectives,3,464
9,chapters/09-cicd.qmd,2,The Evolution of Software Delivery,the-evolution-of-software-delivery,19,465
9,chapters/09-cicd.qmd,3,The Old Way: Manual Releases,the-old-way-manual-releases,23,466
9,chapters/09-cicd.qmd,3,The CI/CD Revolution,the-ci-cd-revolution,80,467
9,chapters/09-cicd.qmd,3,Key Terminology,key-terminology,120,468
9,chapters/09-cicd.qmd,2,Continuous Integration Fundamentals,continuous-integration-fundamentals,177,469
9,chapters/09-cicd.qmd,3,Core CI Practices,core-ci-practices,181,470
9,chapters/09-cicd.qmd,3,The CI Feedback Loop,the-ci-feedback-loop,361,471
9,chapters/09-cicd.qmd,3,CI Anti-Patterns,ci-anti-patterns,391,472
9,chapters/09-cicd.qmd,2,Building CI Pipelines with GitHub Actions,building-ci-pipelines-with-github-actions,435,473
9,chapters/09-cicd.qmd,3,GitHub Actions Concepts,github-actions-concepts,439,474
9,chapters/09-cicd.qmd,3,Basic Workflow Structure,basic-workflow-structure,493,475
9,chapters/09-cicd.qmd,3,Complete CI Pipeline Example,complete-ci-pipeline-example,532,476
9,chapters/09-cicd.qmd,3,Workflow Triggers,workflow-triggers,792,477
9,chapters/09-cicd.qmd,3,Job Dependencies and Parallelization,job-dependencies-and-parallelization,841,478
9,chapters/09-cicd.qmd,3,Matrix Builds,matrix-builds,898,479
9,chapters/09-cicd.qmd,3,Caching Dependencies,caching-dependencies,939,480
9,chapters/09-cicd.qmd,3,Secrets and Environment Variables,secrets-and-environment-variables,984,481
9,chapters/09-cicd.qmd,2,Continuous Deployment Strategies,continuous-deployment-strategies,1040,482
9,chapters/09-cicd.qmd,3,Deployment Strategies Overview,deployment-strategies-overview,1044,483
9,chapters/09-cicd.qmd,3,Recreate Deployment,recreate-deployment,1079,484
9,chapters/09-cicd.qmd,3,Rolling Deployment,rolling-deployment,1122,485
9,chapters/09-cicd.qmd,3,Blue-Green Deployment,blue-green-deployment,1188,486
9,chapters/09-cicd.qmd,3,Canary Deployment,canary-deployment,1271,487
9,chapters/09-cicd.qmd,3,Feature Flags,feature-flags,1382,488
9,chapters/09-cicd.qmd,2,Environment Management,environment-management,1453,489
9,chapters/09-cicd.qmd,3,Environment Hierarchy,environment-hierarchy,1457,490
9,chapters/09-cicd.qmd,3,Environment Configuration,environment-configuration,1496,491
9,chapters/09-cicd.qmd,3,GitHub Actions Environments,github-actions-environments,1587,492
9,chapters/09-cicd.qmd,3,Secrets Management,secrets-management,1649,493
9,chapters/09-cicd.qmd,2,Infrastructure as Code,infrastructure-as-code,1710,494
9,chapters/09-cicd.qmd,3,Why Infrastructure as Code?,why-infrastructure-as-code,1714,495
9,chapters/09-cicd.qmd,3,Docker for Application Infrastructure,docker-for-application-infrastructure,1733,496
9,chapters/09-cicd.qmd,3,Terraform for Cloud Infrastructure,terraform-for-cloud-infrastructure,1843,497
9,chapters/09-cicd.qmd,3,CI/CD for Infrastructure,ci-cd-for-infrastructure,1996,498
9,chapters/09-cicd.qmd,2,Deployment Automation,deployment-automation,2080,499
9,chapters/09-cicd.qmd,3,Complete Deployment Pipeline,complete-deployment-pipeline,2082,500
9,chapters/09-cicd.qmd,3,Database Migrations in CI/CD,database-migrations-in-ci-cd,2263,501
9,chapters/09-cicd.qmd,3,Rollback Procedures,rollback-procedures,2335,502
9,chapters/09-cicd.qmd,2,Monitoring and Observability,monitoring-and-observability,2427,503
9,chapters/09-cicd.qmd,3,The Three Pillars of Observability,the-three-pillars-of-observability,2431,504
9,chapters/09-cicd.qmd,3,Key Metrics to Monitor,key-metrics-to-monitor,2462,505
9,chapters/09-cicd.qmd,3,Health Checks,health-checks,2495,506
9,chapters/09-cicd.qmd,3,Post-Deployment Verification,post-deployment-verification,2563,507
9,chapters/09-cicd.qmd,3,Alerting,alerting,2608,508
9,chapters/09-cicd.qmd,2,Troubleshooting CI/CD,troubleshooting-ci-cd,2645,509
9,chapters/09-cicd.qmd,3,Common Issues and Solutions,common-issues-and-solutions,2647,510
9,chapters/09-cicd.qmd,3,Debugging Techniques,debugging-techniques,2719,511
9,chapters/09-cicd.qmd,3,CI/CD Best Practices Checklist,ci-cd-best-practices-checklist,2768,512
9,chapters/09-cicd.qmd,2,Chapter Summary,chapter-summary,2819,513
9,chapters/09-cicd.qmd,2,Key Terms,key-terms,2845,514
9,chapters/09-cicd.qmd,2,Review Questions,review-questions,2867,515
9,chapters/09-cicd.qmd,2,Hands-On Exercises,hands-on-exercises,2891,516
9,chapters/09-cicd.qmd,3,Exercise 9.1: Basic CI Pipeline,exercise-9-1-basic-ci-pipeline,2893,517
9,chapters/09-cicd.qmd,3,Exercise 9.2: Matrix Testing,exercise-9-2-matrix-testing,2906,518
9,chapters/09-cicd.qmd,3,Exercise 9.3: Automated Deployment,exercise-9-3-automated-deployment,2915,519
9,chapters/09-cicd.qmd,3,Exercise 9.4: Docker and CI,exercise-9-4-docker-and-ci,2925,520
9,chapters/09-cicd.qmd,3,Exercise 9.5: Health Checks and Monitoring,exercise-9-5-health-checks-and-monitoring,2935,521
9,chapters/09-cicd.qmd,3,Exercise 9.6: Rollback Procedure,exercise-9-6-rollback-procedure,2945,522
9,chapters/09-cicd.qmd,3,Exercise 9.7: Complete CI/CD Pipeline,exercise-9-7-complete-ci-cd-pipeline,2955,523
9,chapters/09-cicd.qmd,2,Further Reading,further-reading,2969,524
9,chapters/09-cicd.qmd,2,References,references,2995,525
10,chapters/10-data-management.qmd,1,Data Management and APIs,data-management-and-apis,1,526
10,chapters/10-data-management.qmd,2,Learning Objectives,learning-objectives,3,527
10,chapters/10-data-management.qmd,2,The Role of Data in Software Systems,the-role-of-data-in-software-systems,20,528
10,chapters/10-data-management.qmd,3,Data Architecture Overview,data-architecture-overview,26,529
10,chapters/10-data-management.qmd,3,Key Data Management Concerns,key-data-management-concerns,64,530
10,chapters/10-data-management.qmd,2,Relational Databases,relational-databases,80,531
10,chapters/10-data-management.qmd,3,Core Concepts,core-concepts,84,532
10,chapters/10-data-management.qmd,3,SQL Fundamentals,sql-fundamentals,167,533
10,chapters/10-data-management.qmd,4,Data Definition Language (DDL),data-definition-language-ddl,173,534
10,chapters/10-data-management.qmd,4,Data Manipulation Language (DML),data-manipulation-language-dml,248,535
10,chapters/10-data-management.qmd,4,Joining Tables,joining-tables,364,536
10,chapters/10-data-management.qmd,4,Aggregations and Subqueries,aggregations-and-subqueries,417,537
10,chapters/10-data-management.qmd,3,Database Normalization,database-normalization,499,538
10,chapters/10-data-management.qmd,3,Transactions and ACID Properties,transactions-and-acid-properties,601,539
10,chapters/10-data-management.qmd,2,NoSQL Databases,nosql-databases,709,540
10,chapters/10-data-management.qmd,3,Types of NoSQL Databases,types-of-nosql-databases,715,541
10,chapters/10-data-management.qmd,3,Document Databases (MongoDB),document-databases-mongodb,751,542
10,chapters/10-data-management.qmd,3,Key-Value Stores (Redis),key-value-stores-redis,888,543
10,chapters/10-data-management.qmd,3,Choosing Between SQL and NoSQL,choosing-between-sql-and-nosql,1049,544
10,chapters/10-data-management.qmd,2,RESTful API Design,restful-api-design,1099,545
10,chapters/10-data-management.qmd,3,REST Principles,rest-principles,1103,546
10,chapters/10-data-management.qmd,3,Resource-Oriented Design,resource-oriented-design,1139,547
10,chapters/10-data-management.qmd,3,HTTP Methods and CRUD Operations,http-methods-and-crud-operations,1195,548
10,chapters/10-data-management.qmd,3,HTTP Status Codes,http-status-codes,1245,549
10,chapters/10-data-management.qmd,3,Implementing a RESTful API,implementing-a-restful-api,1286,550
10,chapters/10-data-management.qmd,3,Response Structure,response-structure,1555,551
10,chapters/10-data-management.qmd,2,GraphQL,graphql,1601,552
10,chapters/10-data-management.qmd,3,The Problem GraphQL Solves,the-problem-graphql-solves,1605,553
10,chapters/10-data-management.qmd,3,GraphQL Schema,graphql-schema,1640,554
10,chapters/10-data-management.qmd,3,Writing GraphQL Queries,writing-graphql-queries,1773,555
10,chapters/10-data-management.qmd,3,GraphQL Mutations,graphql-mutations,1908,556
10,chapters/10-data-management.qmd,3,Implementing GraphQL Resolvers,implementing-graphql-resolvers,1955,557
10,chapters/10-data-management.qmd,3,The N+1 Problem and DataLoader,the-n-1-problem-and-dataloader,2100,558
10,chapters/10-data-management.qmd,2,API Documentation,api-documentation,2165,559
10,chapters/10-data-management.qmd,3,OpenAPI Specification,openapi-specification,2169,560
10,chapters/10-data-management.qmd,3,Serving Documentation,serving-documentation,2296,561
10,chapters/10-data-management.qmd,2,Data Validation,data-validation,2317,562
10,chapters/10-data-management.qmd,3,Validation with Joi,validation-with-joi,2321,563
10,chapters/10-data-management.qmd,3,Centralized Error Handling,centralized-error-handling,2409,564
10,chapters/10-data-management.qmd,2,API Security,api-security,2491,565
10,chapters/10-data-management.qmd,3,Authentication with JWT,authentication-with-jwt,2495,566
10,chapters/10-data-management.qmd,3,Rate Limiting,rate-limiting,2571,567
10,chapters/10-data-management.qmd,2,Caching Strategies,caching-strategies,2611,568
10,chapters/10-data-management.qmd,3,Cache-Aside Pattern,cache-aside-pattern,2615,569
10,chapters/10-data-management.qmd,3,Cache Invalidation Challenges,cache-invalidation-challenges,2691,570
10,chapters/10-data-management.qmd,2,Chapter Summary,chapter-summary,2710,571
10,chapters/10-data-management.qmd,2,Key Terms,key-terms,2734,572
10,chapters/10-data-management.qmd,2,Review Questions,review-questions,2756,573
10,chapters/10-data-management.qmd,2,Hands-On Exercises,hands-on-exercises,2780,574
10,chapters/10-data-management.qmd,3,Exercise 10.1: Database Design,exercise-10-1-database-design,2782,575
10,chapters/10-data-management.qmd,3,Exercise 10.2: SQL Query Practice,exercise-10-2-sql-query-practice,2793,576
10,chapters/10-data-management.qmd,3,Exercise 10.3: REST API Implementation,exercise-10-3-rest-api-implementation,2803,577
10,chapters/10-data-management.qmd,3,Exercise 10.4: API Documentation,exercise-10-4-api-documentation,2813,578
10,chapters/10-data-management.qmd,3,Exercise 10.5: Caching Implementation,exercise-10-5-caching-implementation,2823,579
10,chapters/10-data-management.qmd,3,Exercise 10.6: GraphQL Alternative,exercise-10-6-graphql-alternative,2833,580
10,chapters/10-data-management.qmd,2,Further Reading,further-reading,2844,581
10,chapters/10-data-management.qmd,2,References,references,2862,582
11,chapters/11-cloud-services.qmd,1,Cloud Services and Deployment,cloud-services-and-deployment,1,583
11,chapters/11-cloud-services.qmd,2,Learning Objectives,learning-objectives,3,584
11,chapters/11-cloud-services.qmd,2,The Cloud Computing Revolution,the-cloud-computing-revolution,18,585
11,chapters/11-cloud-services.qmd,3,What is Cloud Computing?,what-is-cloud-computing,26,586
11,chapters/11-cloud-services.qmd,3,Cloud Service Models,cloud-service-models,64,587
11,chapters/11-cloud-services.qmd,3,Major Cloud Providers,major-cloud-providers,116,588
11,chapters/11-cloud-services.qmd,2,Core Cloud Services,core-cloud-services,153,589
11,chapters/11-cloud-services.qmd,3,Compute Services,compute-services,157,590
11,chapters/11-cloud-services.qmd,3,Storage Services,storage-services,195,591
11,chapters/11-cloud-services.qmd,3,Database Services,database-services,246,592
11,chapters/11-cloud-services.qmd,3,Networking Services,networking-services,311,593
11,chapters/11-cloud-services.qmd,2,Containerization with Docker,containerization-with-docker,409,594
11,chapters/11-cloud-services.qmd,3,The Problem Containers Solve,the-problem-containers-solve,413,595
11,chapters/11-cloud-services.qmd,3,Docker Fundamentals,docker-fundamentals,447,596
11,chapters/11-cloud-services.qmd,3,Docker Compose for Local Development,docker-compose-for-local-development,566,597
11,chapters/11-cloud-services.qmd,3,Container Best Practices,container-best-practices,681,598
11,chapters/11-cloud-services.qmd,2,Container Orchestration with Kubernetes,container-orchestration-with-kubernetes,755,599
11,chapters/11-cloud-services.qmd,3,Why Kubernetes?,why-kubernetes,759,600
11,chapters/11-cloud-services.qmd,3,Core Kubernetes Concepts,core-kubernetes-concepts,805,601
11,chapters/11-cloud-services.qmd,3,Deploying to Kubernetes,deploying-to-kubernetes,1009,602
11,chapters/11-cloud-services.qmd,3,Horizontal Pod Autoscaling,horizontal-pod-autoscaling,1063,603
11,chapters/11-cloud-services.qmd,3,Managed Kubernetes Services,managed-kubernetes-services,1126,604
11,chapters/11-cloud-services.qmd,2,Serverless Computing,serverless-computing,1163,605
11,chapters/11-cloud-services.qmd,3,What is Serverless?,what-is-serverless,1167,606
11,chapters/11-cloud-services.qmd,3,AWS Lambda,aws-lambda,1200,607
11,chapters/11-cloud-services.qmd,3,Infrastructure as Code for Lambda,infrastructure-as-code-for-lambda,1328,608
11,chapters/11-cloud-services.qmd,3,Serverless Patterns,serverless-patterns,1469,609
11,chapters/11-cloud-services.qmd,3,When to Use Serverless,when-to-use-serverless,1613,610
11,chapters/11-cloud-services.qmd,2,Infrastructure as Code,infrastructure-as-code,1663,611
11,chapters/11-cloud-services.qmd,3,Benefits of Infrastructure as Code,benefits-of-infrastructure-as-code,1667,612
11,chapters/11-cloud-services.qmd,3,Terraform,terraform,1701,613
11,chapters/11-cloud-services.qmd,3,Terraform Workflow,terraform-workflow,1962,614
11,chapters/11-cloud-services.qmd,3,Terraform Best Practices,terraform-best-practices,1994,615
11,chapters/11-cloud-services.qmd,2,Cloud Security Best Practices,cloud-security-best-practices,2030,616
11,chapters/11-cloud-services.qmd,3,Identity and Access Management,identity-and-access-management,2034,617
11,chapters/11-cloud-services.qmd,3,Secrets Management,secrets-management,2100,618
11,chapters/11-cloud-services.qmd,3,Network Security,network-security,2150,619
11,chapters/11-cloud-services.qmd,2,Cost Optimization,cost-optimization,2184,620
11,chapters/11-cloud-services.qmd,3,Understanding Cloud Pricing,understanding-cloud-pricing,2188,621
11,chapters/11-cloud-services.qmd,3,Cost Optimization Strategies,cost-optimization-strategies,2197,622
11,chapters/11-cloud-services.qmd,2,Chapter Summary,chapter-summary,2278,623
11,chapters/11-cloud-services.qmd,2,Key Terms,key-terms,2298,624
