block_id,chapter,section,source_file,source_line,language_or_class,first_meaningful_line,last_meaningful_line,line_count,sha256,semantic_candidate
block-0173,6,Kanban Metrics,chapters/06-agile-methodologies.qmd,896,(untyped),Request ──────► Start ──────────────► Complete,│←── Cycle Time ────────►│,3,991a52bf0ae56650ac2377b0fe1614c5e8000167af0843ea92450b2d5ca72335,ASCII_DIAGRAM
block-0174,6,Kanban Metrics,chapters/06-agile-methodologies.qmd,906,(untyped),Week 1: 12 items completed,Average Throughput: 12.7 items/week,5,c628ec1eb618bea19d995ba709c8e8efd89515a87a3a741e0501e93f8da936c7,PLAIN_VERBATIM
block-0175,6,Kanban Metrics,chapters/06-agile-methodologies.qmd,918,(untyped),Items,1    2    3    4    5    6    7,15,9ab266f9a299700d19aea5f10ecaf6e14c236c18a563750935533759676d9436,ASCII_DIAGRAM
block-0176,6,The TDD Cycle,chapters/06-agile-methodologies.qmd,1017,(untyped),┌────────────────────────┐,└──────────────────────┘,27,0103a17dbb8240c3b445c322961ad40f2a3b29dda38829f8a61b0cea95358f8b,ASCII_DIAGRAM
block-0177,6,The TDD Cycle,chapters/06-agile-methodologies.qmd,1049,python,# Step 1: RED - Write a failing test,# Continue cycle...,38,a1d36ba4eaf2f1c240046b4946a97eaebd27a33fe75b25e7651b227cb9a8c842,PROGRAM_CODE
block-0178,6,Story Points,chapters/06-agile-methodologies.qmd,1137,(untyped),"1, 2, 3, 5, 8, 13, 21, (40, 100)","1, 2, 3, 5, 8, 13, 21, (40, 100)",1,1afb1e226fecdb92e9c213125c287e9588f76b120ee5b17eeef5b62d81cf77c8,PLAIN_VERBATIM
block-0179,6,Story Points,chapters/06-agile-methodologies.qmd,1147,(untyped),"Reference: ""User can log in with email/password"" = 3 points","• ""User can log in with SSO (Google, Microsoft)"" → Much more complex → 8 points",7,0c4336244aca1d1c73b1eb202298a71301197b8ee6aaf0e96e34fe65805947d0,PLAIN_VERBATIM
block-0180,6,Planning Poker,chapters/06-agile-methodologies.qmd,1170,(untyped),PLANNING POKER SESSION,Final: Team agrees on 8 (erring toward higher due to query work),22,81c4e4b6d2f8fab459067757c1434865ece2160bf04407fb2f9e6a7e27aa0f82,ASCII_DIAGRAM
block-0181,6,Velocity and Capacity Planning,chapters/06-agile-methodologies.qmd,1207,(untyped),Sprint 1: 21 points completed,Average Velocity: 21 points per sprint,7,e0446b4891eb957df10d696ccf07af42a53256d2b2e64c586e0012e9a06664bd,PLAIN_VERBATIM
block-0182,6,Estimation Alternatives,chapters/06-agile-methodologies.qmd,1252,(untyped),XS = 1 point,XL = 13 points (should probably be split),5,25efeb77c8a41c045b929e10af4235b7f4e3cd33e3285549355c7ad66b0be971,PLAIN_VERBATIM
block-0183,6,GitHub Projects,chapters/06-agile-methodologies.qmd,1289,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└────────────────┴────────────────┴────────────────┴────────────────┴─────┘,17,2a53e5aae8ebe32c05992ea926bccb389485e82726590aa8173a45a9f5d374f7,ASCII_DIAGRAM
block-0184,6,GitHub Projects,chapters/06-agile-methodologies.qmd,1311,(untyped),┌──────────────────────────────────────────────────────────────────────────┐,└──────────────────────┴─────────────┴──────────┴────────┴────────┴────────┘,11,6eb31c44f5be18b6b3e229ce10e6810164bd3429fa2cfa4100f0aa258d748c00,ASCII_DIAGRAM
block-0185,6,GitHub Projects,chapters/06-agile-methodologies.qmd,1336,markdown,# Issue Template Example,## Sprint: Sprint 3,15,9014f3ab524daec32ad3253428dbfe97b5fe954f3d5924e3c4b5bcff820b57e0,PLAIN_VERBATIM
block-0186,6,Jira,chapters/06-agile-methodologies.qmd,1369,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,◇ = Story Point    🔥 = High Priority    📘 = Story    🐛 = Bug,27,47a9048ff72f7c6f5c955089d3d11b6f2c4deaec60d1389a4b1eec0b4c6532fc,ASCII_DIAGRAM
block-0187,6,The Work Hierarchy,chapters/06-agile-methodologies.qmd,1440,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,23,80aac39951768ed9f02fe2debb24188e367db85107264a6758aa8a67605a85d3,ASCII_DIAGRAM
block-0188,6,Epics,chapters/06-agile-methodologies.qmd,1479,(untyped),EPIC: User Authentication System,└── Story: User can add comments to tasks,18,a6a1beb331c75c796a123408251b3959a5ba50526e84080ee223b55283d350d0,ASCII_DIAGRAM
block-0189,6,User Stories (Review),chapters/06-agile-methodologies.qmd,1523,(untyped),Original: User can purchase a product,• User can review and confirm order,8,76bdc8924230815d9ad3b0e2e0e89c4e6850b08396f67bd806ae0963ed6bca38,PLAIN_VERBATIM
block-0190,6,User Stories (Review),chapters/06-agile-methodologies.qmd,1536,(untyped),Original: User can search for products,• User can sort search results,7,30d66f3134652e7415e106383cef6d07d4150ea32f9516c6d0a56e6abe28a1bf,PLAIN_VERBATIM
block-0191,6,User Stories (Review),chapters/06-agile-methodologies.qmd,1548,(untyped),Original: User can log in,• User can log in with Microsoft,6,befda8c41da60f7f74bcd54ded3e360ec7f53d889067b1a0f5c530163e59e377,PLAIN_VERBATIM
block-0192,6,User Stories (Review),chapters/06-agile-methodologies.qmd,1559,(untyped),Original: User can manage tasks,• User can delete tasks,7,0ab046a54b2fb6f973c9d3598e844ca280c5ddf83833c3bc99dc228617d4f7f3,PLAIN_VERBATIM
block-0193,6,User Stories (Review),chapters/06-agile-methodologies.qmd,1571,(untyped),Original: User can view reports,• Admin can view all reports,6,5f4624b7b0926ac2d47a8c0333f2dc723fcc5bf1373ff85ee88a0e1dcad040c0,PLAIN_VERBATIM
block-0194,6,Tasks,chapters/06-agile-methodologies.qmd,1593,(untyped),STORY: User can create tasks (5 points),└────────────────────────────────────────────────────────┴───────┴─────────┘,19,d9201db55ff483eb7ec56083c474ef93bb27910119635c6a7c9e5a832cb14e7b,ASCII_DIAGRAM
block-0195,6,Definition of Ready and Definition of Done,chapters/06-agile-methodologies.qmd,1621,(untyped),DEFINITION OF READY,☑ Product Owner is available to answer questions,12,fa6662b07fb0dc5b9e182f8cfb10c23ab88d62c5875dd0ddb95f08228a648c06,ASCII_DIAGRAM
block-0196,6,Definition of Ready and Definition of Done,chapters/06-agile-methodologies.qmd,1640,(untyped),DEFINITION OF DONE,☑ No known bugs remain,14,f8645a37607869edb706d7c8ac4f1536c909b098f7bd151c2617dc8e7390a042,ASCII_DIAGRAM
block-0197,6,Meeting Anti-Patterns,chapters/06-agile-methodologies.qmd,1667,(untyped),❌ Each person reports to the Scrum Master,❌ Feels like micromanagement,4,3796e7de4679bf4bd1fb914420fe882166bf5c9109cb73d4c664889ecc39921b,PLAIN_VERBATIM
block-0198,6,Meeting Anti-Patterns,chapters/06-agile-methodologies.qmd,1676,(untyped),❌ Goes hours over time-box,❌ Team disengages,4,dbe5adbc14888b539baae8ee934394d26bfa72a06662635a92173957030f66ca,PLAIN_VERBATIM
block-0199,6,Meeting Anti-Patterns,chapters/06-agile-methodologies.qmd,1685,(untyped),❌ Focus on who made mistakes,❌ No action items,4,5c83ef85c0a1eed652d80a647c3b78246ff484cb9534a17b8a3f3be0ca719c39,PLAIN_VERBATIM
block-0200,6,Facilitating Effective Standups,chapters/06-agile-methodologies.qmd,1696,(untyped),DAILY STANDUP FACILITATION,"• ""Let's keep moving—we can discuss offline""",25,96d792d74fd81d6805de4edbb86ce018a00f9841a698179b4451820323e77c19,ASCII_DIAGRAM
block-0201,6,Facilitating Effective Retrospectives,chapters/06-agile-methodologies.qmd,1728,(untyped),RETROSPECTIVE FACILITATION,• Quick feedback on the retro itself,27,0fed0b53e9a26084c1cab12683743c2c8e0e8384058578ba9dde5e4fb0971272,ASCII_DIAGRAM
block-0202,6,Facilitating Effective Retrospectives,chapters/06-agile-methodologies.qmd,1760,(untyped),SPRINT 4 RETROSPECTIVE,"3. [Scrum Master] Audit meeting calendar, propose reductions",30,96c11034a13b1478493a99b6fc2f893a3e5700dada19edcba1af3a7b9d8f6636,ASCII_DIAGRAM
block-0203,6,Remote/Hybrid Agile,chapters/06-agile-methodologies.qmd,1813,(untyped),ASYNC STANDUP (via Slack/Teams),Thread replies for questions or offers to help.,21,4d91ec642466806d46219694f4477b1bb713c6895b16f2278fd7171885818008,ASCII_DIAGRAM
block-0204,6,Exercise 6.4: Kanban Board Setup,chapters/06-agile-methodologies.qmd,2046,(untyped),-   Backlog,-   Done,5,beb4ae52dc5d26d6066cad0c2645bf5b3e418528e8d14b3df8c990889326d0ef,PLAIN_VERBATIM
block-0205,7,Branch Operations,chapters/07-version-control.qmd,90,bash,# Create a new branch,git switch -c feature-login,8,6cc29b8ca8a365132340b736725bf7c1994c8ecaedc81cc29d41fefb12b5e103,TERMINAL_SESSION
block-0206,7,Branch Operations,chapters/07-version-control.qmd,103,bash,# Traditional,git switch main,5,fa0699665b4e79d46b89e307a4dc4cd39f85bd2a49021bbedaea63b2e8951ab1,TERMINAL_SESSION
block-0207,7,Branch Operations,chapters/07-version-control.qmd,113,bash,# List local branches,git branch -v,8,ec4fe5ebe3efebcea7d29aab2d2d92a5b1ba06b30769eb70a5f8a6acf1387718,TERMINAL_SESSION
block-0208,7,Branch Operations,chapters/07-version-control.qmd,126,bash,# Delete a merged branch,git branch -D experimental-feature,5,3f9099e47dc97aed3cc8e0af27ad6e93cf2d26df1f4013e9dec76f521ecc612d,TERMINAL_SESSION
block-0209,7,Merging Branches,chapters/07-version-control.qmd,155,bash,# Merge feature into current branch (main),git merge --abort,9,5511b718702e51d61abd1b1ba21d28997acf19ec33d5310e962981a3c5b5b33d,TERMINAL_SESSION
block-0210,7,Rebasing,chapters/07-version-control.qmd,177,bash,# Rebase current branch onto main,git rebase --continue,11,18d812dcf721ea5de18a9d6996992044226779b492f6091eb89d867745b892a9,TERMINAL_SESSION
block-0211,7,Gitflow,chapters/07-version-control.qmd,220,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,33,26fe2fa386f3ed1fcea68bf9e74f9c1abb502325c216460fc827505a9ef1cf40,ASCII_DIAGRAM
block-0212,7,Gitflow,chapters/07-version-control.qmd,264,bash,# Create feature branch from develop,git branch -d feature/user-authentication,15,4ec010e691661245a1516c3bda5939d65fd5bb684c30438154450569f09db188,TERMINAL_SESSION
block-0213,7,Gitflow,chapters/07-version-control.qmd,284,bash,# Create release branch from develop,git branch -d release/1.2.0,16,1d21b3f05a1174abec813a57e6c35ddf12667d10ecec962c6f993ed97ead8c40,TERMINAL_SESSION
block-0214,7,Gitflow,chapters/07-version-control.qmd,305,bash,# Create hotfix branch from main,git branch -d hotfix/critical-security-fix,16,f235d1abf4fd1750dc1840e466bc9338a9311fbd9b0fb5f001e6ad59dca62873,TERMINAL_SESSION
block-0215,7,GitHub Flow,chapters/07-version-control.qmd,348,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,16,19f7ede0afd2785611e3b2615aa1dd5203027080ab72f437e12bbf9c04645476,ASCII_DIAGRAM
block-0216,7,GitHub Flow,chapters/07-version-control.qmd,373,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,33,3560d550d9a7c125a0fa332b12f59f759d6238ae7061ac9b6879457e109724ac,ASCII_DIAGRAM
block-0217,7,GitHub Flow,chapters/07-version-control.qmd,411,bash,# 1. Create a branch,git branch -d add-password-reset,30,b4688289cc39c6407498f124bce4555c4a6171dd31c1cf02102601def25465a1,TERMINAL_SESSION
block-0218,7,Trunk-Based Development,chapters/07-version-control.qmd,468,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,21,7b993c939abadeb62609aed9e87fe1a71092bc6d00f1d7f7a822c8d6a449f06f,ASCII_DIAGRAM
block-0219,7,Trunk-Based Development,chapters/07-version-control.qmd,500,python,# Feature flag example,return render_old_checkout(cart),5,0e1d50159d52e76f5a51d86979351464186d96e59ba448c1774a72c8bc2c9f28,PROGRAM_CODE
block-0220,7,Trunk-Based Development,chapters/07-version-control.qmd,517,bash,# Option 1: Direct to main (with pair programming/mob programming),git branch -d small-fix,21,36f1eb2d877beeaed495b1be79b800d182b42fcb683d9c4c0d7b1192082799e4,TERMINAL_SESSION
block-0221,7,Anatomy of a Good Pull Request,chapters/07-version-control.qmd,609,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,55,24652aa21ee8827dd01cd80e127d412c4fc4d12f1c682b506a3efcc2257493c3,ASCII_DIAGRAM
block-0222,7,Writing Effective PR Descriptions,chapters/07-version-control.qmd,677,markdown,## Summary,Any known issues or trade-offs?,30,a67740f2966216453a5790625c878cafa5dabafbeb344d91ae158bafd61515d3,PLAIN_VERBATIM
block-0223,7,Pull Request Best Practices,chapters/07-version-control.qmd,720,(untyped),PR Size Guidelines:,- Dependency updates,11,1c7c147eede9b3bc3cfffbccfb0d947c096fcf27f998a8ba4f39d08d162d396c,TERMINAL_SESSION
block-0224,7,Pull Request Best Practices,chapters/07-version-control.qmd,736,(untyped),Instead of one giant PR:,Each PR is reviewable and independently mergeable.,11,0616ffd4d5cc8da86dd192eb180249442c93665cf94750ae815fbdf3c51c35d9,PLAIN_VERBATIM
block-0225,7,Draft Pull Requests,chapters/07-version-control.qmd,776,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,20,6aa4207af0aca7692fcf44d0028d143ef70118d89919a61fb6329043d82cfb2f,ASCII_DIAGRAM
block-0226,7,Review Checklist,chapters/07-version-control.qmd,892,(untyped),CODE REVIEW CHECKLIST,☐ README updated if needed,42,d8ddae3142dcb621c6a1877f16a65f957f411bdc41dfeb7704c0c71d1162dbf4,ASCII_DIAGRAM
block-0227,7,Giving Feedback,chapters/07-version-control.qmd,941,(untyped),"❌ ""This code is confusing.""","like calculateDiscount(order).""",5,dfc5426d3070e673abf081cab6aa36d7f233eb30c80efdd0e52c0e809e08e10d,PLAIN_VERBATIM
block-0228,7,Giving Feedback,chapters/07-version-control.qmd,951,(untyped),"❌ ""Use const instead of let here.""","Using const signals intent and prevents accidental reassignment.""",4,5e7c39a05493c894abf2ad7704985d19795e984df8899cea52712d5154a20539,PLAIN_VERBATIM
block-0229,7,Giving Feedback,chapters/07-version-control.qmd,960,(untyped),"❌ ""This is wrong.""","the average calculation divide by zero?""",5,e402ddcbfa2f1baf580175cc64551d04495c1b8d49cb25562dfd7524ae08dbb9,PLAIN_VERBATIM
block-0230,7,Giving Feedback,chapters/07-version-control.qmd,970,(untyped),"❌ ""This could be better.""","This is more concise and expresses intent more clearly.""",7,9929742cfa1a670bbae1cf120daf3d3ebb53d8aa5714e8a7fe4142589c188262,PLAIN_VERBATIM
block-0231,7,Giving Feedback,chapters/07-version-control.qmd,984,(untyped),[blocking] - Must be fixed before merge,[praise] - Positive feedback!,5,5fc408aa6fc572c35b2f7e5f2467746d92c0ac30bf62951bcde9acf00e2dda67,PLAIN_VERBATIM
block-0232,7,Giving Feedback,chapters/07-version-control.qmd,994,(untyped),[blocking] This SQL query is vulnerable to injection. Please use,thorough.,13,5a549a1f39bcc28d9663a4065c1e777aaeed9a7a26de894bf03aefc610811118,PLAIN_VERBATIM
block-0233,7,Receiving Feedback,chapters/07-version-control.qmd,1032,(untyped),"Reviewer: ""This function is doing too much. Consider splitting it.""","❌ ""I don't have time to refactor this.""",15,fe273705bc723af3b0e490859f409afefaa4db012a0de7d8343f63f2ac3da4a4,PLAIN_VERBATIM
block-0234,7,Automated Checks,chapters/07-version-control.qmd,1091,yaml,# .github/workflows/ci.yml,run: npm run coverage,17,f233ad0b50aae6e7edd27de2a771915cf434ffb9526004c682fddb7c4a751cf9,CONFIGURATION
block-0235,7,Why Conflicts Happen,chapters/07-version-control.qmd,1119,(untyped),Scenario: Two developers modify the same file,CONFLICT! Git doesn't know which change to keep.,25,96bcf40ac0a2c03e3f1ead309b7362b93c965949e75c17393ae7c947e0bb8c84,ASCII_DIAGRAM
block-0236,7,Anatomy of a Conflict,chapters/07-version-control.qmd,1151,javascript,function greet(name) {,},7,8946d04f2c333d6204c499eeda009c1ef6b0065ce6393a929cc2e56d60644dcf,PROGRAM_CODE
block-0237,7,Resolving Conflicts,chapters/07-version-control.qmd,1171,bash,git status,#       both modified:   src/greet.js,10,3a827945e2ae45f324dd3ebe78e28ce214d6a4743e051400915645121b7fdc0c,TERMINAL_SESSION
block-0238,7,Resolving Conflicts,chapters/07-version-control.qmd,1188,javascript,// Before (conflicted):,},13,8c8d28934631bb5fb28110bc0e6959fcba9c149a3724cd18e8a09bb78a9043e7,PROGRAM_CODE
block-0239,7,Resolving Conflicts,chapters/07-version-control.qmd,1206,bash,# Stage the resolved file,"git commit -m ""Merge feature/bobs-greeting, combine greeting changes""",5,389fdce448a1205bde9d45b3b7ab02d6975f0c4059e29ac32c7c48821e898dd8,TERMINAL_SESSION
block-0240,7,Conflict Resolution Strategies,chapters/07-version-control.qmd,1218,bash,git checkout --ours src/greet.js,git add src/greet.js,2,65e2cdce44c4e3d8e546fb033153152bf574ac4e24a0cf468c40ef40c2adeb4c,TERMINAL_COMMAND
block-0241,7,Conflict Resolution Strategies,chapters/07-version-control.qmd,1225,bash,git checkout --theirs src/greet.js,git add src/greet.js,2,3ae1344f2d9c91b1c28bf90299dfd1e3352e1fcedde1e410214f41cc70813ed3,TERMINAL_COMMAND
block-0242,7,Conflict Resolution Strategies,chapters/07-version-control.qmd,1234,bash,git mergetool,git mergetool,1,83d43c32f0459cf55fe341150f910e6be9d9e85e04ef3c38a277bdb46216072c,TERMINAL_COMMAND
block-0243,7,Preventing Conflicts,chapters/07-version-control.qmd,1246,bash,# Before starting work each day:,git merge main  # Or: git rebase main,5,3709d4627d99dfc5cace8857e9d2ae1ec4d6afba4af289494d2b89233e504ffd,TERMINAL_SESSION
block-0244,7,Conflict Resolution Example,chapters/07-version-control.qmd,1268,bash,# Your branch has been open for a few days,# Automatic merge failed; fix conflicts and then commit the result.,14,e59c4b83fa701f721755bce7ea8269ee43f978165a3e67955bfe12e97fc5f7a8,TERMINAL_SESSION
block-0245,7,Conflict Resolution Example,chapters/07-version-control.qmd,1287,jsx,// src/components/Header.jsx,},25,210a472054e712cd55316522d0631b7aec1fa2b2e21ad2a832982fb03846806d,PROGRAM_CODE
block-0246,7,Conflict Resolution Example,chapters/07-version-control.qmd,1322,jsx,// src/components/Header.jsx,},17,1371a654337156fdf18756fa54f53c2ab90f3537dd59cba830533e407ca25857,PROGRAM_CODE
block-0247,7,Conflict Resolution Example,chapters/07-version-control.qmd,1344,bash,git add src/components/Header.jsx,git push,8,9613d5381f3cadf2b2d438250b874049bba187f3c126daba7fba67a82d7b31ce,TERMINAL_COMMAND
block-0248,7,Handling Complex Conflicts,chapters/07-version-control.qmd,1363,bash,# See what main changed,git diff main...feature/user-profile -- src/components/Header.jsx,5,beb1b724c23f6e508dd86f524208b8e593b5912f4bab46ddfa0b6fc2bfa8973d,TERMINAL_SESSION
block-0249,7,Handling Complex Conflicts,chapters/07-version-control.qmd,1373,bash,git add .,"git commit -m ""Merge origin/main, resolve Header.jsx conflict""",3,dc30b559ced41cb2cd40024c1a96038569cded71e31e7ba53f85674fd81871a1,TERMINAL_COMMAND
block-0250,7,Branch Naming Conventions,chapters/07-version-control.qmd,1393,(untyped),TYPE/DESCRIPTION,chore/update-dependencies,23,cbc8dc1558bc340a35cb539eb2af35f598a22a697b9e72d6cb794ebc75251aed,PLAIN_VERBATIM
block-0251,7,Branch Naming Conventions,chapters/07-version-control.qmd,1421,(untyped),feature/123-user-authentication,bugfix/456-login-timeout,2,62855d9d6a08de8aad25d38595cccea41984c8fc3613d88ce48d64411fd8f115,PLAIN_VERBATIM
block-0252,7,Commit Message Conventions,chapters/07-version-control.qmd,1449,(untyped),<type>(<scope>): <subject>,<footer>,5,b2a2420e6f736fa8245933ef4c265eca86ab7f42f9ebf5c9b2e193d9e5a5bd86,PLAIN_VERBATIM
block-0253,7,Commit Message Conventions,chapters/07-version-control.qmd,1469,(untyped),feat(auth): Add password reset functionality,Closes #234,12,35f87d6b42e56f8a7b462c659a3bc3b067f87df0688ffbe9d2ab6d84a468a473,PLAIN_VERBATIM
block-0254,7,Commit Message Conventions,chapters/07-version-control.qmd,1484,(untyped),fix(cart): Prevent negative quantities in shopping cart,Fixes #567,7,928802b1446f73c973cfccc619bf64318ce709163e8051c4b0e4f7ed83e22b49,PLAIN_VERBATIM
block-0255,7,Commit Message Conventions,chapters/07-version-control.qmd,1494,(untyped),docs: Update API documentation for v2 endpoints,- Add authentication section with JWT examples,5,ea42a4e54f9abd3a61e8dee6da8dbcbc7463843ee782e8ac8dbcc211c2189f40,PLAIN_VERBATIM
block-0256,7,Commit Message Conventions,chapters/07-version-control.qmd,1504,(untyped),fix: Correct typo in error message,chore: Update dependencies,3,4f479a83843215e798d970bcf8383027836e7fd824a5f029b463cf930e0ab89a,PLAIN_VERBATIM
block-0257,7,Essential Repository Files,chapters/07-version-control.qmd,1516,markdown,# Project Name,npm run setup,26,1f188728947aca9d1efd1ba23716b4fcacb5c42840b3360b086233fb69021b63,PLAIN_VERBATIM
block-0258,7,Running the Application,chapters/07-version-control.qmd,1547,bash,npm run dev      # Development mode,npm start        # Start production server,3,d23176e5a23dab05fab678a28687163a71410fbfcbcf96d4b46edec560950f6c,TERMINAL_COMMAND
block-0259,7,License,chapters/07-version-control.qmd,1567,(untyped),**CONTRIBUTING.md:**,Please be respectful and inclusive. See CODE_OF_CONDUCT.md.,44,d735bbe9a9847ae6bd3b09083f16e15f56d0ec12f11e28e526d7f547c9fdc945,PLAIN_VERBATIM
block-0260,7,License,chapters/07-version-control.qmd,1624,gitignore,# Dependencies,temp/,35,5466c620a7c6695f4a4db7b4478087a5f04d25ee23cb28e06f2b74e90ce0b12a,PROGRAM_OUTPUT
block-0261,7,License,chapters/07-version-control.qmd,1664,markdown,# Changelog,- Initial release,33,6a07050f1e1e6482189142693c01f32266a1de68c09aaf1199056df11dbc4919,PLAIN_VERBATIM
block-0262,7,Branch Protection,chapters/07-version-control.qmd,1706,(untyped),┌─────────────────────────────────────────────────────────────────────────┐,└─────────────────────────────────────────────────────────────────────────┘,28,6086669c8c4eecebf43e34dd7f7e55ea6ca6ca84028885ebe30e08bccf1ba0fd,ASCII_DIAGRAM
block-0263,7,Branch Protection,chapters/07-version-control.qmd,1741,(untyped),# .github/CODEOWNERS,/src/crypto/ @security-team,19,d13b896cd2e9d9e7cf729c672645e65357d016ae926bfa2130c614837f995b4d,PLAIN_VERBATIM
block-0264,7,Cleaning Up Branches,chapters/07-version-control.qmd,1769,bash,# Delete a merged branch,git branch --merged main | grep -v main | xargs git branch -d,5,93e24747db55ee5474f51190e115f605b28b47fb6d4125649cfc0d00acfb3494,TERMINAL_SESSION
block-0265,7,Cleaning Up Branches,chapters/07-version-control.qmd,1779,bash,# Delete a remote branch,git fetch --prune,5,ca118680d8a7023aab6ba1297151fa17a0b3c269dea01d787220b50b7ba38d85,TERMINAL_SESSION
block-0266,7,Git Hooks,chapters/07-version-control.qmd,1797,(untyped),pre-commit     → Before commit is created,post-merge     → After merge completes,4,87e62640c899c32cf4980c306718e2073086372daa92d61c0418f9120fadccde,PLAIN_VERBATIM
block-0267,7,Git Hooks,chapters/07-version-control.qmd,1806,bash,#!/bin/sh,exit 0,20,33a217cafb95fe2d276ceaa1ae335013eed553938c7a92789da8249116a9f068,TERMINAL_SESSION
block-0268,7,Git Hooks,chapters/07-version-control.qmd,1833,bash,# Install Husky,"npx husky add .husky/pre-push ""npm test""",12,2d8a378331125ae68c67f029359fee52dfbd7c8da9417bb30f7a30281945eefa,TERMINAL_SESSION
block-0269,7,Git Hooks,chapters/07-version-control.qmd,1850,bash,#!/usr/bin/env sh,npm run lint-staged,4,9de6f259c346399649f66f224ab9d5c1749057fabd8e348f06e01b278c6ec2d0,TERMINAL_COMMAND
block-0270,7,Git Hooks,chapters/07-version-control.qmd,1859,json,// package.json,},12,7ca0c12749a8f577e9d5d174bff8ece80169ab100676747b22752f5e7ada99ed,DATA
block-0271,7,Interactive Rebase,chapters/07-version-control.qmd,1882,bash,# Rebase last 4 commits interactively,git rebase -i HEAD~4,2,7a462588c097258dc9a63fcdec5adbf0cf85954c70137aa95d9ec291620e138e,TERMINAL_SESSION
block-0272,7,Interactive Rebase,chapters/07-version-control.qmd,1889,(untyped),pick abc1234 Add user model,"# d, drop = remove commit",12,52d287bbfc85f81a90ead7c90d36376743284ac5ac10956156f9105ab9bd8a0e,PLAIN_VERBATIM
block-0273,7,Interactive Rebase,chapters/07-version-control.qmd,1908,(untyped),pick abc1234 Add user model,pick jkl3456 Add user controller,4,58ac9a72a0cbfee6380ea90406cfb93c0fa3ffa465acfac288c907ecf833ac92,PLAIN_VERBATIM
block-0274,7,Interactive Rebase,chapters/07-version-control.qmd,1917,(untyped),reword abc1234 Add user model            # Will prompt for new message,pick def5678 Add user service,2,bcf811b233a0702d36c78d960906637955f8ceddd8b5e0ea76257d202f410d25,PLAIN_VERBATIM
block-0275,7,Interactive Rebase,chapters/07-version-control.qmd,1924,(untyped),pick def5678 Add user service            # Moved up,pick jkl3456 Add user controller,3,48ff6d60d3721c1f083e67ddc117b232ccc92d7369708edcb2f91d2d79ce6927,PLAIN_VERBATIM
block-0276,7,Interactive Rebase,chapters/07-version-control.qmd,1932,(untyped),pick abc1234 Add user model,pick jkl3456 Add user controller,3,6f77364982abab027c2d4775df87003d51fa2283bb9a899eb7c632492f99626f,PLAIN_VERBATIM
block-0277,7,Cherry-Pick,chapters/07-version-control.qmd,1942,bash,# Apply a specific commit to current branch,git cherry-pick --no-commit abc1234,8,952ac197272aecf1978b024fdf74399b5319e85ebf2a2b0e6ddd7d5c898fdbce,TERMINAL_SESSION
block-0278,7,Stashing,chapters/07-version-control.qmd,1963,bash,# Stash current changes,git stash clear,23,b77029f98e13a052bf179465decae97a8e0501abd7836e2dca254cd04b0f5082,TERMINAL_SESSION
block-0279,7,Stashing,chapters/07-version-control.qmd,1991,bash,# You're working on feature-a but need to fix a bug,git stash pop  # Restore your work,14,765710ed746d36c7d59106ed4bf584152e870001b57b99436a81b5e20fc7657a,TERMINAL_SESSION
block-0280,7,Bisect,chapters/07-version-control.qmd,2012,bash,# Start bisect,git bisect reset,19,f474255d2271b76cefee83f863dc1b02be5d6e221e6c759294f5bcbd04444157,TERMINAL_SESSION
block-0281,7,Bisect,chapters/07-version-control.qmd,2036,bash,# Run a script to test each commit automatically,git bisect run npm test,3,f4b2fde6a35f445d89bfe8c91595d3af8f2697e2f092292194a0133de646ecc1,TERMINAL_SESSION
block-0282,7,Reflog,chapters/07-version-control.qmd,2046,bash,# View reflog,"# mno7890 HEAD@{4}: commit: This commit was ""lost""",9,a87469862f460828ba0fd84a8704c6ee5a88cd911397e284b0ec54061d6e8a64,TERMINAL_SESSION
block-0283,7,Reflog,chapters/07-version-control.qmd,2060,bash,"# Oops, I hard reset and lost a commit!",git cherry-pick mno7890,11,51d05991aad8c770fa25817fddfc238c89ad3b5ff45652f3991eb5dbb7a0a560,TERMINAL_SESSION
block-0284,7,Project Setup,chapters/07-version-control.qmd,2082,bash,# 1. Clone the repository,#    - Require status checks to pass,12,2cf23cf5cc8105f2dd3d60437db14d799a48e83a1359f08b84438fb1785b9f74,TERMINAL_SESSION
block-0285,7,Daily Workflow,chapters/07-version-control.qmd,2099,bash,# Morning: Start fresh,git push,22,9252823588bb1818d240323d859d60a4d7f3de4e7837031b1151899b0d872f9a,TERMINAL_SESSION
