pdf_page,book_page_label,chapter,category,severity,finding,recommendation,source_file,source_anchor,resolution,resolution_status,new_pdf_page,verification_notes
161,141,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
163,143,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
163,143,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
166,146,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
166,146,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
169,149,4.0,Page utilization,HIGH,"A relatively simple design-pattern diagram occupies an almost standalone page, creating large unused space.",Use 50-65% text width for simple pattern diagrams and keep structure/intent/implementation text on the same page where possible.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
169,149,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
173,153,4.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
173,153,4.0,Figure sizing,MEDIUM,Pattern/architecture figure is larger than needed relative to its complexity.,Use content-driven widths rather than near-page-size placement; inspect adjacent page flow after resizing.,chapters/04-software-architecture.qmd,chapter-04,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
179,159,4.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/04-software-architecture.qmd,chapter-04,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
180,160,4.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/04-software-architecture.qmd,chapter-04,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,108,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
185,165,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
190,170,5.0,Missing glyph / symbol,HIGH,Emoji/emotion icons in the journey-map content render as missing boxes.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
197,177,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
202,182,5.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/05-ui-ux.qmd,chapter-05,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
203,183,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
205,185,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
206,186,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
210,190,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
213,193,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
219,199,5.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/05-ui-ux.qmd,chapter-05,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,161,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
234,214,6.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/06-agile-methodologies.qmd,chapter-06,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,208,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
237,217,6.0,Caption quality,MEDIUM,Figure caption uses the generic label 'Technical diagram'.,Replace with a descriptive instructional caption or make the illustration unnumbered when the title already carries the meaning.,chapters/06-agile-methodologies.qmd,chapter-06,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,208,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
246,226,6.0,Missing glyph / symbol,HIGH,Sailboat retrospective icons render as missing boxes.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/06-agile-methodologies.qmd,chapter-06,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,208,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
302,282,7.0,Missing glyph / symbol,HIGH,Code-review checklist checkboxes render as missing box glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/07-version-control.qmd,chapter-07,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,252,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
314,294,7.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/07-version-control.qmd,chapter-07,Retained as a pedagogical Markdown source example in a light code block.,INTENTIONALLY_RETAINED,252,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
392,372,9.0,Missing glyph / symbol,HIGH,CI/CD comparison contains missing checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/09-cicd.qmd,chapter-09,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,362,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
449,429,10.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/10-data-management.qmd,chapter-10,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,422,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
473,453,10.0,Missing glyph / symbol,HIGH,REST resource naming comparison uses broken checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/10-data-management.qmd,chapter-10,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,422,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
544,524,11.0,Missing glyph / symbol,HIGH,Serverless decision framework contains repeated missing checkbox/cross glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/11-cloud-services.qmd,chapter-11,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,482,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
637,617,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/13-maintenance-evolution.qmd,chapter-13,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,581,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
638,618,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/13-maintenance-evolution.qmd,chapter-13,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,581,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
639,619,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/13-maintenance-evolution.qmd,chapter-13,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,581,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
640,620,13.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/13-maintenance-evolution.qmd,chapter-13,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,581,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
644,624,13.0,Missing glyph / symbol,HIGH,ASCII testing pyramid contains multiple broken box glyphs.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/13-maintenance-evolution.qmd,chapter-13,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,581,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
657,637,14.0,Missing glyph / symbol,HIGH,License compatibility table contains unreadable/missing compatibility symbols.,Replace decorative emoji/check/cross symbols with supported vector/native symbols or textual labels; convert dense ASCII matrices/diagrams to semantic tables or SVG.,chapters/14-ethics-professionalism.qmd,chapter-14,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,623,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
675,655,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
689,669,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/15-final-project-integration.qmd,chapter-15,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
690,670,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/15-final-project-integration.qmd,chapter-15,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
691,671,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/15-final-project-integration.qmd,chapter-15,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
692,672,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/15-final-project-integration.qmd,chapter-15,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
693,673,15.0,Source markup leakage,CRITICAL,Markdown/fence/heading/bold markup is visibly printed as literal source instead of being rendered or consistently boxed as an intentional example.,Audit nested Markdown examples and fence boundaries; render intentional Markdown samples inside a clearly labeled code/example block and eliminate accidental raw source leakage.,chapters/15-final-project-integration.qmd,chapter-15,Corrected in R1 source/profile; verified by rebuild and targeted review.,FIXED,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
693,673,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
695,675,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
696,676,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
697,677,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
698,678,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
702,682,15.0,Standalone-textbook editorial residue,MEDIUM,Course/semester-specific wording remains in the complete-edition print text.,Decide deliberately whether the complete edition is a course text or standalone textbook; generalize administrative/course language where it limits independent use.,chapters/15-final-project-integration.qmd,chapter-15,Cataloged in course-language audit; no broad canonical rewrite.,NEEDS_AUTHOR_REVIEW,648,"Content verified by source anchor, automated parity, and R1 regression/contact sheets."
