chapter,source_line,section,claim,reason,status,phase_0_status,review_id,classification,verification_date,primary_source,source_keys,current_source_line,current_excerpt,correction,notes,resolution
2,748,Google PaLM/Gemini Family: The Multilingual Innovators,Google's models bring deep expertise in multiple languages and cutting-edge multimodal capabilities.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-095,COMMON_KNOWLEDGE,2026-09-18,,,688,Google's models bring deep expertise in multiple languages and cutting-edge multimodal capabilities.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,764,Gemini: The Multimodal Future,-   **Integrated multimodal**: Native ability to process text and images together,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-096,REMOVE_OR_GENERALIZE,2026-09-18,,,698,**Illustration unavailable.** The illustration described below — source artwork was not supplied. *Proposed Figure 2.9: Model Family Comparison Matrix - Strengths and specializations*,**Illustration unavailable.** The illustration described below — source artwork was not supplied. *Proposed Figure 2.9: Model Family Comparison Matrix - Strengths and specializations*,"Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Unsupported current product rankings, numbers, and deployment claims replaced with sourced historical framing",RESOLVED
2,786,Making Strategic Selections,"    -   Multimodal → GPT-4, Gemini","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-097,COMMON_KNOWLEDGE,2026-09-18,,,714,"    -   Multimodal → a version and endpoint supporting the required inputs and outputs
    -   Coding → a model evaluated on representative code tasks
    -   Multilingual → evidence for each target language and task
    -   Privacy/customization → suitable deployment controls, license, and adaptation support",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,799,The Evolving Landscape,"New models and capabilities emerge regularly, and the specific model names above will inevitably be outdated by the time you read this, some may already be retired. That's fine, and expected. Understanding these model *families* and the reasoning behind their tiers gives you a durable framework for evaluating whatever options exist when you're actually building something, which is the skill this chapter is really trying to teach.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-098,COMMON_KNOWLEDGE,2026-09-18,,,727,"New models and capabilities emerge regularly, and the specific model names above will inevitably be outdated by the time you read this, some may already be retired. That's fine, and expected. Understanding these model *families* and the reasoning behind their tiers gives you a durable framework for evaluating whatever options exist when you're actually building something, which is the skill this chapter is really trying to teach.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,809,2.5 Designing an Intelligent Model Router,"You now understand enough about transformer architecture, training, size trade-offs, and model families to make a genuinely informed decision, not ""which model is best,"" but ""which model is best *for this query, right now, under these constraints*."" That decision is worth designing carefully before you ever write a line of implementation code, because a bad routing design will happily and expensively run in production for months before anyone notices the bill.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-099,COMMON_KNOWLEDGE,2026-09-18,,,737,"You now understand enough about transformer architecture, training, size trade-offs, and model families to make a genuinely informed decision, not ""which model is best,"" but ""which model is best *for this query, right now, under these constraints*."" That decision is worth designing carefully before you ever write a line of implementation code, because a bad routing design will happily and expensively run in production for months before anyone notices the bill.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,813,What Intelligent Routing Actually Decides,"Return to Sarah's story from the opening of this chapter. Her fix wasn't a smarter model, it was a smarter *decision process* for choosing between models she already had access to. That decision process has three moving parts, and each one deserves its own paragraph of design thinking before any code exists:","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-100,COMMON_KNOWLEDGE,2026-09-18,,,741,"Return to Sarah's story from the opening of this chapter. Her fix wasn't a smarter model, it was a smarter *decision process* for choosing between models she already had access to. That decision process has three moving parts, and each one deserves its own paragraph of design thinking before any code exists:",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,819,What Intelligent Routing Actually Decides,"**Caching and monitoring as a safety net.** No complexity estimate is perfect. Caching catches the queries you'll see again (often 30–60% of real traffic in production systems), and monitoring catches the cases where your complexity estimate was simply wrong, so you can correct the design rather than silently overpaying or under-delivering forever.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-101,REMOVE_OR_GENERALIZE,2026-09-18,,,747,"**Caching and monitoring as a safety net.** No complexity estimate is perfect. Caching can reuse eligible repeated queries (measure the hit rate on your own traffic), and monitoring catches the cases where your complexity estimate was simply wrong, so you can correct the design rather than silently overpaying or under-delivering forever.","**Caching and monitoring as a safety net.** No complexity estimate is perfect. Caching can reuse eligible repeated queries (measure the hit rate on your own traffic), and monitoring catches the cases where your complexity estimate was simply wrong, so you can correct the design rather than silently overpaying or under-delivering forever.",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Unsupported cache hit rate,RESOLVED
2,855,Chapter Summary,"When you started this chapter, transformers, training phases, and model families were terms you could define but not yet reason with. Now you understand *why* the transformer architecture displaced everything before it, how pre-training, fine-tuning, and RLHF each shape a model's behavior differently, and why ""bigger"" and ""better"" are not the same question. That understanding is what let Sarah, in this chapter's opening story, replace a runaway API bill with a design she could actually defend to her CTO.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-102,COMMON_KNOWLEDGE,2026-09-18,,,784,"When you started this chapter, transformers, training phases, and model families were terms you could define but not yet reason with. Now you understand *why* the transformer architecture displaced everything before it, how pre-training, fine-tuning, and RLHF each shape a model's behavior differently, and why ""bigger"" and ""better"" are not the same question. That understanding is what let Sarah, in this chapter's opening story, replace a runaway API bill with a design she could actually defend to her CTO.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,859,Key Takeaways,1.  **Architecture matters**: The transformer's attention mechanism enables capabilities that previous architectures couldn't achieve.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-103,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/1706.03762,transformer,788,1.  **Architecture matters**: Attention provides direct context interactions and parallel training opportunities; it is not the only architecture capable of modeling language. [@vaswani2017attention],1.  **Architecture matters**: Attention provides direct context interactions and parallel training opportunities; it is not the only architecture capable of modeling language. [@vaswani2017attention],"Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Align summary, glossary, and teaching guidance with qualified evidence.",RESOLVED
2,860,Key Takeaways,"2.  **Training shapes capability**: Pre-training, fine-tuning, and RLHF work together to create helpful, capable AI systems, and each phase leaves a different kind of fingerprint on model behavior.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-104,COMMON_KNOWLEDGE,2026-09-18,,,789,"2.  **Training shapes capability**: Pre-training, fine-tuning, and RLHF work together to create helpful, capable AI systems, and each phase leaves a different kind of fingerprint on model behavior.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
2,873,Discussion Questions,1. How does understanding transformer architecture change how you evaluate a vendor's claims about a new model?,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-105,ILLUSTRATIVE,2026-09-18,,,804,1. How does understanding transformer architecture change how you evaluate a vendor's claims about a new model?,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
2,875,Discussion Questions,3. Bloomberg trained a custom model rather than fine-tuning a general one. What would have to be true about your own project's domain for that same trade-off to make sense?,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-106,ILLUSTRATIVE,2026-09-18,,,806,3. Bloomberg trained a custom model rather than fine-tuning a general one. What would have to be true about your own project's domain for that same trade-off to make sense?,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
2,916,Practical Optimization,    -   Advanced techniques for production deployment.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-107,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2309.06180,vllm,832,- *Efficient Memory Management for Large Language Model Serving with PagedAttention* (2023). The original PagedAttention serving study; results are configuration-specific. [@vllm],- *Efficient Memory Management for Large Language Model Serving with PagedAttention* (2023). The original PagedAttention serving study; results are configuration-specific. [@vllm],"Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Verify Further Reading metadata, source identity, and annotation.",RESOLVED
2,936,Practice,"- Explain RLHF to someone with no ML background in three sentences or fewer, without using the word ""reinforcement.""","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-108,ILLUSTRATIVE,2026-09-18,,,848,"- Explain RLHF to someone with no ML background in three sentences or fewer, without using the word ""reinforcement.""",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,9,Introduction,"In this chapter, you'll master the fundamental techniques that separate novice AI users from experts: few-shot learning, chain-of-thought prompting, prompt templates, and safety considerations. You'll enhance your research assistant with a sophisticated prompt management system that can automatically select and optimize prompts based on the type of research query being processed.","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-109,COMMON_KNOWLEDGE,2026-09-18,,,11,"In this chapter, you'll master the fundamental techniques that separate novice AI users from experts: few-shot learning, chain-of-thought prompting, prompt templates, and safety considerations. You'll enhance your research assistant with a sophisticated prompt management system that can automatically select and optimize prompts based on the type of research query being processed.",No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,21,Learning Objectives,5.  **Identify** and prevent prompt injection and safety vulnerabilities,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-110,ILLUSTRATIVE,2026-09-18,,,23,5.  **Identify** prompt-injection risks and evaluate layered mitigations,5.  **Identify** prompt-injection risks and evaluate layered mitigations,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,22,Learning Objectives,6.  **Evaluate** prompt effectiveness using both qualitative and quantitative measures,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-111,ILLUSTRATIVE,2026-09-18,,,24,6.  **Evaluate** prompt effectiveness using both qualitative and quantitative measures,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,37,Key Terminologies and Concepts,"| **Chain-of-Thought (CoT)** | Prompting technique that encourages models to show step-by-step reasoning | Adding ""Let's think step by step"" dramatically improves math problem accuracy |","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-112,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2205.11916 ; https://arxiv.org/abs/2305.04388,zerocot;unfaithful,39,| **Chain-of-Thought (CoT)** | Prompting technique that encourages models to show step-by-step reasoning | Step-by-step prompts improved selected historical benchmarks; benefit and faithfulness must be evaluated [@zerocot; @unfaithful] |,| **Chain-of-Thought (CoT)** | Prompting technique that encourages models to show step-by-step reasoning | Step-by-step prompts improved selected historical benchmarks; benefit and faithfulness must be evaluated [@zerocot; @unfaithful] |,"Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Align summary, glossary, and teaching guidance with qualified evidence.",RESOLVED
3,43,Key Terminologies and Concepts,| **Instruction Following** | The model's ability to follow specific directions in prompts | Modern models excel at this after instruction-tuning and RLHF |,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-113,CITATION_REQUIRED,2026-09-18,https://arxiv.org/abs/2203.02155,rlhf,45,| **Instruction Following** | The model's ability to follow specific directions in prompts | Modern models excel at this after instruction-tuning and RLHF [@rlhf] |,| **Instruction Following** | The model's ability to follow specific directions in prompts | Modern models excel at this after instruction-tuning and RLHF [@rlhf] |,Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Attach primary evidence to the claim rather than relying only on Further Reading.,RESOLVED
3,151,2. **Context Setting: What's the Situation?**,"**Rich context**: ""You're reviewing a project proposal for a healthcare AI startup. The company is seeking Series A funding. Focus on technical feasibility, market opportunity, and regulatory risks.""","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-114,ILLUSTRATIVE,2026-09-18,,,148,"**Rich context**: ""You're reviewing a project proposal for a healthcare AI startup. The company is seeking Series A funding. Focus on technical feasibility, market opportunity, and regulatory risks.""",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,153,2. **Context Setting: What's the Situation?**,The rich context doesn't just change what the model looks for—it changes how it evaluates and prioritizes information.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-115,ILLUSTRATIVE,2026-09-18,,,150,The rich context doesn't just change what the model looks for—it changes how it evaluates and prioritizes information.,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,424,The Context Window Trade-off,Here's a practical consideration: examples consume tokens. Your Chapter 2 exploration of context windows taught you this is a limited resource.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-116,COMMON_KNOWLEDGE,2026-09-18,,,421,Here's a practical consideration: examples consume tokens. Your Chapter 2 exploration of context windows taught you this is a limited resource.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,457,3.3 Chain-of-Thought: Thinking Out Loud,"Here's a puzzle: What is 15% of 240, then add 23?","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-117,ILLUSTRATIVE,2026-09-18,https://arxiv.org/abs/2201.11903 ; https://arxiv.org/abs/2305.04388,cot;unfaithful,454,"Here's a puzzle: What is 15% of 240, then add 23?",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,699,Connecting to Model Architecture,Remember from Chapter 2 how attention mechanisms allow models to focus on relevant information? CoT leverages this: each reasoning step provides context that helps the attention mechanism focus on the right knowledge for subsequent steps.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-118,REMOVE_OR_GENERALIZE,2026-09-18,https://arxiv.org/abs/2201.11903 ; https://arxiv.org/abs/2305.04388,cot;unfaithful,703,"Generated intermediate text changes the context for later token predictions. That is a useful mechanism-level intuition, but it does not prove that a trace is a faithful explanation of the computation or that the intermediate statements are correct. [@cot; @unfaithful]","Generated intermediate text changes the context for later token predictions. That is a useful mechanism-level intuition, but it does not prove that a trace is a faithful explanation of the computation or that the intermediate statements are correct. [@cot; @unfaithful]",Original wording corrected or qualified in the manuscript; see the exact replacement and linked primary evidence. Remove unsupported universality and specify the scope of the claim.,RESOLVED
3,796,Constraint Variables,"-   `{response_format}` (bullets, paragraphs, JSON)","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-119,ILLUSTRATIVE,2026-09-18,,,800,"-   `{response_format}` (bullets, paragraphs, JSON)",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,870,Template Category 4: Comparison,**Use case**: Evaluating alternatives\,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-120,ILLUSTRATIVE,2026-09-18,,,874,**Use case**: Evaluating alternatives\,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,951,Template Composition: Building Blocks,**+ Safety module**: Add content filtering instructions\,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-121,ILLUSTRATIVE,2026-09-18,,,955,**+ Safety module**: Add content filtering instructions\,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,974,Template Testing and Optimization,-   Average quality score (from user feedback),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-122,ILLUSTRATIVE,2026-09-18,,,978,-   Average quality score (from user feedback),No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,980,Template Testing and Optimization,1.  Identify underperforming templates (success rate \< 85%),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-123,ILLUSTRATIVE,2026-09-18,,,984,1.  Identify underperforming templates (success rate \< 85%),No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,985,Template Testing and Optimization,6.  Deploy winner,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-124,ILLUSTRATIVE,2026-09-18,,,989,6.  Deploy winner,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1083,3.5 Safety and Security: Defending Your System,-   Bypass safety restrictions,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-125,COMMON_KNOWLEDGE,2026-09-18,,,1087,-   Bypass safety restrictions,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1260,Defense Strategy 4: Response Filtering,This creates a safety net even if injection bypasses input filters.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-126,COMMON_KNOWLEDGE,2026-09-18,,,1266,This creates a safety net even if injection bypasses input filters.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1312,Harmful Content Generation,-   Refusal training through RLHF (remember Chapter 2?),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-127,COMMON_KNOWLEDGE,2026-09-18,,,1318,-   Refusal training through RLHF (remember Chapter 2?),No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1315,Harmful Content Generation,**Example safety instruction**:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-128,COMMON_KNOWLEDGE,2026-09-18,,,1321,**Example safety instruction**:,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1334,Bias and Fairness,-   Regular audits for biased outputs,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-129,COMMON_KNOWLEDGE,2026-09-18,,,1340,-   Regular audits for biased outputs,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1433,Connecting to Your Research Assistant,This creates a research assistant that's both powerful and secure—critical for real-world deployment.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-130,COMMON_KNOWLEDGE,2026-09-18,,,1439,This creates a research assistant that's both powerful and secure—critical for real-world deployment.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1452,3.6 Evaluating Prompt Effectiveness,Remember from Chapter 2 how you built performance monitoring for model selection? Prompt evaluation works similarly—combining quantitative metrics with qualitative assessment to drive continuous improvement.,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-131,COMMON_KNOWLEDGE,2026-09-18,,,1458,Remember from Chapter 2 how you built performance monitoring for model selection? Prompt evaluation works similarly—combining quantitative metrics with qualitative assessment to drive continuous improvement.,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1462,The Evaluation Challenge,Evaluating AI prompts is messier:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-132,COMMON_KNOWLEDGE,2026-09-18,,,1468,Evaluating AI prompts is messier:,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1499,Metric 1: Task Success Rate,**Target**: \> 85% for production prompts,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-133,ILLUSTRATIVE,2026-09-18,,,1505,"**Illustrative target only**: 85% is not a general production acceptance threshold. Choose thresholds from task risk, failure severity, and uncertainty.",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1503,Metric 1: Task Success Rate,-   Prompt A: 92% success rate → Keep,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-134,ILLUSTRATIVE,2026-09-18,,,1509,-   Prompt A: 92% success rate → Keep,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1504,Metric 1: Task Success Rate,"-   Prompt B: 73% success rate → Investigate failures, improve","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-135,ILLUSTRATIVE,2026-09-18,,,1510,"-   Prompt B: 73% success rate → Investigate failures, improve",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1532,Metric 2: Consistency,-   95%+ similarity → Very consistent (good for factual tasks),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-136,ILLUSTRATIVE,2026-09-18,,,1538,"-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1533,Metric 2: Consistency,-   60-80% similarity → Balanced (good for creative tasks),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-137,ILLUSTRATIVE,2026-09-18,,,1538,"-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1534,Metric 2: Consistency,-   \<50% similarity → Too variable (investigate cause),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-138,ILLUSTRATIVE,2026-09-18,,,1538,"-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","-   High similarity on a specified metric → similar outputs, possibly consistently wrong
-   Intermediate similarity → inspect whether variation helps the task
-   Low similarity → investigate content changes; no universal percentage bands apply","Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1582,Assessment Dimension 1: Appropriateness,**Example evaluation**:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-139,ILLUSTRATIVE,2026-09-18,,,1588,**Example evaluation**:,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1629,Assessment Dimension 3: Factual Accuracy,**Evaluation approach**:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-140,ILLUSTRATIVE,2026-09-18,,,1637,**Evaluation approach**:,No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1655,Step 1: Hypothesis Formation,"**Good hypothesis**: ""Adding explicit step-by-step instructions will increase task success rate by 10% for analytical queries, with no significant impact on response time""","Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-141,ILLUSTRATIVE,2026-09-18,,,1668,"**Good hypothesis**: ""Adding explicit step-by-step instructions will increase task success rate by 10% for analytical queries, with no significant impact on response time""",No substantive correction required; retained with the stated scope.,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1742,Step 5: Statistical Analysis,**Look for**: p-value \< 0.05 and meaningful effect size (\>5-10% improvement),"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-142,ILLUSTRATIVE,2026-09-18,https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.chi2_contingency.html,scipychi2,1749,Report the effect size and confidence interval alongside the prespecified test. A p-value is not the probability that the hypothesis is true; statistical significance alone does not establish practical value or safety. Paired test cases require a paired analysis. [@scipychi2],Report the effect size and confidence interval alongside the prespecified test. A p-value is not the probability that the hypothesis is true; statistical significance alone does not establish practical value or safety. Paired test cases require a paired analysis. [@scipychi2],"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1748,Step 6: Decision and Rollout,-   Significant improvement + no downsides → Deploy B,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-143,ILLUSTRATIVE,2026-09-18,https://arxiv.org/abs/2211.09110,helm,1755,-   Practically meaningful improvement + acceptable uncertainty and safety results → Consider a monitored rollout,-   Practically meaningful improvement + acceptable uncertainty and safety results → Consider a monitored rollout,"Teaching objective, exercise, analogy, or explicitly fictional scenario; not evidence of measured model or company performance.",RESOLVED
3,1758,Building a Continuous Evaluation System,Evaluation isn't a one-time activity—it's ongoing monitoring:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-144,COMMON_KNOWLEDGE,2026-09-18,,,1765,Evaluation isn't a one-time activity—it's ongoing monitoring:,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
3,1782,Connecting to Your Research Assistant,Your enhanced research assistant will implement comprehensive evaluation:,"Claim or teaching item needs primary-source review; candidate, not adjudicated missing citation",ADJUDICATED,PENDING,CITATION-145,COMMON_KNOWLEDGE,2026-09-18,,,1789,Your enhanced research assistant will implement comprehensive evaluation:,No substantive correction required; retained with the stated scope.,"Author framing, ordinary definition, or design recommendation; no external empirical result asserted.",RESOLVED
