chapter,section,topic,earlier_or_canonical_claim,conflicting_or_overstated_claim,action,replacement,status,notes
12,How Alignment Actually Happens: RLHF and Constitutional AI {#sec-12-2},Claim and terminology consistency,"Both aim to reduce unwanted behavior; measured gains depend on the model, training setup, and evaluation",Both are better described as substantially reducing the frequency and severity of misaligned behavior relative to a purely pre-trained model,Replace wording; preserve instructional purpose,"Both aim to reduce unwanted behavior; measured gains depend on the model, training setup, and evaluation",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Introduction,Claim and terminology consistency,how training and controls seek to reduce unsafe behavior,what actually makes a model behave safely in the first place,Replace wording; preserve instructional purpose,how training and controls seek to reduce unsafe behavior,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
13,Introduction,Claim and terminology consistency,how training aims to reduce unsafe behavior,how a model is trained to behave safely in the first place,Replace wording; preserve instructional purpose,how training aims to reduce unsafe behavior,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
13,Key Terminologies and Concepts,Claim and terminology consistency,Calibrated noise with explicit privacy parameters; usefulness depends on the privacy–utility trade-off,Adding statistical noise to protect individuals while preserving aggregate accuracy,Replace wording; preserve instructional purpose,Calibrated noise with explicit privacy parameters; usefulness depends on the privacy–utility trade-off,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
15,Key Terminologies and Concepts,Claim and terminology consistency,where a router selects a subset of expert blocks per token,where only relevant sub-models activate for a given input,Replace wording; preserve instructional purpose,where a router selects a subset of expert blocks per token,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Making the Right Choice: A Decision Framework,Model-size decision framework,"    -   Compare candidate models on representative queries; complexity is one feature, not a quality guarantee.

2.  **Speed Requirements**: Set time-to-first-token and completion-latency budgets, then measure under expected load.

3.  **Volume**: Estimate total cost using measured token lengths, concurrency, cache eligibility, and deployment prices.

4.  **Quality Bar**: Define task-specific acceptance criteria, including failure costs and oversight for high-stakes uses. Choose a deployment only after it meets those criteria; size and price are not substitutes for validation.

","    -   Simple factual query → Small model
    -   Moderate analysis → Medium model
    -   Complex research → Large model

2.  **Speed Requirements**: Do you need instant responses or can you wait?

    -   Real-time (\< 1 second) → Small model
    -   Interactive (\< 3 seconds) → Medium model
    -   Batch processing → Any model (optimize for cost)

3.  **Volume**: How many queries will you process?

    -   Thousands per day → Prioritize cost (smaller models)
    -   Hundreds per day → Balance capability and cost (medium models)
    -   Dozens per day → Can afford quality (large models)

4.  **Quality Bar**: Is ""good enough"" sufficient, or do you need exceptional results?

    -   Acceptable quality → Smaller models
    -   Professional quality → Medium models
    -   Excellence required → Large models

",Replace wording; preserve instructional purpose,"    -   Compare candidate models on representative queries; complexity is one feature, not a quality guarantee.

2.  **Speed Requirements**: Set time-to-first-token and completion-latency budgets, then measure under expected load.

3.  **Volume**: Estimate total cost using measured token lengths, concurrency, cache eligibility, and deployment prices.

4.  **Quality Bar**: Define task-specific acceptance criteria, including failure costs and oversight for high-stakes uses. Choose a deployment only after it meets those criteria; size and price are not substitutes for validation.

",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Context Window Trade-off,Few-shot counts,"-   Reserve context for instructions, the query, retrieved evidence, and the response.
-   Compare zero-shot with several example counts that fit the remaining budget.
-   Measure the effect of relevance, diversity, order, and count on the actual task/model; a larger context does not establish an optimal count.","-   **Short contexts (4K tokens)**: Use 1-2 carefully chosen examples
-   **Medium contexts (8K-32K tokens)**: 2-3 examples, more if task complexity demands
-   **Long contexts (100K+ tokens)**: Can afford more examples, but still show diminishing returns after 5-6",Replace wording; preserve instructional purpose,"-   Reserve context for instructions, the query, retrieved evidence, and the response.
-   Compare zero-shot with several example counts that fit the remaining budget.
-   Measure the effect of relevance, diversity, order, and count on the actual task/model; a larger context does not establish an optimal count.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Distinctions: The Analyst vs. The Creator,Figure marker,[Figure pending: Discriminative AI vs. Generative AI — Fundamental Approaches to Artificial Intelligence],*Proposed Figure 1.1: Discriminative AI vs. Generative AI — Fundamental Approaches to Artificial Intelligence*,Replace wording; preserve instructional purpose,[Figure pending: Discriminative AI vs. Generative AI — Fundamental Approaches to Artificial Intelligence],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,The Transformer Revolution (2017–Present),Figure marker,[Figure pending: The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers],*Proposed Figure 1.2: The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers*,Replace wording; preserve instructional purpose,[Figure pending: The Evolution of Text Generation — From Rule-Based Systems to Modern Transformers],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Core Architecture Components,Figure marker,[Figure pending: Transformer Architecture — Core Components and Information Flow],*Proposed Figure 1.3: Transformer Architecture — Core Components and Information Flow*,Replace wording; preserve instructional purpose,[Figure pending: Transformer Architecture — Core Components and Information Flow],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Context Windows: The Model's Working Memory,Figure marker,[Figure pending: Summary of Foundational Concepts in Generative AI],*Proposed Figure 1.4: Summary of Foundational Concepts in Generative AI*,Replace wording; preserve instructional purpose,[Figure pending: Summary of Foundational Concepts in Generative AI],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,The Model Landscape: How to Think About Choices,Figure marker,"[Figure pending: Model family comparison across capability, context, cost, and openness]","*Proposed Figure 1.5: Model family comparison across capability, context, cost, and openness*",Replace wording; preserve instructional purpose,"[Figure pending: Model family comparison across capability, context, cost, and openness]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Enter the Attention Mechanism,Figure marker,[Figure pending: Attention Mechanism Visualization - How transformers weigh word relationships],*Proposed Figure 2.1: Attention Mechanism Visualization - How transformers weigh word relationships*,Replace wording; preserve instructional purpose,[Figure pending: Attention Mechanism Visualization - How transformers weigh word relationships],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Multi-Head Attention: Multiple Specialists Working Together,Figure marker,[Figure pending: Multi-Head Attention - Different heads focusing on different relationship types],*Proposed Figure 2.2: Multi-Head Attention - Different heads focusing on different relationship types*,Replace wording; preserve instructional purpose,[Figure pending: Multi-Head Attention - Different heads focusing on different relationship types],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,3. The Processing Stack: Building Understanding Layer by Layer {.unnumbered},Figure marker,[Figure pending: Transformer Layer Stack - Progressive sophistication through depth],*Proposed Figure 2.3: Transformer Layer Stack - Progressive sophistication through depth*,Replace wording; preserve instructional purpose,[Figure pending: Transformer Layer Stack - Progressive sophistication through depth],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,The Deceptively Simple Objective,Figure marker,[Figure pending: Pre-training Process - Learning language patterns at massive scale],*Proposed Figure 2.4: Pre-training Process - Learning language patterns at massive scale*,Replace wording; preserve instructional purpose,[Figure pending: Pre-training Process - Learning language patterns at massive scale],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,RLHF: Aligning with Human Values,Figure marker,[Figure pending: RLHF Process - Learning from human preferences],*Proposed Figure 2.5: RLHF Process - Learning from human preferences*,Replace wording; preserve instructional purpose,[Figure pending: RLHF Process - Learning from human preferences],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Autoregressive Generation: One Word at a Time,Figure marker,[Figure pending: Autoregressive Generation - Building responses token by token],*Proposed Figure 2.6: Autoregressive Generation - Building responses token by token*,Replace wording; preserve instructional purpose,[Figure pending: Autoregressive Generation - Building responses token by token],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Small Models (1B-7B parameters): The Swift Specialists,Figure marker,[Figure pending: Small vs. Large Model Performance Comparison],*Proposed Figure 2.7: Small vs. Large Model Performance Comparison*,Replace wording; preserve instructional purpose,[Figure pending: Small vs. Large Model Performance Comparison],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Large Models (70B+ parameters): The Heavy Hitters,Figure marker,[Figure pending: Model Size vs. Task Complexity Decision Matrix],*Proposed Figure 2.8: Model Size vs. Task Complexity Decision Matrix*,Replace wording; preserve instructional purpose,[Figure pending: Model Size vs. Task Complexity Decision Matrix],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Gemini: The Multimodal Future,Figure marker,[Figure pending: Model Family Comparison Matrix - Strengths and specializations],*Proposed Figure 2.9: Model Family Comparison Matrix - Strengths and specializations*,Replace wording; preserve instructional purpose,[Figure pending: Model Family Comparison Matrix - Strengths and specializations],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,What Intelligent Routing Actually Decides,Figure marker,"[Figure pending: The three-layer decision a model router makes: analyze, route, monitor]","*Proposed Figure 2.10: The three-layer decision a model router makes: analyze, route, monitor*",Replace wording; preserve instructional purpose,"[Figure pending: The three-layer decision a model router makes: analyze, route, monitor]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,5. **Constraints and Guidelines: What Are the Boundaries?** {.unnumbered},Figure marker,[Figure pending: The Five Pillars of Effective Prompt Structure],*Proposed Figure 3.1: The Five Pillars of Effective Prompt Structure*,Replace wording; preserve instructional purpose,[Figure pending: The Five Pillars of Effective Prompt Structure],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Few-Shot: Establishing the Pattern,Figure marker,[Figure pending: Few-shot prompting and output consistency],*Proposed Figure 3.2: Few-Shot Learning dramatically improves consistency and format adherence*,Replace wording; preserve instructional purpose,[Figure pending: Few-shot prompting and output consistency],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Recursive CoT: Breaking Down Complexity,Figure marker,[Figure pending: Chain-of-thought prompting and independent answer verification],*Proposed Figure 3.3: How Chain-of-Thought Prompting Improves Reasoning Quality*,Replace wording; preserve instructional purpose,[Figure pending: Chain-of-thought prompting and independent answer verification],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Template Category 4: Comparison,Figure marker,[Figure pending: Selecting the Right Template Based on Query Type],*Proposed Figure 3.4: Selecting the Right Template Based on Query Type*,Replace wording; preserve instructional purpose,[Figure pending: Selecting the Right Template Based on Query Type],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,4. Prompt Leaking {.unnumbered},Figure marker,[Figure pending: Common Prompt Injection Attack Patterns and Defense Strategies],*Proposed Figure 3.5: Common Prompt Injection Attack Patterns and Defense Strategies*,Replace wording; preserve instructional purpose,[Figure pending: Common Prompt Injection Attack Patterns and Defense Strategies],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Step 6: Decision and Rollout,Figure marker,[Figure pending: Systematic A/B Testing Process for Prompt Optimization],*Proposed Figure 3.6: Systematic A/B Testing Process for Prompt Optimization*,Replace wording; preserve instructional purpose,[Figure pending: Systematic A/B Testing Process for Prompt Optimization],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Designing Instead of Building,Figure marker,[Figure pending: From query to response — where a prompt library sits between query analysis and generation],*Proposed Figure 3.7: From query to response — where a prompt library sits between query analysis and generation*,Replace wording; preserve instructional purpose,[Figure pending: From query to response — where a prompt library sits between query analysis and generation],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
5,The Human-in-the-Loop Spectrum,Figure marker,"[Figure pending: The human-in-the-loop spectrum, from fully manual to fully autonomous]","*Proposed Figure 5.1: The human-in-the-loop spectrum, from fully manual to fully autonomous*",Replace wording; preserve instructional purpose,"[Figure pending: The human-in-the-loop spectrum, from fully manual to fully autonomous]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
5,Reflexion: Learning From the Last Attempt,Figure marker,"[Figure pending: Three agent architectures compared — ReAct's step-by-step loop, plan-and-execute's upfront plan, and Reflexion's revise-and-retry cycle]","*Proposed Figure 5.2: Three agent architectures compared — ReAct's step-by-step loop, plan-and-execute's upfront plan, and Reflexion's revise-and-retry cycle*",Replace wording; preserve instructional purpose,"[Figure pending: Three agent architectures compared — ReAct's step-by-step loop, plan-and-execute's upfront plan, and Reflexion's revise-and-retry cycle]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,The Two-Stage Architecture,Figure marker,"[Figure pending: The RAG architecture — retrieve, then generate]","*Proposed Figure 6.1: The RAG architecture — retrieve, then generate*",Replace wording; preserve instructional purpose,"[Figure pending: The RAG architecture — retrieve, then generate]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Connecting to Your Project: A RAG Design Document,Figure marker,[Figure pending: RAG-enhanced architecture — from document ingestion through retrieval to grounded response],*Proposed Figure 6.2: RAG-enhanced architecture — from document ingestion through retrieval to grounded response*,Replace wording; preserve instructional purpose,[Figure pending: RAG-enhanced architecture — from document ingestion through retrieval to grounded response],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
7,When to Fine-tune: A Decision Framework {#sec-7-1},Figure marker,"[Figure pending: Customization decision framework — comparing prompting, RAG, and fine-tuning]",*Proposed Figure 7.1: Customization decision framework — prompting → RAG → fine-tuning*,Replace wording; preserve instructional purpose,"[Figure pending: Customization decision framework — comparing prompting, RAG, and fine-tuning]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Defining Success Before You Measure Anything {#sec-10-2},Figure marker,"[Figure pending: From business goal to measurable metric, and where proxy metrics quietly substitute for the real target]","*Proposed Figure 10.1: From business goal to measurable metric, and where proxy metrics quietly substitute for the real target*",Replace wording; preserve instructional purpose,"[Figure pending: From business goal to measurable metric, and where proxy metrics quietly substitute for the real target]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,Testing and Quality Assurance {#sec-10-7},Figure marker,"[Figure pending: An evaluation pyramid — unit-level prompt checks, integration tests, and full red-team exercises, each catching different failure classes]","*Proposed Figure 10.2: An evaluation pyramid — unit-level prompt checks, integration tests, and full red-team exercises, each catching different failure classes*",Replace wording; preserve instructional purpose,"[Figure pending: An evaluation pyramid — unit-level prompt checks, integration tests, and full red-team exercises, each catching different failure classes]",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
references.qmd,References {.unnumbered},Reader-facing front matter,checked on 2026-09-18,checked for the Phase 1 review on 2026-09-18,Replace wording; preserve instructional purpose,checked on 2026-09-18,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,The Anatomy of Effective Prompts {#sec-3-1},Figure marker,[Figure pending: Marcus’s research assistant produces the same response to different queries],"::: {.callout-note}

## Illustration unavailable

Marcus vignette illustration: the source artwork was not supplied with this manuscript.
:::",Replace wording; preserve instructional purpose,[Figure pending: Marcus’s research assistant produces the same response to different queries],FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Key Terminologies and Concepts,LoRA terminology,A fine-tuning technique that learns low-rank weight updates while freezing base weights,An efficient fine-tuning technique that updates only small adapter layers instead of all model weights,Replace wording; preserve instructional purpose,A fine-tuning technique that learns low-rank weight updates while freezing base weights,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Terminologies and Concepts,Context terminology,"The request token budget, subject to model/API input, output, and combined limits",The total amount of text (prompt + response) the model can process,Replace wording; preserve instructional purpose,"The request token budget, subject to model/API input, output, and combined limits",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Key Terminologies and Concepts,Hallucination terminology,Requested citations can also be fabricated; check their existence and support,Prompts can reduce hallucinations by explicitly requesting citations,Replace wording; preserve instructional purpose,Requested citations can also be fabricated; check their existence and support,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Introduction,Knowledge access,"no inherent access to private or recent information outside their training, supplied context, or connected tools",no access to private or recent information,Replace wording; preserve instructional purpose,"no inherent access to private or recent information outside their training, supplied context, or connected tools",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Key Terminologies and Concepts,RAG terminology,An approach supplying retrieved content to a generator; grounding and citation correctness require evaluation,"An approach combining information retrieval with text generation, grounding responses in retrieved content",Replace wording; preserve instructional purpose,An approach supplying retrieved content to a generator; grounding and citation correctness require evaluation,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Key Takeaways,RAG wrap-up,"Trustworthiness depends on source quality, retrieval, generation, citation checks, and abstention behavior; prompting alone cannot establish it.",A grounded response is only as trustworthy as the prompt discipline that tells the model what to do when the retrieved context doesn't actually answer the question.,Replace wording; preserve instructional purpose,"Trustworthiness depends on source quality, retrieval, generation, citation checks, and abstention behavior; prompting alone cannot establish it.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
6,Key Takeaways,RAG access control,Access control must constrain retrieval whenever users have different document permissions; relevance ranking is a separate requirement.,Access control and retrieval are the same problem in any system where not every user should see every document.,Replace wording; preserve instructional purpose,Access control must constrain retrieval whenever users have different document permissions; relevance ranking is a separate requirement.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Connecting to Your Research Assistant,Security detection,-   Record detected or suspected injection attempts; unseen attacks remain possible,-   Record all injection attempts,Replace wording; preserve instructional purpose,-   Record detected or suspected injection attempts; unseen attacks remain possible,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,LLM-as-Judge {#sec-10-5},LLM judge,"Using a model to evaluate another model’s output, sometimes even its own, can scale some evaluation tasks at lower per-item cost, but requires human calibration and does not establish human-equivalent judgment.","Using a strong model to evaluate another model's output, sometimes even its own, has become a genuinely useful way to scale evaluation closer to human-evaluation quality without human-evaluation cost.",Replace wording; preserve instructional purpose,"Using a model to evaluate another model’s output, sometimes even its own, can scale some evaluation tasks at lower per-item cost, but requires human calibration and does not establish human-equivalent judgment.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Introduction,Optimization introduction,"testing combinations of models for possible gains, measuring the quality trade-offs of compression","combining multiple models for better results than any one alone, shrinking models without gutting their quality",Replace wording; preserve instructional purpose,"testing combinations of models for possible gains, measuring the quality trade-offs of compression",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
9,The Multimodal Landscape {#sec-9-1},Alignment terminology,"**Cross-modal alignment**, relating an image region to a sentence (distinct from the behavioral alignment discussed in Chapter 12)","**Alignment**, knowing which part of an image a given sentence is actually describing",Replace wording; preserve instructional purpose,"**Cross-modal alignment**, relating an image region to a sentence (distinct from the behavioral alignment discussed in Chapter 12)",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Key Terminologies and Concepts,Alignment terminology,"The problem of bringing system behavior into better correspondence with specified human intentions and values, while evaluating failures",The problem of ensuring an AI system's behavior actually matches human intentions and values,Replace wording; preserve instructional purpose,"The problem of bringing system behavior into better correspondence with specified human intentions and values, while evaluating failures",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Learning Objectives,Measurable objectives,**Explain** the transformer architecture and analyze its contribution to natural language processing,**Explain** the transformer architecture and understand why it revolutionized natural language processing,Replace wording; preserve instructional purpose,**Explain** the transformer architecture and analyze its contribution to natural language processing,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
8,Learning Objectives,Measurable objectives,and justify what confidence each warrants,and know what confidence each warrants,Replace wording; preserve instructional purpose,and justify what confidence each warrants,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
15,Learning Objectives,Measurable objectives,and design a way to keep tracking them after finishing this book,and know how to keep tracking them after finishing this book,Replace wording; preserve instructional purpose,and design a way to keep tracking them after finishing this book,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
10,LLM-as-Judge {#sec-10-5},Evaluation vocabulary,"## RAG-Specific Evaluation {#sec-10-6}

Use **accuracy** for a specified correctness criterion and denominator; **quality** for the named set of task-relevant dimensions. **Task success** measures satisfaction of explicit task criteria; **human preference** records raters’ choices and need not imply correctness. **Groundedness** describes support in supplied evidence, while **faithfulness** here concerns whether a response accurately reflects that evidence. Neither establishes external factual truth. Retrieval **precision** and **recall** use relevance judgments; **citation correctness** asks whether each cited passage supports the associated claim. Keep these measures separate.",## RAG-Specific Evaluation {#sec-10-6},Replace wording; preserve instructional purpose,"## RAG-Specific Evaluation {#sec-10-6}

Use **accuracy** for a specified correctness criterion and denominator; **quality** for the named set of task-relevant dimensions. **Task success** measures satisfaction of explicit task criteria; **human preference** records raters’ choices and need not imply correctness. **Groundedness** describes support in supplied evidence, while **faithfulness** here concerns whether a response accurately reflects that evidence. Neither establishes external factual truth. Retrieval **precision** and **recall** use relevance judgments; **citation correctness** asks whether each cited passage supports the associated claim. Keep these measures separate.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Takeaways,Wrap-up and teaching consistency,"Tokens, embeddings, and attention are central concepts in the transformer language models studied here; other generative architectures also exist.","Tokens, embeddings, and attention are the three concepts that make text generation computationally possible.",Replace wording; preserve instructional purpose,"Tokens, embeddings, and attention are central concepts in the transformer language models studied here; other generative architectures also exist.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Takeaways,Wrap-up and teaching consistency,"Training data strongly shapes learned behavior and biases; architecture, post-training, prompts, retrieval, and tools also affect outputs.",Training data determines both what a model knows and where it is most likely to be wrong or biased.,Replace wording; preserve instructional purpose,"Training data strongly shapes learned behavior and biases; architecture, post-training, prompts, retrieval, and tools also affect outputs.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Embeddings: Teaching AI the Geography of Meaning,Wrap-up and teaching consistency,"it can represent a sentence it has not seen before using learned relationships, though this does not rule out memorization.","it has never seen your exact sentence before, but it has learned the neighborhood your words live in.",Replace wording; preserve instructional purpose,"it can represent a sentence it has not seen before using learned relationships, though this does not rule out memorization.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Hallucination: Confident Fabrication,Wrap-up and teaching consistency,"A **hallucination** is generated content that is factually wrong or unsupported by relevant evidence, often expressed fluently and confidently","A **hallucination** is a fluent, confident output that is simply wrong",Replace wording; preserve instructional purpose,"A **hallucination** is generated content that is factually wrong or unsupported by relevant evidence, often expressed fluently and confidently",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Discussion Questions,Wrap-up and teaching consistency,a smaller model over a larger one that scores better on a general benchmark,"a smaller, less capable model over a larger one",Replace wording; preserve instructional purpose,a smaller model over a larger one that scores better on a general benchmark,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
2,Small Models (1B-7B parameters): The Swift Specialists,Wrap-up and teaching consistency,a smaller deployment might meet our quality requirements,"a small, fast model could handle that perfectly",Replace wording; preserve instructional purpose,a smaller deployment might meet our quality requirements,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Chain-of-Thought: Thinking Out Loud {#sec-3-3},Wrap-up and teaching consistency,"The ""Let’s Think Step by Step"" Experiments","The ""Let's Think Step by Step"" Miracle",Replace wording; preserve instructional purpose,"The ""Let’s Think Step by Step"" Experiments",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,Basic CoT: The Simple Addition,Wrap-up and teaching consistency,One historical prompting pattern adds this instruction:,Just add the magic phrase:,Replace wording; preserve instructional purpose,One historical prompting pattern adds this instruction:,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,"The ""Let’s Think Step by Step"" Experiments",Wrap-up and teaching consistency,Inspectable (you can check the written steps independently),Verifiable (you can check each step),Replace wording; preserve instructional purpose,Inspectable (you can check the written steps independently),FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
3,"The ""Let’s Think Step by Step"" Experiments",Wrap-up and teaching consistency,"Potentially useful for debugging, though the trace may not reveal the actual cause of an error","Debuggable (if wrong, you can see where it went wrong)",Replace wording; preserve instructional purpose,"Potentially useful for debugging, though the trace may not reveal the actual cause of an error",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
9,Key Takeaways,Wrap-up and teaching consistency,"Multimodal AI processes or generates combinations of images, text, audio, and video","Multimodal AI extends the same underlying reasoning across images, audio, and video",Replace wording; preserve instructional purpose,"Multimodal AI processes or generates combinations of images, text, audio, and video",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
11,Key Takeaways,Wrap-up and teaching consistency,Ensembles and Mixture-of-Experts architectures add complexity in pursuit of quality or efficiency gains; measure whether those gains justify the cost at the intended scale.,"Ensembles and Mixture-of-Experts architectures trade added complexity for improved reliability or efficiency, worth it at genuine scale, often not below it.",Replace wording; preserve instructional purpose,Ensembles and Mixture-of-Experts architectures add complexity in pursuit of quality or efficiency gains; measure whether those gains justify the cost at the intended scale.,FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
12,Key Takeaways,Wrap-up and teaching consistency,"Greater capability and autonomy can introduce harder oversight and control problems, including the agent risks in Chapter 5; evaluate the specific system and deployment.","Alignment gets harder, not easier, as systems gain capability and autonomy, exactly the trajectory Chapter 5's agents represent.",Replace wording; preserve instructional purpose,"Greater capability and autonomy can introduce harder oversight and control problems, including the agent risks in Chapter 5; evaluate the specific system and deployment.",FIXED,Controlled Phase 1B editorial alignment; no new scholarly claim.
1,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
1,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
1,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
2,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
2,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
2,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
3,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
3,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
3,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
4,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
4,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
4,Introduction / Chapter Wrap-Up,Summary consistency,"Summary and introduction use the same scope, limitations, and evidence distinctions as the body.",,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
5,Key Terminologies and Concepts,Terminology table,Definitions agree with scoped body claims; examples illustrate rather than guarantee behavior.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
5,Discussion Questions / Practice / Project Milestone,Pedagogical consistency,Distinct questions and project goals remain relevant to the corrected chapter; implementation remains optional.,,Reviewed after targeted corrections,,CONSISTENT,Whole-book second-order scan; corresponding FIXED entries record changes.
