chapter,source_line,section,claim,verification,priority,source_needed
2,764,Gemini: The Multimodal Future,-   **Integrated multimodal**: Native ability to process text and images together,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,780,Making Strategic Selections,"    -   Simple → Haiku, GPT-3.5 Turbo, or Llama 2 7B",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,781,Making Strategic Selections,"    -   Moderate → Sonnet, GPT-3.5 Turbo, or Llama 2 13B",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,782,Making Strategic Selections,"    -   Complex → Opus, GPT-4, or Llama 2 70B",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,786,Making Strategic Selections,"    -   Multimodal → GPT-4, Gemini",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,787,Making Strategic Selections,"    -   Coding → Code Llama, GPT-4, Sonnet",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,788,Making Strategic Selections,"    -   Multilingual → PaLM 2, GPT-4, Gemini",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,789,Making Strategic Selections,    -   Privacy/customization → Llama 2,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,793,Making Strategic Selections,"    -   Cost-sensitive → Haiku, GPT-3.5 Turbo, self-hosted Llama",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,794,Making Strategic Selections,"    -   Balanced → Sonnet, PaLM 2",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,795,Making Strategic Selections,"    -   Quality-first → Opus, GPT-4",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,803,The Evolving Landscape,"Section 2.5 turns this reasoning into a concrete design exercise: routing simple questions to fast, cost-effective models while reserving the most capable options for the research tasks that actually need them.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,829,"A Decision Framework, Not a Build","3. Where would caching help most, and where would it be actively wrong (a research assistant answering ""what's today's exchange rate?"" should never serve a cached answer)?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,855,Chapter Summary,"When you started this chapter, transformers, training phases, and model families were terms you could define but not yet reason with. Now you understand *why* the transformer architecture displaced everything before it, how pre-training, fine-tuning, and RLHF each shape a model's behavior differently, and why ""bigger"" and ""better"" are not the same question. That understanding is what let Sarah, in this chapter's opening story, replace a runaway API bill with a design she could actually defend to her CTO.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,860,Key Takeaways,"2.  **Training shapes capability**: Pre-training, fine-tuning, and RLHF work together to create helpful, capable AI systems, and each phase leaves a different kind of fingerprint on model behavior.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,861,Key Takeaways,"3.  **Size isn't everything**: The right model for a task balances complexity, speed, cost, and capability, not raw parameter count.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,867,Case Study: Bloomberg's Domain-Specific Financial Model,"Bloomberg didn't reach for the largest general-purpose model available when it built BloombergGPT, its model for financial-domain tasks like sentiment analysis, named-entity recognition, and financial question-answering. Instead, it trained a purpose-built model on a mixture of general text and a carefully curated corpus of financial documents, filings, and news spanning decades.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,874,Discussion Questions,"2. When would you deliberately choose a smaller, less capable model over a larger one, even if cost were no object?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,875,Discussion Questions,3. Bloomberg trained a custom model rather than fine-tuning a general one. What would have to be true about your own project's domain for that same trade-off to make sense?,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,885,Academic Papers,"2.  **Brown, T., et al. (2020). ""Language Models are Few-Shot Learners"" (GPT-3 paper)**",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,899,Technical Resources,"5.  **Anthropic's ""Model Card and Evaluations for Claude Models""**",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,901,Technical Resources,    -   Detailed technical specifications and performance benchmarks.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,905,Industry Perspectives,"6.  **OpenAI's ""GPT-4 Technical Report""**",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,907,Industry Perspectives,    -   Insights into training and capabilities of frontier models.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,909,Industry Perspectives,"7.  **Google's ""PaLM: Scaling Language Modeling with Pathways""**",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
2,924,Ethics and Safety,10. **Anthropic's Constitutional AI Paper**,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,942,Project Milestone: Model Selection Memo,"1. **Candidate models**: Name 2–3 models or model families you'd realistically consider for your assistant, spanning at least two tiers of capability/cost.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
2,943,Project Milestone: Model Selection Memo,"2. **Comparison**: For each candidate, assess capability fit, context window, approximate cost, and latency against your project's actual requirements from the Chapter 1 charter.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,39,Key Terminologies and Concepts,| **Context Window** | The total amount of text (prompt + response) the model can process | Efficient prompting is crucial when working with limited context windows |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,48,Key Terminologies and Concepts,"| **Meta-Prompting** | Using AI to generate or improve prompts | ""Generate 5 variations of this prompt, each optimized for different aspects"" |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,74,3.1 The Anatomy of Effective Prompts,> “Compare quantum computing approaches from IBM and Google”,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,76,3.1 The Anatomy of Effective Prompts,"*The response? A Wikipedia-style overview that could have answered any of them—or none of them well. Same content, same structure, same utterly missing-the-point tone. His sophisticated model selection system from Chapter 2 had dutifully chosen Claude 3 Sonnet for the moderate complexity, but the results were indistinguishable from what a cheap model might produce.*",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
3,108,The Vague Prompt (What Most People Start With),"An AI receiving this prompt faces the same challenge you would if someone walked up and said ""Talk about climate change."" Where do you even start? Scientific mechanisms? Policy debates? Recent news? Historical context? What depth? What perspective? The lack of guidance produces generic, unfocused responses.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,151,2. **Context Setting: What's the Situation?**,"**Rich context**: ""You're reviewing a project proposal for a healthcare AI startup. The company is seeking Series A funding. Focus on technical feasibility, market opportunity, and regulatory risks.""",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
3,331,The Sweet Spot: How Many Examples?,"**6+ examples**: Diminishing returns, wasted context window",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,424,The Context Window Trade-off,Here's a practical consideration: examples consume tokens. Your Chapter 2 exploration of context windows taught you this is a limited resource.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,636,When to Use (and Not Use) Chain-of-Thought,"-   Simple factual retrieval (""What is the capital of France?"")",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,645,The Cost-Quality Trade-off,-   More tokens generated = higher API costs,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,718,The Template Philosophy,4.  **Enables rapid iteration** when requirements change,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,766,Anatomy of a Robust Template,-   Social science studies for policy makers,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1424,Connecting to Your Research Assistant,-   Check content policy compliance,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1546,Metric 3: Efficiency (Quality per Token),**Why it matters**: Remember from Chapter 2 that tokens cost money. A prompt that uses 2000 tokens to get quality=8.0 is less efficient than one using 500 tokens for quality=7.5.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1749,Step 6: Decision and Rollout,-   Significant improvement + higher cost → Calculate ROI,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1770,Building a Continuous Evaluation System,-   Review cost efficiency,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1776,Building a Continuous Evaluation System,-   Update benchmarks based on improvements,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1863,Designing Instead of Building,"You do not need a template-selection engine, a JSON schema, or a dynamic customization pipeline to do this well; you need to write five genuinely good, carefully reasoned prompts and be able to defend each design choice. The architecture that *would* automatically route a query to the right template, the one described earlier in this chapter as query analysis feeding template selection feeding customization, is worth understanding conceptually (you'll need that reasoning again when you design your Agent Capability Plan in Chapter 5), but implementing it is optional, advanced work, not the assignment.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1921,Case Study: How Notion Built Its AI Writing Assistant,"The lesson generalizes directly to your own prompt library. A single ""smart"" system prompt that tries to handle every kind of request your assistant might receive will almost always underperform three or four narrower, purpose-built prompts, even though the narrower approach looks like more upfront work. It isn't more work if it saves you the far larger cost of a generic prompt failing silently and unpredictably in production.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1937,Foundational Papers,"2.  **Brown, T., et al. (2020). ""Language Models are Few-Shot Learners"" (GPT-3 Paper)**",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
3,1957,Practical Guides,6.  **OpenAI Prompt Engineering Guide**,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1959,Practical Guides,"    -   Official best practices from OpenAI, regularly updated.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1960,Practical Guides,    -   [platform.openai.com/docs/guides/prompt-engineering](https://platform.openai.com/docs/guides/prompt-engineering),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1962,Practical Guides,7.  **Anthropic Prompt Engineering Guide**,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
3,1964,Practical Guides,    -   Claude-specific techniques and best practices.,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
3,1965,Practical Guides,    -   [docs.anthropic.com/claude/docs/prompt-engineering](https://docs.anthropic.com/claude/docs/prompt-engineering),PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
3,2003,Project Milestone: Prompt Library v1,"*End of Chapter 3. Chapter 4 turns to the plumbing that connects a well-chosen model and a well-designed prompt to the outside world: APIs, reliability, and integration.*",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,11,Introduction,"Working with AI APIs presents challenges that don't show up in a quick prototype: managing rate limits, handling unpredictable latency, optimizing cost across providers, and staying available when an external service fails. These are the engineering practices that separate a weekend demo from something a business can actually depend on.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,13,Introduction,"In this chapter, you'll design, not implement, the integration layer for your research assistant: how it talks to one or more providers, what happens when a call fails, how caching and cost tracking fit together, and what a provider outage would actually mean for your users. As with every chapter so far, the deliverable is a design document, not a working system, though nothing stops you from building it if you want the extra practice.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,22,Learning Outcomes,- Compare cost-optimization strategies across providers and pricing models,PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,23,Learning Outcomes,"- Describe how caching reduces both cost and latency, and where it's actively risky",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,25,Learning Outcomes,- Apply baseline security practices for API key management and data handling,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,31,Key Terminologies and Concepts,| **API (Application Programming Interface)** | Set of protocols and tools for building software applications to communicate | An API lets your app access a provider's models |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,32,Key Terminologies and Concepts,"| **REST API** | Architectural style for designing networked applications using HTTP methods | GET, POST, PUT, DELETE operations for AI services |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,33,Key Terminologies and Concepts,| **Rate Limiting** | Restrictions on the number of API requests allowed within a time period | A provider might cap requests per minute for a given tier |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,35,Key Terminologies and Concepts,| **Circuit Breaker Pattern** | Design pattern that prevents cascading failures in distributed systems | Stop calling a failing API after consecutive failures |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,38,Key Terminologies and Concepts,| **Load Balancing** | Distributing requests across multiple services or instances | Rotate between different API endpoints |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,39,Key Terminologies and Concepts,| **Caching** | Storing frequently accessed data to reduce API calls and improve speed | Cache common responses for a defined period |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,40,Key Terminologies and Concepts,| **Cache Hit Ratio** | Percentage of requests served from cache vs. requiring an API call | An 80% hit ratio means 80% of requests avoid an API call |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,41,Key Terminologies and Concepts,"| **API Key Management** | Secure handling and rotation of authentication credentials | Store keys in environment variables, rotate regularly |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,45,Key Terminologies and Concepts,| **SDK (Software Development Kit)** | Pre-built libraries for interacting with APIs | A provider's Python SDK simplifies integration |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,48,Key Terminologies and Concepts,| **Health Check** | Regular testing of service availability and performance | Ping an API endpoint periodically to confirm it responds |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,55,4.1 Understanding the AI API Landscape,"The AI API ecosystem is broad and shifts quickly, but the shape of the decision stays stable across providers:",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,57,4.1 Understanding the AI API Landscape,"**Major commercial providers** each carve out a slightly different niche: some emphasize a mature ecosystem and broad general capability, others emphasize very large context windows and a strong safety focus, others lean into multimodal capability and integration with an existing cloud platform. Each trades off cost, availability, and specialization differently, and that specialization changes fast enough that memorizing today's pricing table is a poor use of your time.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,59,4.1 Understanding the AI API Landscape,"**Open-weight models**, hosted by you or by a third party, trade the convenience of a managed API for cost control and customization, at the price of infrastructure management you now own.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,67,4.2 Integration Architecture Patterns,"**Multi-provider abstraction** creates a unified interface that can work with any provider behind it. This buys you provider flexibility, cost optimization through comparison, and automatic failover, at the cost of real complexity: different providers format requests and responses differently, support different features, and enforce different rate limits.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,88,4.2 Integration Architecture Patterns,"The design question worth answering on paper, before any of this gets built, is which of your providers plays which role: primary, cost-optimized fallback, and capability-of-last-resort for the hardest queries.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,110,4.4 Cost Optimization Strategies,"Providers price their APIs differently, per-token, per-request, by subscription, or by compute time, which means ""which provider is cheaper"" doesn't have a single answer independent of your actual usage pattern. Five levers matter most in practice:",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,112,4.4 Cost Optimization Strategies,"1. **Intelligent model selection**: route simple queries to cheap models and reserve expensive ones for queries that actually need them, the routing design from Chapter 2 applied at the cost layer.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,113,4.4 Cost Optimization Strategies,"2. **Prompt efficiency**: shorter, tighter prompts cost less per call, without necessarily sacrificing quality, an argument for the disciplined prompt design from Chapter 3.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,116,4.4 Cost Optimization Strategies,"5. **Provider comparison**: for interchangeable tasks, comparing real cost across providers can reveal savings a single-provider commitment would miss.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,129,4.5 Performance Optimization and Monitoring,"**What to actually monitor** matters more than how you monitor it. At minimum: response time (ideally at the P50/P95/P99 level, not just an average, which hides the worst experiences), success rate, cost per request, cache hit ratio, and how each provider is performing relative to the others if you're running more than one.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,133,4.6 Security and Best Practices,"**API key management** follows the same discipline as any other production credential: never hard-code keys in source, use environment variables or a proper secrets manager, rotate keys periodically, and monitor for unusual usage that might indicate a leaked key.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,135,4.6 Security and Best Practices,"**Data protection** deserves particular attention with AI APIs specifically because the payload is often unstructured user text that's easy to send carelessly: sanitize and validate input before it reaches the model, watch for prompt injection (covered in depth in Chapter 3), and know what your provider does and doesn't retain, especially for regulated domains under GDPR, HIPAA, or similar frameworks, a topic Chapter 14 covers in full.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,143,Connecting to Your Project: The Integration Architecture,"**Provider strategy**: How many providers will you integrate, and what role does each play, primary, cost fallback, capability-of-last-resort? Justify the choice against your Chapter 2 Model Selection Memo.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,147,Connecting to Your Project: The Integration Architecture,"**Cost and caching**: Where does caching help your specific assistant, and where would it be actively wrong (recall the currency-rate example from Chapter 2)?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,155,"Case Study: A Provider Outage, Worked Through","The technical answer starts with failover: is a secondary provider already integrated and warmed up, or does switching require emergency engineering work under time pressure? The honest answer for most teams is closer to the second, which is precisely the argument for designing multi-provider failover *before* you need it, not during an incident. But the technical answer is only part of the picture. There's a cost dimension (your fallback provider may be more expensive, and for three days that's a real, defensible budget line, not an afterthought), a user-experience dimension (does response quality or latency visibly change, and should you tell users why), and a communication dimension (what do you tell stakeholders, and when).",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,161,Discussion Questions,"1. How do the engineering practices in this chapter compare to reliability practices you'd apply to any external service integration? What, if anything, is genuinely unique to AI APIs?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,162,Discussion Questions,"2. What trade-off would you make between cost optimization and response quality in a production system, and how would you justify that trade-off to a non-technical stakeholder?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,163,Discussion Questions,"3. How would you design your integration layer to tolerate the rapid pace at which providers and models change, without a major rearchitecture every few months?",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,167,Further Reading,"- Nygard, M. (2018). *Release It!* — The standard reference for resilience patterns (circuit breakers, bulkheads, timeouts) that this chapter applies to AI APIs specifically.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,169,Further Reading,"- Provider documentation for whichever models you selected in Chapter 2, rate limits, pricing, and SLAs change often enough that primary sources beat secondhand summaries, including this one.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
4,177,Key Takeaways,"- Multi-provider integration trades implementation complexity for reduced vendor risk and better cost optimization, a trade-off worth making deliberately, not by default.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,179,Key Takeaways,"- Caching is one of the highest-leverage cost and latency optimizations available, and one of the easiest to apply incorrectly to time-sensitive data.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,181,Key Takeaways,"- Security practices for API integration (key management, input sanitization, data handling) are not optional hardening, they're baseline professional practice.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,186,Practice,"- Pick one cost-optimization lever from section 4.4 and estimate, roughly, how much it might save for a assistant handling a few thousand queries a month in your domain.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,194,Project Milestone: Integration Architecture Diagram,3. **Cost and rate-limit plan**: One paragraph on your expected usage pattern and which cost-optimization lever from section 4.4 you'd apply first.,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
4,196,Project Milestone: Integration Architecture Diagram,"*End of Chapter 4. Chapter 5 turns to giving your assistant the ability to act, not just answer, through tool use and agentic workflows.*",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,21,What You'll Learn,- Distinguish clearly between an AI assistant that answers and an AI agent that acts,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,22,What You'll Learn,"- Understand how tool use and function calling actually work, conceptually",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,23,What You'll Learn,- Compare the major agent architectural patterns and know when each fits,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,25,What You'll Learn,"- Design a bounded, human-appropriate set of capabilities for an agent in your own domain",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,31,Learning Outcomes,1. **Distinguish** between the oracle paradigm (AI that answers) and the agent paradigm (AI that acts),PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,32,Learning Outcomes,2. **Explain** how function calling lets a model request the execution of code or an API outside itself,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,33,Learning Outcomes,"3. **Compare** ReAct, plan-and-execute, and reflection-based agent architectures",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,34,Learning Outcomes,4. **Identify** the specific new risks that tool-using agents introduce beyond the risks already covered for plain generation,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,35,Learning Outcomes,"5. **Design** a capability boundary for an agent, specifying what it may do autonomously and what requires human approval",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,41,Key Terminologies and Concepts,"| **Agent** | An AI system that can take actions in the world, not just generate text, typically by calling tools or APIs | A scheduling agent that can actually move a calendar event, not just describe the conflict |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,42,Key Terminologies and Concepts,"| **Tool Use / Function Calling** | A model's ability to output a structured request to run a specific function, which the surrounding system then executes | The model outputs `check_calendar(date=""2026-09-22"")` instead of guessing the answer |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,43,Key Terminologies and Concepts,"| **Tool** | Any external capability an agent can invoke: an API, a database query, a code execution environment, a search function | A weather API, a company's internal order-lookup system, a calculator |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,44,Key Terminologies and Concepts,"| **ReAct (Reason + Act)** | An agent pattern that interleaves reasoning steps with tool calls, observing each result before deciding the next action | ""I need the current price → call `get_price()` → the price is $42 → now I can answer"" |",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
5,45,Key Terminologies and Concepts,"| **Plan-and-Execute** | An agent pattern that produces a full plan upfront, then carries out each step, rather than deciding one step at a time | Outline all five steps needed to book a trip, then execute them in order |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,46,Key Terminologies and Concepts,| **Reflexion / Self-Correction** | A pattern where an agent evaluates its own prior attempt and revises its approach before trying again | An agent that reviews a failed code execution and adjusts its next attempt |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,47,Key Terminologies and Concepts,"| **Orchestration** | The logic that manages an agent's loop of reasoning, acting, and observing until a task is complete or abandoned | The controller that decides whether to call another tool or return a final answer |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,48,Key Terminologies and Concepts,| **Human-in-the-Loop** | A design where a human must approve certain agent actions before they execute | Requiring explicit confirmation before an agent sends an email on your behalf |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,49,Key Terminologies and Concepts,| **Sandboxing** | Restricting an agent's actions to an isolated environment where mistakes can't cause real-world harm | Letting an agent execute code in a container with no access to production systems |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,50,Key Terminologies and Concepts,"| **Permission Scoping** | Limiting exactly which tools and data an agent can access, following the principle of least privilege | An agent that can read a calendar but not delete events |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,51,Key Terminologies and Concepts,"| **Multi-Agent System** | An architecture where multiple specialized agents collaborate, each handling part of a larger task | One agent researches, another drafts, a third fact-checks |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,52,Key Terminologies and Concepts,| **Goal Hijacking** | An attack where malicious input redirects an agent's actions away from its intended task | A webpage an agent is browsing contains hidden text instructing it to leak data |,PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,53,Key Terminologies and Concepts,"| **Trajectory** | The full sequence of reasoning steps, tool calls, and observations an agent produces while completing a task | Reviewing an agent's trajectory to understand why it made a particular decision |",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,61,5.1 From Question-Answering to Action,"The **agent paradigm** breaks that boundary. An agent doesn't just tell you what's true or what it thinks you should do, it does it, by calling tools, executing code, or interacting with external systems on your behalf. The scheduling assistant that opened this chapter is an agent the moment it actually reads your calendar and sends a message, not before.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,63,5.1 From Question-Answering to Action,"This distinction matters enormously for a reason that has nothing to do with technical sophistication: **the moment a system can act, the cost of a mistake changes category.** A hallucinated fact in a chat response is embarrassing and potentially misleading. A hallucinated *action*, an agent that ""hallucinates"" that it's supposed to cancel an order, delete a file, or send a message, is no longer just wrong information; it's a wrong event that already happened in the world. You'll see this idea again and again through this chapter: the reasoning, the recognizing tool-use, the architecture, is genuinely fascinating, but the design discipline this chapter asks of you is really about respecting that cost asymmetry.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,67,The Human-in-the-Loop Spectrum,"Not every agent needs to be, or should be, fully autonomous. A useful way to think about this is a spectrum, not a binary:",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,76,The Human-in-the-Loop Spectrum,"Where a given capability sits on this spectrum should never be an accident. It's a deliberate design decision, and it's the first thing you'll be asked to specify for your own project's agent.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,86,The Basic Loop,"Imagine you ask an agent, ""What's the weather in Nairobi right now?"" A plain language model, with no tool access, would have to guess or refuse, its training data has no way of knowing today's weather. A tool-using agent instead recognizes that this question calls for a function it has access to, and generates a structured call like:",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,92,The Basic Loop,"The surrounding application (not the model itself) intercepts that request, actually calls a weather API, gets back real data, and feeds that data back into the model's context. The model then uses that real, current information to compose its actual answer to you. The model never touched the weather API; it only ever generated text, but text in a special format the application knows how to interpret as an instruction.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,94,The Basic Loop,"This is the entire mechanism behind tool use: the model describes what it wants; the application executes it; the result comes back into the conversation. Everything more sophisticated in this chapter, multi-step reasoning, planning, multi-agent coordination, is this same basic loop, repeated and orchestrated.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,110,ReAct: Reasoning and Acting Together,"**ReAct** interleaves explicit reasoning with tool calls, one step at a time. The model reasons about what it needs, takes one action, observes the result, then reasons again about what to do next, rather than trying to plan the whole task in advance. For a question like ""Is the flagship product cheaper on our site or a competitor's right now,"" a ReAct agent might reason: ""I need our current price,"" call a tool, observe the result, reason: ""Now I need the competitor's price,"" call another tool, observe that result, then finally reason its way to an answer.",PENDING,high,"Dated primary paper, provider documentation/model card, or official legal text"
5,112,ReAct: Reasoning and Acting Together,"The appeal of ReAct is its adaptability: because each step only commits to the *next* action rather than the whole plan, it handles surprises gracefully, if the first tool call reveals something unexpected, the agent's next reasoning step can adapt.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,118,Plan-and-Execute: Strategy Before Tactics,"The trade-off is brittleness: if step two reveals that the original plan doesn't actually work (the flight the agent planned around is sold out), a purely plan-and-execute agent has to notice this and re-plan, which is exactly the adaptability ReAct handles more naturally.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
5,122,Reflexion: Learning From the Last Attempt,"**Reflexion**, and self-correction patterns more broadly, add a review step: after an attempt (a piece of generated code that failed to run, a plan that produced an unsatisfying result), the agent evaluates what went wrong and revises its approach before trying again. This is genuinely useful for tasks with a clear, checkable success signal (code that either runs or doesn't), and considerably less reliable for tasks where ""success"" is subjective and the agent's own self-assessment can't be fully trusted, a limitation worth remembering when you design your own project's evaluation approach in Chapter 10.",PENDING,normal,"Dated primary paper, provider documentation/model card, or official legal text"
