chapter,section,source_line,severity,original_claim_or_example,issue,evidence,correction,status
2,Making Strategic Selections,715,MEDIUM,"Coding → Code Llama, GPT-4, Sonnet",Dated product prescription generalized,,Coding → a model evaluated on representative code tasks,RESOLVED
2,Making Strategic Selections,716,MEDIUM,"Multilingual → PaLM 2, GPT-4, Gemini",Dated product prescription generalized,,Multilingual → evidence for each target language and task,RESOLVED
2,Making Strategic Selections,717,MEDIUM,Privacy/customization → Llama 2,Dated product prescription generalized,,"Privacy/customization → suitable deployment controls, license, and adaptation support",RESOLVED
2,Making Strategic Selections,721,MEDIUM,"Cost-sensitive → Haiku, GPT-3.5 Turbo, self-hosted Llama",Dated product prescription generalized,,"Cost-sensitive → measured total cost, including hosting and operations",RESOLVED
2,Making Strategic Selections,722,MEDIUM,"Balanced → Sonnet, PaLM 2",Dated product prescription generalized,,"Balanced → measured quality, latency, and cost trade-offs",RESOLVED
2,Making Strategic Selections,723,MEDIUM,"Quality-first → Opus, GPT-4",Dated product prescription generalized,,"Quality-first → task-specific evidence, error analysis, and oversight",RESOLVED
9,Introduction,5,HIGH,"An accessibility app points a phone's camera at a busy intersection and, through a synthesized voice, tells a blind user what's in front of them: a crosswalk signal, a cyclist approaching from the left, a café awning overhead. Nothing about that sentence involves text input or output as you've thought about it through this entire book, it involves an AI system perceiving the world visually and translating that perception into language, in real time, in a context where a wrong or slow answer has real consequences for someone's safety.",Unsafe unverified navigation vignette,,"**Illustrative scenario.** An accessibility app describes a photographed food label through synthesized speech. A wrong reading still matters, so the user can request a human check. This is an example of converting visual content into language, not a claim that an image-description model is safe for crossing a street, navigation, or other safety-critical decisions.",RESOLVED
9,Introduction,7,MEDIUM,"not by bolting a separate tool onto a text model, but through architectures trained from the start to relate meaning across different kinds of input",False architectural dichotomy,,through either integrated models or pipelines combining modality-specific components,RESOLVED
9,Key Takeaways,114,MEDIUM,not a separate technology bolted onto text models,Summary architecture correction,,through integrated architectures or coordinated modality-specific systems,RESOLVED
9,The Multimodal Landscape {#sec-9-1},45,MEDIUM,## Vision-Language Models {#sec-9-2},Capability scope and missing retrieval detail,,"## Vision-Language Models {#sec-9-2}

Vision capabilities are model- and task-specific. OCR, counting, handwriting, spatial relations, and chart interpretation require separate tests, including degraded inputs and explicit abstention paths. Shared image/text embeddings support cross-modal retrieval, but embedding proximity is not proof of factual equivalence. [@clip; @visiondocs]",RESOLVED
9,Vision-Language Models {#sec-9-2},55,HIGH,## Audio: Speech and Sound {#sec-9-3},Diarization/identity and emotion reliability,,"## Audio: Speech and Sound {#sec-9-3}

Speech recognition and diarization are separate tasks: speaker labels do not necessarily identify a person, and a transcription model need not provide diarization. Measure word error rate and diarization errors on representative audio; transcription can insert unsupported text. Do not infer a person's internal emotional state reliably from vocal or facial cues. [@whisper; @microsoftresponsible]",RESOLVED
9,Key Takeaways,120,MEDIUM,Transcription and audio analysis are reliable for words; inferring emotion or intent from voice deserves real caution.,Summary reliability overclaim,,Transcription accuracy depends on language and recording conditions; emotion and intent inference require particular caution.,RESOLVED
9,Image and Video Generation {#sec-9-5},71,MEDIUM,built on diffusion models for most current systems,Unverified current prevalence,,illustrated here by diffusion models,RESOLVED
9,Document Processing with Mixed Content {#sec-9-4},69,MEDIUM,## Image and Video Generation {#sec-9-5},Architecture and historical scope,,"## Image and Video Generation {#sec-9-5}

Denoising diffusion learns a reverse process from noisy samples; latent-space and other generative architectures change the implementation. The DALL-E 2 paper is a historical example, not a specification for all current systems. Assess temporal consistency and controllability of video on the exact version; do not infer them from polished demonstrations. [@diffusion; @dalle2]",RESOLVED
9,Multimodal Ethical Challenges {#sec-9-6},83,MEDIUM,the accessibility example that opened this chapter is real and valuable,Fiction presented as real,,"visual accessibility can be valuable, while the opening scenario is illustrative",RESOLVED
10,Evaluating Generative AI Systems {#sec-ch10},3,MEDIUM,## Introduction,Fictional accuracy example,,"## Introduction

**Illustrative scenario.** The two teams and their 95% figures are invented to contrast metric definitions, not reported company results.",RESOLVED
10,The Evaluation Challenge {#sec-10-1},44,MEDIUM,## Defining Success Before You Measure Anything {#sec-10-2},Missing evaluation design rigor,,"## Defining Success Before You Measure Anything {#sec-10-2}

Separate **validity** (does the measure capture the intended construct?) from **reliability** (does it behave consistently across raters or runs?). Specify the target population, task distribution, evaluation unit, sampling method, error costs, and acceptance criteria before testing. Use held-out data with contamination checks, report sample sizes and uncertainty, and break results down by relevant language, domain, and user group. A single aggregate score can hide serious failures. [@helm]",RESOLVED
10,Defining Success Before You Measure Anything {#sec-10-2},54,MEDIUM,## Automated Metrics {#sec-10-3},Precise metric scope,,"## Automated Metrics {#sec-10-3}

BLEU uses modified n-gram precision with a brevity penalty; ROUGE is a family including overlap and longest-common-subsequence measures. Report the variant, tokenizer, reference set, and aggregation convention. BERTScore compares contextual token representations rather than simply averaging sentence embeddings. None directly establishes truth, groundedness, or usefulness. Passing generated-code tests only establishes success on those tests; inspect coverage and run code in a restricted environment. [@bleu; @rouge; @bertscore]",RESOLVED
10,Automated Metrics {#sec-10-3},60,MEDIUM,it's genuinely reliable exactly where the task is checkable,Test oracle overclaim,,its reliability still depends on the quality and coverage of the checks,RESOLVED
10,Automated Metrics {#sec-10-3},62,MEDIUM,## Human Evaluation {#sec-10-4},Inter-rater reliability limitations,,"## Human Evaluation {#sec-10-4}

Train raters with examples and pilot the rubric. Blind model identities where possible, randomize presentation, collect independent ratings before discussion, and report disagreement rather than erasing it through consensus. Choose an agreement statistic suited to nominal, ordinal, or continuous scores; percentage agreement alone does not account for chance. Report rater expertise, sampling, and uncertainty. Agreement supports consistency, not truth or representativeness. [@helm]",RESOLVED
10,Human Evaluation {#sec-10-4},70,HIGH,## LLM-as-Judge {#sec-10-5},Judge position bias and calibration,,"## LLM-as-Judge {#sec-10-5}

Position bias can favor the first or second answer; verbosity and self-preference can reward style over substance. Swap answer order, blind identities, specify a rubric, and calibrate against independent domain experts. Track disagreement by task and group, fix the judge version, and prevent candidate answers from acting as instructions to the judge. A judge is an imperfect measurement instrument, not ground truth. [@judge; @indirectinjection]",RESOLVED
10,LLM-as-Judge {#sec-10-5},78,MEDIUM,## RAG-Specific Evaluation {#sec-10-6},Attribution validity,,"## RAG-Specific Evaluation {#sec-10-6}

Separate citation **correctness** (a cited passage supports a claim) from citation **coverage** (material claims have support). Faithfulness can be high even when a source is false or stale. Evaluate empty retrieval, contradictory sources, malicious passages, and abstention, using source passage identifiers and independent fact checks. [@rag; @ragsurvey]",RESOLVED
10,RAG-Specific Evaluation {#sec-10-6},86,MEDIUM,## Testing and Quality Assurance {#sec-10-7},Missing agent and multimodal evaluation,,"## Testing and Quality Assurance {#sec-10-7}

For **agents**, score task completion, tool selection and arguments, unauthorized actions, budget overruns, recovery, and safe stopping; inspect trajectories rather than only the final answer. For **multimodal systems**, separately test OCR, transcription, visual grounding, and cross-modal contradictions. Maintain typical, rare, adversarial, and subgroup test slices. Red-team discoveries are useful failures, not an estimate of prevalence or proof that no other attack exists. [@react; @redteam; @helm]",RESOLVED
11,Beyond Single-Model Routing: Ensemble Methods {#sec-11-1},41,HIGH,"**Mixture of Experts (MoE)** takes a more structural approach: rather than running every model on every query and choosing among the outputs afterward, a gating mechanism decides upfront which specialized ""expert"" sub-model should handle a given input, so only the relevant expert actually runs. This is efficient by design, and it's worth noting that some of the most capable models available today use MoE-style architecture internally, which means you may already be benefiting from this idea without having to implement it yourself.",MoE confused with model routing,,"**Mixture of Experts (MoE)** is often implemented by routing each token to a small number of trainable expert feed-forward blocks within a model. This differs from an application selecting one complete model per request. Sparse activation reduces active computation relative to activating every expert, but weights, communication, and load balancing still have costs. Experts need not correspond to human-named specialties. [@switch]",RESOLVED
11,Beyond Single-Model Routing: Ensemble Methods {#sec-11-1},43,MEDIUM,## Model Compression: Making Models Smaller and Faster {#sec-11-2},Compression speed and quality guarantees,,"## Model Compression: Making Models Smaller and Faster {#sec-11-2}

Quantization reduces representation size; speed gains depend on hardware and kernels. Unstructured sparsity may save no latency without suitable execution support. Distillation transfers selected behavior, including possible errors, and does not guarantee that the student retains every capability. Benchmark memory, quality, and latency under identical conditions. [@qlora; @distillation]",RESOLVED
11,Model Compression: Making Models Smaller and Faster {#sec-11-2},55,HIGH,## Performance Engineering {#sec-11-3},KV cache and speculative precision,,"## Performance Engineering {#sec-11-3}

KV caches store previous **key and value projections**, not completed attention scores. Continuous batching admits and removes requests during generation, improving utilization with workload-dependent latency. Exact speculative sampling uses an acceptance/rejection correction to preserve the target distribution; simply accepting plausible draft tokens does not establish equivalence. Application developers control request routing and budgets; serving-engine changes require control of the inference stack. [@vllm; @speculative]",RESOLVED
11,Connecting to Your Project: An Optimization Plan,95,MEDIUM,## Case Study: Serving Search at Scale,Unverified deployment and TGI freshness,,"## Case Study: Serving Search at Scale

**Illustrative architecture.** This is a composite design discussion, not a measured company deployment. Combined optimizations can interact adversely; test the combination. For a concrete research implementation, see PagedAttention and vLLM. As checked 2026-09-18, Hugging Face describes TGI as in maintenance mode, so its documentation is useful historically but is not evidence of ongoing feature development. [@vllm; @tgi]",RESOLVED
12,Key Terminologies and Concepts,23,MEDIUM,"A model that's technically capable but refuses harmful requests is, in this sense, aligned",Alignment definition too narrow,,"Refusal behavior is one evaluated property, not proof of overall alignment",RESOLVED
12,How Alignment Actually Happens: RLHF and Constitutional AI {#sec-12-2},46,MEDIUM,"That gap is closed by a further training stage, and two related approaches dominate how it's currently done.",False completeness and dominance,,"Post-training can reduce that gap, but no single recipe closes it completely. The following are documented approaches rather than an exhaustive account of current practice.",RESOLVED
12,What the Alignment Problem Actually Is {#sec-12-1},44,MEDIUM,## How Alignment Actually Happens: RLHF and Constitutional AI {#sec-12-2},Missing supported modern post-training,,"## How Alignment Actually Happens: RLHF and Constitutional AI {#sec-12-2}

**Direct Preference Optimization (DPO)** learns from preferred/dispreferred response pairs with a direct objective, avoiding a separate learned reward model and online reinforcement-learning loop in the original formulation. RLHF, DPO, and reinforcement learning with verifiable rewards address different supervision settings; benchmark gains do not establish general alignment. [@dpo; @rlhf; @deepseekr1]",RESOLVED
12,How Alignment Actually Happens: RLHF and Constitutional AI {#sec-12-2},56,MEDIUM,## Interpretability: Looking Inside the Black Box {#sec-12-3},Explanation faithfulness scope,,"## Interpretability: Looking Inside the Black Box {#sec-12-3}

Generated explanations and attention maps are not guaranteed causal accounts. Mechanistic work seeks testable internal hypotheses, ideally supported by interventions, but identifying an interpretable feature is not a complete explanation of behavior. Keep claims scoped to the studied model and experiment. [@unfaithful; @attentionexplanation; @interpretability]",RESOLVED
12,Interpretability: Looking Inside the Black Box {#sec-12-3},66,MEDIUM,## Red-Teaming as a Discipline {#sec-12-4},Jailbreak versus injection,,"## Red-Teaming as a Discipline {#sec-12-4}

Distinguish a jailbreak (eliciting disallowed behavior) from prompt injection (untrusted content being treated as instructions); they can overlap. Red-teaming can reveal failures but cannot certify their absence. Oversight proposals and agent containment need evaluation under an explicit threat model. [@redteam; @indirectinjection]",RESOLVED
13,"Safety, Ethics, and Responsible AI {#sec-ch13}",3,MEDIUM,## Introduction,Unattributed healthcare case and ethics/law distinction,,"## Introduction

**Illustrative scenario.** The opening healthcare story is fictional. This chapter distinguishes normative responsibilities from measured system properties; legal duties require the jurisdiction-specific analysis in Chapter 14.",RESOLVED
13,Conceptual sketch — comparing outcome rates across groups,61,HIGH,"**equalized odds testing** checks whether accuracy itself is consistent across groups, accounting for different base rates",Incorrect fairness definition,,"**equalized odds testing** compares true-positive and false-positive rates across protected groups, conditional on the actual label; equal aggregate accuracy is not sufficient [@equalopportunity]",RESOLVED
13,The Responsibility Landscape {#sec-13-1},47,HIGH,## Bias Detection and Mitigation {#sec-13-2},Fairness metric scope and sketch limitations,,"## Bias Detection and Mitigation {#sec-13-2}

Demographic parity compares positive-decision rates; equalized odds conditions on outcomes; individual fairness requires a defensible task-specific similarity notion. These criteria can conflict, and no metric alone establishes ethical acceptability or legal compliance. The code's 0.05 threshold is illustrative, not a legal safe harbor; validate binary labels, nonempty groups, sample sizes, and uncertainty before interpreting it. [@equalopportunity; @fairnessawareness]",RESOLVED
13,Conceptual sketch — comparing outcome rates across groups,67,HIGH,## Privacy Protection and Data Security {#sec-13-3},Federated learning falsely implies formal privacy,,"## Privacy Protection and Data Security {#sec-13-3}

Differential privacy bounds how output distributions change between neighboring datasets. The guarantee requires a defined adjacency relation, sensitivity bound, privacy parameters, and composition accounting; arbitrary noise is not enough. Federated learning keeps raw training data decentralized but updates can leak information: privacy requires additional protections such as secure aggregation or a correctly analyzed differential-privacy mechanism. [@dp; @federated]",RESOLVED
13,Key Takeaways,138,HIGH,"Differential privacy and federated learning offer formal, technical privacy guarantees beyond simple policy commitments.",Summary privacy error,,Differential privacy offers a quantified guarantee under stated assumptions; federated learning alone does not guarantee privacy.,RESOLVED
13,"Conceptual sketch — layered, multi-modal content moderation",93,MEDIUM,## Explainability and Transparency {#sec-13-5},Attribution versus cause,,"## Explainability and Transparency {#sec-13-5}

LIME fits a local surrogate around an input; SHAP assigns contributions relative to a specified value function and background distribution. Their outputs depend on modeling choices and are not automatically causal explanations or faithful accounts of an LLM's full generation process. Counterfactual recommendations also require feasibility and causal assumptions. [@lime; @shap; @attentionexplanation]",RESOLVED
15,Key Terminologies and Concepts,35,MEDIUM,## Production Architecture {#sec-15-1},Microservices necessity implied,,"## Production Architecture {#sec-15-1}

Microservices are one option, not a maturity requirement. A modular monolith or managed service may meet the same needs with less operational burden. Define service objectives, capacity and cost budgets, access boundaries, and incident ownership before choosing the architecture. [@nygard; @nistrmf]",RESOLVED
15,Production Architecture {#sec-15-1},43,HIGH,## Deployment Strategies {#sec-15-2},Instant rollback overclaim,,"## Deployment Strategies {#sec-15-2}

Rollback is not necessarily instant or complete: database migrations, cached state, in-flight tool actions, and external side effects may not be reversible. Plan compatibility, traffic draining, rollback tests, and compensating actions. Canary quality gates need enough observations to detect important regressions; a small rollout alone is not evidence of safety. [@nygard]",RESOLVED
15,Deployment Strategies {#sec-15-2},47,MEDIUM,with an equally instant rollback available if something goes wrong,Rollback overclaim,,with a traffic rollback path whose safety depends on compatible state and reversible effects,RESOLVED
15,Key Terminologies and Concepts,24,MEDIUM,"Instant cutover to a new version, with instant rollback if problems appear",Table rollback overclaim,,Traffic cutover with a tested rollback plan; stateful changes may not be reversible,RESOLVED
15,User Experience and Adoption {#sec-15-4},65,MEDIUM,## Maintenance and Long-Term Evolution {#sec-15-5},Lifecycle and cost scope,,"## Maintenance and Long-Term Evolution {#sec-15-5}

Version the complete system: model identifier, prompts, retrieval index, embeddings, tools, and evaluation suite. Track deprecation notices, test replacements before deadlines, and retain rollback-compatible configurations. Log provenance and errors while minimizing sensitive content and restricting access. Cost estimates must include retries, tools, storage, evaluation, and operations, not only generation tokens. [@nistrmf; @openairelimits]",RESOLVED
15,The Frontier: Emerging Directions and Open Questions {.unnumbered},91,MEDIUM,## Architectural Directions {#sec-15-6},Frontier fact versus speculation,,"## Architectural Directions {#sec-15-6}

**Evidence boundary, checked 2026-09-18.** Reasoning-oriented post-training and added inference computation have documented task-specific results; they do not necessarily replace autoregressive next-token generation or expose faithful internal reasoning. DeepSeek-R1 is one public 2025 research report. MoE is an established architecture; future capability trajectories remain uncertain. [@deepseekr1; @switch; @unfaithful]",RESOLVED
15,Architectural Directions {#sec-15-6},99,MEDIUM,the gap between a well-optimized small model and a frontier model's capability continues to narrow for many practical tasks,Unsupported frontier trend,,whether a smaller model is sufficient must be measured on the intended task,RESOLVED
15,Architectural Directions {#sec-15-6},101,MEDIUM,## Open Debates {#sec-15-7},Scope frontier claims,,"## Open Debates {#sec-15-7}

Scaling-law evidence concerns specific losses and training regimes, not guaranteed indefinitely proportional capability gains. Synthetic-data results depend on filtering, feedback, diversity, and retention of real data: recursive degradation is a documented experimental result, not an inevitable outcome of any synthetic data use. Treat forecasts about future models as hypotheses. [@scaling; @chinchilla; @synthetic; @deepseekr1]",RESOLVED
14,"Law, Policy, and Governance of AI {#sec-ch14}",3,HIGH,## Introduction,Missing jurisdiction/date/status framework,,"## Introduction

**Educational scope and verification date: 2026-09-18.** This chapter discusses selected EU and US examples, not legal advice or a complete compliance determination. Distinguish enacted text, effective obligations, pending rules, and case-specific decisions; obtain qualified jurisdiction-specific advice before deployment. The dates below apply to this review, not indefinitely.",RESOLVED
14,Introduction,9,HIGH,"This chapter covers the legal and regulatory landscape a real AI deployment has to navigate: the emerging body of AI-specific regulation, the older bodies of law (copyright, liability) that AI has forced into new and unsettled territory, and the organizational governance structures that turn legal obligations into actual practice. None of this is settled law in the way, say, contract law is settled; you're studying a genuinely moving target, which is exactly why this chapter emphasizes the shape of the landscape and how to navigate it, rather than a fixed set of rules to memorize.",All law characterized as unsettled,,"This chapter covers AI-specific regulation, existing copyright and liability law, and organizational governance. Some rules are enacted and operative; others have future effective dates, and some applications remain contested. Calling the entire field unsettled would obscure duties that already apply. Use the dated EU and US examples below to learn how to check scope, status, and authority. [@aiact; @gdpr; @ftc]",RESOLVED
14,Key Terminologies and Concepts,26,HIGH,The right to an explanation for certain automated decisions affecting an individual,GDPR blanket explanation right,,"EU, as of 2026-09-18: Articles 13–15 and 22 govern information and safeguards for qualifying automated decisions [@gdpr; @cjeu]",RESOLVED
14,Key Terminologies and Concepts,31,MEDIUM,A regulation requiring healthcare data to remain within the country where it was collected,Residency and transfers conflated,,Jurisdiction-specific localization rules differ from EU cross-border transfer conditions [@gdpr],RESOLVED
14,The Regulatory Landscape {#sec-14-1},41,HIGH,"The **EU AI Act** takes a risk-based approach: AI systems are classified by their potential for harm, with correspondingly different obligations. Certain practices are prohibited outright (manipulative techniques that exploit vulnerabilities, for instance); high-risk systems, those affecting employment, credit, law enforcement, or similar consequential domains, face requirements including conformity assessments and detailed documentation; lower-risk systems face lighter transparency obligations, and the lowest-risk tier faces essentially none. This tiered structure is worth understanding even if you're not building for the EU specifically, because it's become an influential template other jurisdictions are drawing from.",Current AI Act timeline and classifications,,"**European Union, as of 2026-09-18 — enacted rules with staged application.** Regulation (EU) 2024/1689 defines prohibited practices, high-risk categories, transparency duties, and obligations for general-purpose AI models. Classification depends on intended purpose, role, exceptions, and relevant Annexes, not simply a broad sector label. The Commission's updated timeline reports Article 50 transparency rules applying from 2 August 2026, with transitions for some existing systems. It reports Annex III high-risk rules applying from 2 December 2027 and Annex I regulated-product high-risk rules from 2 August 2028 following the July 2026 amendment. Do not treat a future high-risk deadline as exemption from already applicable privacy or sector law. [@aiact; @aiomnibus; @aitimeline]",RESOLVED
14,The Regulatory Landscape {#sec-14-1},43,HIGH,"**GDPR**, though not AI-specific legislation, has real teeth for AI systems specifically through its provisions on automated decision-making: a right to explanation for certain automated decisions, requirements for data protection impact assessments, and data subject rights including deletion, all of which interact directly with the explainability material from Chapter 13.",GDPR rights and exceptions overstated,,"**European Union, as of 2026-09-18 — in force.** GDPR applies to personal-data processing within its scope, including relevant AI use. Article 22 addresses solely automated decisions with legal or similarly significant effects, subject to exceptions and safeguards; Articles 13–15 require relevant information about the logic, significance, and envisaged consequences. The CJEU's 27 February 2025 Dun & Bradstreet Austria ruling addresses an intelligible explanation in this context, not unrestricted disclosure of any model's internals. Article 35 requires a DPIA for qualifying high-risk processing; erasure under Article 17 has exceptions. [@gdpr; @cjeu]",RESOLVED
14,The Regulatory Landscape {#sec-14-1},45,HIGH,"**US regulation** is more fragmented: sector-specific rules (finance, healthcare, employment each carry their own established regulatory bodies now grappling with AI), state-level algorithmic accountability laws, consumer protection law being applied to AI systems by analogy, and executive-branch guidance that shifts with administrations, a genuinely less unified picture than the EU's, and one that requires checking the specific sector and state your project would operate in rather than assuming a single federal standard.",US status lacks concrete dated authority,,"**United States, as of 2026-09-18 — overlapping federal, state, and local regimes.** Existing consumer-protection and sector laws apply to covered AI conduct; the FTC's enforcement materials demonstrate that AI claims are not exempt from those laws. This is not a complete federal inventory. In **New York City**, the regulator describes bias-audit, public-summary, and notice requirements for covered automated employment decision tools, with enforcement beginning 5 July 2023. In **Colorado**, the Attorney General reports that SB26-189 replaced the earlier 2024 framework, with new ADMT provisions effective 1 January 2027; implementing rules are proposed, not final, at this review date. These examples cannot be generalized to every employer, state, or AI system. [@ftc; @nycaedt; @colorado]",RESOLVED
14,The Regulatory Landscape {#sec-14-1},47,MEDIUM,"**Industry standards**, ISO/IEC frameworks for AI systems, IEEE standards for ethical design, and sector-specific professional codes of conduct, aren't legally binding in the way government regulation is, but they increasingly function as the practical benchmark regulators and courts point to when evaluating whether an organization exercised reasonable care.",Unverified claim about court/regulator standards practice,,"**Standards and governance, as of 2026-09-18.** NIST's US AI Risk Management Framework 1.0 is voluntary guidance, not a statute or certification of compliance. Standards can acquire significance through contracts or incorporation into a particular legal scheme. Under the EU AI Act, harmonized standards and conformity assessment have specified roles; a generic ISO, IEEE, or NIST reference does not establish that a system meets every applicable duty. Verify the particular instrument and edition. [@nistrmf; @aiact]",RESOLVED
14,Copyright and Training Data {#sec-14-2},51,HIGH,"Whether training an AI model on copyrighted material constitutes infringement is, at the time of this writing, genuinely unsettled law, actively being litigated across multiple cases and jurisdictions, with real arguments on more than one side rather than an obvious answer either way.",Blanket unsettled claim misses decided distinctions,,"**United States, as of 2026-09-18 — fact-specific and contested applications of existing law.** Fair use is not a universal training exemption. The Copyright Office's May 2025 Part 3 pre-publication report distinguishes uses, acquisition methods, and market effects; it is an agency report, not binding adjudication. The Office's summary of the Northern District of California's 23 June 2025 Bartz order describes fair use for the training use at issue but not for building a permanent library from pirated copies. This dated holding is not a statement that every model-training practice is lawful or a complete account of subsequent litigation. [@copyrighttraining; @bartz]",RESOLVED
14,Copyright and Training Data {#sec-14-2},53,HIGH,"The argument for permissibility typically rests on some version of fair use (in US law) or a similar exception: training extracts statistical patterns rather than reproducing specific expression, the argument goes, similar in kind to how a human writer's reading informs their later original work without each influence constituting infringement. The argument against rests on the sheer scale and commercial nature of the copying involved, and on the observation that a model can, in some documented cases, reproduce recognizable fragments of specific training text, which looks considerably less like ""learning from"" and more like ""copying,"" at least in those instances.",Jurisdictional conflation,,"**European Union, as of 2026-09-18 — statutory exceptions with conditions.** Articles 3 and 4 of Directive (EU) 2019/790 address text and data mining, including lawful-access conditions and, for Article 4, rights reservation. They are not the US fair-use test. National implementation, the use at issue, and relevant AI Act obligations must be considered; do not assume that publicly accessible material is unlicensed or unrestricted. [@eucopyright]",RESOLVED
14,Copyright and Training Data {#sec-14-2},55,HIGH,"This matters directly for your own project work in two ways. First, if your project involves fine-tuning, covered in Chapter 7, on any copyrighted corpus, the same unsettled questions apply to your training data as apply to a frontier lab's, at a different scale but not a different kind. Second, if your assistant generates content resembling a specific author's or artist's style, the question of whether that output itself carries any legal risk is a live one, not obviously resolved by ""the model just learned a general style,"" particularly if the output is used commercially.",Training/output/style issues conflated,,"For a US or EU project at this review date, document the source, license, access conditions, and intended use of training and retrieval material. Separate authorization to obtain a work, use it in training or retrieval, and distribute generated output. US copyrightability of outputs depends on human authorship; the Copyright Office's 2025 Part 2 report does not grant copyright merely for supplying prompts. Style resemblance alone is not a complete infringement analysis; protected expression and other jurisdiction-specific rights need separate review. [@copyrightoutput; @copyrighttraining; @eucopyright]",RESOLVED
14,Liability: Who's Responsible When AI Causes Harm {#sec-14-3},59,HIGH,"When an AI system's output causes real harm, a bad medical suggestion acted on, a biased hiring recommendation followed, a hallucinated legal citation relied on in court, existing liability frameworks (built around human decision-makers and more predictable software) don't map cleanly onto the situation, and this is an active area of legal development rather than settled doctrine.",Liability generalization,,"**United States and European Union, as of 2026-09-18 — jurisdiction-dependent liability.** An AI label does not itself identify who bears liability. Applicable contract, tort, product, consumer-protection, professional, and data-protection rules depend on facts and jurisdiction. For a concrete EU example, GDPR Article 82 addresses compensation for damage and controller/processor responsibility under its conditions; it is not a general rule for all AI harm. [@gdpr; @ftc]",RESOLVED
14,Liability: Who's Responsible When AI Causes Harm {#sec-14-3},61,HIGH,"Several parties could plausibly bear responsibility, and the honest answer is that it often depends on specifics current law hasn't fully resolved: the **model developer**, whose training choices shaped the system's behavior; the **deploying organization**, who chose to put the system in front of users for this specific purpose; and the **end user**, who acted on the output, particularly if they had reason to know it required verification. A useful, if imperfect, analogy is professional malpractice law: a doctor using a diagnostic tool that gives a wrong suggestion is generally still expected to exercise independent judgment, and doesn't get to point entirely at the tool, but the tool's manufacturer isn't necessarily absolved either if the tool was negligently designed or marketed. AI liability law is, in large part, working out how much of that existing structure transfers and how much needs genuinely new doctrine.",Unsupported malpractice analogy and liability allocation,,"As an **illustrative responsibility-mapping exercise**, consider the model supplier, deploying organization, and user: who controlled the risk, what obligations applied, what caused the harm, and what remedies or contracts are relevant? This is a set of questions for legal analysis, not a finding that any of those parties automatically is or is not liable. Under EU GDPR Article 82, the applicable statutory conditions cannot be replaced by a product's own assignment of roles. [@gdpr]",RESOLVED
14,Liability: Who's Responsible When AI Causes Harm {#sec-14-3},63,HIGH,"For your own project, this connects directly to a decision from Chapter 5's agent safety discussion: the human-in-the-loop spectrum isn't just a safety design choice, it's also, practically, a liability-allocation choice. A fully autonomous action shifts more of the practical and legal weight toward the system's designers; a suggest-and-confirm design keeps a human's independent judgment clearly in the loop, which matters both ethically and, potentially, legally.",Human approval falsely shifts liability,,"Human review is a risk-control choice, not an automatic legal transfer of responsibility. Under the EU GDPR framework as of this review date, identify actual roles and whether human involvement is meaningful; merely adding an approval button does not resolve the legal analysis. Record operational ownership separately from any legal conclusion. [@gdpr; @cjeu]",RESOLVED
14,Organizational AI Governance {#sec-14-4},69,MEDIUM,"**AI ethics committees or review boards**, drawing directly on the responsibility framework from Chapter 13, provide cross-functional review of AI projects before and during deployment, ideally with genuine authority to delay or block a deployment when a review surfaces real risk, the same test the Chapter 13 Microsoft case study emphasized. **Risk management frameworks** formalize the process of identifying, assessing, and mitigating risk systematically, rather than relying on whoever happens to notice a problem first. **Documentation requirements**, records of training data provenance, model validation procedures, and deployment monitoring, serve two purposes at once: they support the explainability and accountability goals from Chapter 13, and they're increasingly what a regulator or court will actually ask to see if something goes wrong.",Normative governance versus legal requirement,,"As **organizational recommendations**, use cross-functional review with documented decision rights, escalation paths, data provenance, validation records, and deployment monitoring. These practices are supported by voluntary NIST guidance; which records or assessments are legally mandatory depends on a particular jurisdiction and instrument. For EU high-risk AI, consult the applicable AI Act duties and dates rather than equating an internal ethics review with conformity assessment. [@nistrmf; @aiact; @aitimeline]",RESOLVED
14,Organizational AI Governance {#sec-14-4},71,HIGH,"**Data residency and cross-border considerations** deserve specific mention for any project touching data from multiple jurisdictions: requirements that certain data remain within specific geographic boundaries interact directly with the provider and infrastructure choices from Chapter 4, a cloud API hosted in one country may not be an option at all for data that's legally required to stay in another.",False universal residency requirement,,"**European Union, as of 2026-09-18 — transfers and localization are distinct.** GDPR Chapter V permits certain third-country transfers under specified mechanisms and conditions; GDPR is not a blanket requirement that all personal data stay in the EU. Other sectoral or national localization rules may differ. Record processing and storage locations, subprocessors, contracts, and the applicable transfer mechanism for the actual service. [@gdpr, Chapter V]",RESOLVED
14,Organizational AI Governance {#sec-14-4},75,MEDIUM,## Connecting to Your Project: A Compliance Checklist,Exercise needs scope and source traceability,,"## Connecting to Your Project: A Compliance Checklist

This is an educational issue-spotting exercise as of 2026-09-18, not a compliance certification. For each identified duty, record jurisdiction, actor, activity, exact provision, application date, exceptions, and whether qualified advice is needed. [@aiact; @gdpr; @nycaedt; @colorado]",RESOLVED
14,Connecting to Your Project: A Compliance Checklist,87,MEDIUM,**Name your liability allocation.**,Do not let students declare legal allocation,,**Map operational responsibility and seek legal review.**,RESOLVED
