claim_id,chapter,section,claim_or_topic,phase2_status,phase3_disposition,citation_key,resolution_status,notes
CLAIM-102,13,The Concept,- Algorithm uses hints when they're good,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-103,13,Learned Index Structures,"One of the most successful examples: learned indexes (Kraska et al., 2018).",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-104,13,Learned Index Structures,Results: Google reported 3-5x speedup on real database workloads.,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-105,13,Learned Caching,"Results (Lykouris & Vassilvitskii, 2018): Up to 50% improvement in cache hit rate.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-106,13,Learned Caching,"Real deployment: Partially deployed in CDN systems, file systems.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-107,13,Learned Optimizers,"Learned optimizers (Marcus & Papaemmanouil, 2018):",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-108,13,Differential Privacy: Computing on Sensitive Data,"With data breaches everywhere, researchers asked: Can we learn from data without violating privacy?",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-109,13,The Problem,"Traditional anonymization fails. AOL released ""anonymized"" search logs in 2006—journalists identified specific users within days.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-110,13,The Problem,"Netflix released ""anonymized"" viewing data in 2007—researchers de-anonymized users by correlating with IMDB reviews.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-111,13,"Differential Privacy (Dwork et al., 2006)","Differential Privacy (Dwork et al., 2006)",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dwork2006privacy,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-112,13,Real-World Deployment,U.S. Census Bureau (2020): First census using differential privacy. Injected noise to protect individuals while maintaining statistical accuracy.,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dwork2006privacy,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-113,13,Real-World Deployment,Apple (2016-): Uses local differential privacy for:,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dwork2006privacy,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-114,13,Real-World Deployment,Google (2014-): RAPPOR (Randomized Aggregatable Privacy-Preserving Ordinal Response) for Chrome telemetry.,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-115,13,How Bias Creeps In,"- Example: Amazon's hiring algorithm (discontinued 2018) penalized résumés mentioning ""women's"" (as in ""women's chess club"")",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-116,13,How Bias Creeps In,"- Example: Facial recognition works worse for darker skin tones (Buolamwini & Gebru, 2018)",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-117,13,Defining Fairness,"Impossibility result (Kleinberg et al., 2016): You can't satisfy calibration, equal opportunity, AND balance (equal positive predictive value) simultaneously unless base rates are equal or the classifier is perfect.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-118,13,Fairness Algorithms,"- Reweighing (Kamiran & Calders, 2012): Weight training examples to balance groups",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-119,13,Fairness Algorithms,"- Learning fair representations (Zemel et al., 2013): Transform features to remove bias",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-120,13,Fairness Algorithms,- Zafar et al. (2017): Add fairness constraints to loss function,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-121,13,Fairness Algorithms,- Agarwal et al. (2018): Reduction approach—convert any ML algorithm to fair version,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-122,13,Fairness Algorithms,- Hardt et al. (2016): Calibrate thresholds per group to achieve equal opportunity,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-123,13,Fairness Algorithms,- Pleiss et al. (2017): Isotonic regression for calibration across groups,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-124,13,Real-World Examples,- ProPublica investigation (2016): Found racial disparities in false positive rates,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-125,13,Real-World Examples,- Amazon shut down AI recruiting tool (2018) due to gender bias,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-126,13,Real-World Examples,- HireVue uses video interviews + AI scoring (ongoing fairness concerns),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-127,13,Real-World Examples,- Apple Card investigation (2019): Appeared to give men higher limits than women,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-128,13,Deep Learning: The Revolution,"In 2012, a neural network called AlexNet won the ImageNet competition by a shocking margin. It started the deep learning revolution that gave us:",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-129,13,Backpropagation: The Learning Algorithm,"Backpropagation (Rumelhart et al., 1986): Use the chain rule to compute all gradients in one backward pass.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-130,13,Modern Optimizers,Momentum (1964): Accelerate in consistent directions,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-131,13,Modern Optimizers,"Adam (Kingma & Ba, 2014): Adaptive learning rates per parameter",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-132,13,Transformers: The Architecture Revolution,"In 2017, ""Attention is All You Need"" (Vaswani et al.) introduced Transformers. They now power:",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,vaswani2017attention,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-133,13,Transformers: The Architecture Revolution,- BERT (Google Search),REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-134,13,Transformers: The Architecture Revolution,- AlphaFold (protein folding),REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,jumper2021alphafold,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-135,13,Multi-Head Attention,Typical setup: 8-16 heads. GPT-3 uses 96 heads!,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-136,13,The Full Transformer Architecture,"Scaling laws (Kaplan et al., 2020): Performance improves smoothly with:",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-137,13,The Full Transformer Architecture,- GPT-2 (2019): 1.5B parameters,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-138,13,The Full Transformer Architecture,- GPT-3 (2020): 175B parameters,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-139,13,The Full Transformer Architecture,- GPT-4 (2023): ~1.7T parameters (estimated),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-140,13,Efficient Transformers,"Sparse attention (Child et al., 2019): Only attend to subset of positions",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-141,13,Efficient Transformers,"Linformer (Wang et al., 2020): Project keys/values to lower dimension",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-142,13,Efficient Transformers,"Flash Attention (Dao et al., 2022): Optimize memory access patterns",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-143,13,Reinforcement Learning: Learning by Doing,- AlphaGo beating world champion (2016),REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-144,13,Reinforcement Learning: Learning by Doing,- OpenAI Five beating Dota 2 pros (2018),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-145,13,Reinforcement Learning: Learning by Doing,- AlphaStar mastering StarCraft II (2019),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-146,13,Reinforcement Learning: Learning by Doing,- ChatGPT's human-like responses (2022),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-147,13,Q-Learning: The Classic Algorithm,"Q-learning (Watkins, 1989): Learn Q-function through experience",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-148,13,Deep Q-Networks (DQN),"Solution (Mnih et al., 2015): Approximate Q with neural network",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-149,13,Policy Gradient Methods,"REINFORCE (Williams, 1992): Increase probability of actions that led to high reward",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-150,13,Proximal Policy Optimization (PPO),"PPO (Schulman et al., 2017): Current state-of-the-art policy gradient method.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-151,13,AlphaGo: Putting It All Together,AlphaGo: Putting It All Together,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-152,13,AlphaGo: Putting It All Together,AlphaGo combined multiple techniques:,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-153,13,AlphaGo: Putting It All Together,- AlphaGo beat Lee Sedol 4-1 (2016),REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-154,13,AlphaGo: Putting It All Together,"- AlphaGo Zero learned from scratch, beat AlphaGo 100-0 (2017)",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,silver2016alphago,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-155,13,AlphaGo: Putting It All Together,- AlphaZero generalized to chess and shogi (2017),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-156,13,Big Data Algorithms: Computing at Planetary Scale,"When Google processes 8.5 billion searches per day, Facebook handles 4 petabytes of new data daily, and Netflix streams 250 million hours of video daily, traditional algorithms break down.",REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-157,13,The Problem,Reality in 2004 (when Google invented MapReduce):,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dean2004mapreduce,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-158,13,The MapReduce Paradigm,"- Google runs MapReduce on 100,000+ machines",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dean2004mapreduce,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-159,13,MapReduce Algorithms,Inverted index (Google Search):,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-160,13,Limitations and Evolution,Apache Spark (2012): In-memory successor,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-161,13,Limitations and Evolution,Apache Flink (2014): True streaming,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-162,13,Count-Min Sketch,"Count-Min Sketch (Cormode & Muthukrishnan, 2005):",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,cormode2005countmin,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-163,13,Count-Min Sketch,Real deployment: Google uses Count-Min Sketch in their data centers for monitoring.,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,cormode2005countmin,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-164,13,HyperLogLog,"HyperLogLog (Flajolet et al., 2007):",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,flajolet2007hyperloglog,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-165,13,HyperLogLog,- Reddit uses HyperLogLog for unique visitor counts,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,flajolet2007hyperloglog,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-166,13,HyperLogLog,- Azure CosmosDB uses it internally,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-167,13,Bloom Filters,"Bloom Filter (Bloom, 1970):",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,bloom1970filter,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-168,13,Bloom Filters,Chrome's Safe Browsing: Uses Bloom filter to check 1M+ malicious URLs locally before querying Google's servers.,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,bloom1970filter,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-169,13,Pregel: Thinking Like a Vertex,"Pregel (Google, 2010): Framework for graph algorithms on billions of nodes.",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,malewicz2010pregel,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-170,13,Pregel: Thinking Like a Vertex,"Deployed at: Google (Pregel), Facebook (Apache Giraph), Twitter (Cassovary)",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,malewicz2010pregel,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-171,13,The Problem That Seemed Impossible,"Before 1976, secret communication required shared secret keys. If Alice and Bob wanted secure communication:",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-172,13,The Problem That Seemed Impossible,"The miracle: Public-key cryptography (Diffie-Hellman 1976, RSA 1977)",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-173,13,RSA: The Algorithm That Secured the Internet,"RSA (Rivest, Shamir, Adleman, 1977) is based on a simple idea: multiplying primes is easy, factoring is hard.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-174,13,RSA: The Algorithm That Secured the Internet,For 2048-bit N: Would take millions of years with current computers.,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-175,13,The Quantum Threat to RSA,Shor's algorithm (1994): Quantum computer can factor N in polynomial time: O((log N)³).,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,shor1997factoring,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-176,13,The Quantum Threat to RSA,- 2012: Factor 21 using quantum computer,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-177,13,The Quantum Threat to RSA,- 2019: Factor 35 (still pathetic),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-178,13,The Quantum Threat to RSA,- 2024: Still nowhere near breaking real RSA,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-179,13,The Quantum Threat to RSA,- But: Cryptographically relevant quantum computers might arrive by 2030-2035,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-180,13,The Quantum Threat to RSA,The response: NIST's post-quantum cryptography standardization (completed 2024).,REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,nist2024pqc,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-181,13,The Byzantine Generals Problem,"Byzantine Generals Problem (Lamport, 1982):",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-182,13,Bitcoin's Proof-of-Work,Bitcoin's Proof-of-Work,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-183,13,Bitcoin's Proof-of-Work,Why this secures Bitcoin:,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-184,13,The Energy Cost,Current state (2024):,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-185,13,The Energy Cost,- Bitcoin network: ~400 EH/s (exahashes per second = 10^18),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-186,13,Alternative Consensus: Proof-of-Stake,"Proof-of-Stake (Ethereum 2.0, 2022): Validators chosen based on stake (how much cryptocurrency they hold), not computational work.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-187,13,Alternative Consensus: Proof-of-Stake,"Results: Ethereum's ""Merge"" (Sept 2022) reduced energy consumption from 112 TWh/year to 0.01 TWh/year.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-188,13,Interactive Zero-Knowledge,"Original protocol (Goldwasser, Micali, Rackoff, 1985):",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-189,13,Case Study: Tesla Autopilot,"March 2018: Tesla Model X on Autopilot crashes into highway barrier, killing driver.",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-190,13,Case Study: Tesla Autopilot,Current state: No clear legal framework. Liability unclear. Regulations being developed.,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-191,13,Case Study: Algorithmic Hiring,Amazon's hiring algorithm (disclosed 2018):,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-192,13,Case Study: Algorithmic Hiring,Amazon's response: Discontinued the tool.,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-193,13,Case Study: Cambridge Analytica,What happened (2018 disclosure):,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-194,13,Case Study: Cambridge Analytica,- Microtargeted political ads in 2016 elections,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-195,13,Case Study: Cambridge Analytica,- Proposed federal regulations (U.S.),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-196,13,Autonomous Weapons,- Many AI researchers oppose autonomous weapons,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-197,13,Predictive Policing,- Lum & Isaac (2016): Showed predictive policing amplifies bias,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-198,13,Predictive Policing,- Oakland Police discontinued use (2018),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-199,13,Predictive Policing,- LAPD scaled back program (2020),REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-200,13,Risk Assessment,ProPublica investigation (2016):,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-201,13,Where to Find Papers,- Google Scholar: Search engine for papers,REQUIRES SOURCE,GENERALIZED OR REMOVED,,RESOLVED,Volatile illustrative claim does not remain as an unsupported factual assertion.
CLAIM-202,13,Example Paper Choices,"- Lykouris & Vassilvitskii (2018): ""Competitive Caching with Machine Learned Advice""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-203,13,Example Paper Choices,"- Dwork et al. (2014): ""The Algorithmic Foundations of Differential Privacy""",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,dwork2006privacy,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-204,13,Example Paper Choices,"- Cohen et al. (2017): ""Sketching and Streaming Algorithms for Analyzing Massive Graphs""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-205,13,Example Paper Choices,"- Harrow et al. (2009): ""Quantum Algorithm for Linear Systems of Equations"" (HHL)",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-206,13,Example Paper Choices,"- Vaswani et al. (2017): ""Attention is All You Need"" (Transformers)",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,vaswani2017attention,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-207,13,Example Paper Choices,"- He et al. (2015): ""Deep Residual Learning for Image Recognition"" (ResNet)",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-208,13,Example Paper Choices,"- Hardt et al. (2016): ""Equality of Opportunity in Supervised Learning""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-209,13,Analysis,4. Paper Reading: Choose a paper from STOC/FOCS/SODA 2023. Apply the three-pass method. Write a 5-page analysis.,REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-210,13,Papers (Foundational),"- Spielman & Teng (2001): ""Smoothed Analysis of Algorithms""",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,spielman2004smoothed,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-211,13,Papers (Foundational),"- Muthukrishnan (2005): ""Data Streams: Algorithms and Applications""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
CLAIM-212,13,Papers (Foundational),"- Vaswani et al. (2017): ""Attention is All You Need""",REQUIRES SOURCE,SOURCE INTEGRATED OR CLAIM QUALIFIED,vaswani2017attention,RESOLVED,Verified production bibliography entry; citation applied at the governing discussion.
CLAIM-213,13,Papers (Foundational),"- Goodfellow et al. (2014): ""Generative Adversarial Networks""",REQUIRES SOURCE,EDITORIAL CLASSIFICATION,,RESOLVED,Expository/basic algorithm statement retained without a claim-level citation; primary citations added at foundational sections.
