block_id,chapter,section,semantic_type,source_file,source_lines,expected_to_render,pdf_start_page,pdf_end_page,first_meaningful_line_found,last_meaningful_line_found,visible_content_found,verification_method,status
ch03-b019,3,Fibonacci Heaps - Theoretical Optimality,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1402-1493,YES,172,173,YES,YES,YES,first and last source signatures,PASS
ch03-b020,3,Skip Lists - Probabilistic Balance,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1497-1583,YES,31,175,YES,YES,YES,first and last source signatures,PASS
ch03-b021,3,Bloom Filters - Space-Efficient Membership,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1587-1654,YES,168,176,YES,YES,YES,first and last source signatures,PASS
ch03-b022,3,Building a Production-Ready Library,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1662-1673,YES,177,177,YES,YES,YES,first and last source signatures,PASS
ch03-b023,3,Comprehensive Testing Suite,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1677-1787,YES,177,179,YES,YES,YES,first and last source signatures,PASS
ch03-b024,3,Performance Benchmarking Framework,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1791-1914,YES,179,525,YES,YES,YES,first and last source signatures,PASS
ch03-b025,3,Real-World Application: LRU Cache,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,1918-2038,YES,181,183,YES,YES,YES,first and last source signatures,PASS
ch03-b026,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2056-2068,YES,184,184,YES,YES,YES,first and last source signatures,PASS
ch03-b027,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2072-2084,YES,184,184,YES,YES,YES,first and last source signatures,PASS
ch03-b028,3,Implementation Problems,program-code,chapters/03-Data-Structures-for-Efficiency.qmd,2088-2100,YES,185,185,YES,YES,YES,first and last source signatures,PASS
ch04-b001,4,Implementation and Proof,program-code,chapters/04-Greedy-Algorithms.qmd,163-234,YES,191,192,YES,YES,YES,first and last source signatures,PASS
ch04-b002,4,Weighted Activity Selection,program-code,chapters/04-Greedy-Algorithms.qmd,240-272,YES,192,193,YES,YES,YES,first and last source signatures,PASS
ch04-b003,4,Interval Partitioning,program-code,chapters/04-Greedy-Algorithms.qmd,278-352,YES,193,338,YES,YES,YES,first and last source signatures,PASS
ch04-b004,4,Building the Huffman Tree,program-code,chapters/04-Greedy-Algorithms.qmd,368-559,YES,51,198,YES,YES,YES,first and last source signatures,PASS
ch04-b005,4,Example: Compressing Text,program-code,chapters/04-Greedy-Algorithms.qmd,563-598,YES,198,199,YES,YES,YES,first and last source signatures,PASS
ch04-b006,4,Kruskal's Algorithm - Edge-Centric Greedy,program-code,chapters/04-Greedy-Algorithms.qmd,617-706,YES,199,201,YES,YES,YES,first and last source signatures,PASS
ch04-b007,4,Prim's Algorithm - Vertex-Centric Greedy,program-code,chapters/04-Greedy-Algorithms.qmd,710-824,YES,201,203,YES,YES,YES,first and last source signatures,PASS
ch04-b008,4,MST Properties and Proofs,program-code,chapters/04-Greedy-Algorithms.qmd,828-884,YES,203,346,YES,YES,YES,first and last source signatures,PASS
ch04-b009,4,Single-Source Shortest Paths,program-code,chapters/04-Greedy-Algorithms.qmd,894-1093,YES,204,208,YES,YES,YES,first and last source signatures,PASS
ch04-b010,4,Common Pitfalls,program-code,chapters/04-Greedy-Algorithms.qmd,1101-1193,YES,208,210,YES,YES,YES,first and last source signatures,PASS
ch04-b011,4,Proving Greedy Correctness,program-code,chapters/04-Greedy-Algorithms.qmd,1197-1278,YES,210,346,YES,YES,YES,first and last source signatures,PASS
ch04-b012,4,Comprehensive Implementation,program-code,chapters/04-Greedy-Algorithms.qmd,1286-1448,YES,212,214,YES,YES,YES,first and last source signatures,PASS
ch04-b013,4,Testing and Benchmarking,program-code,chapters/04-Greedy-Algorithms.qmd,1452-1569,YES,215,389,YES,YES,YES,first and last source signatures,PASS
ch04-b014,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1587-1601,YES,217,217,YES,YES,YES,first and last source signatures,PASS
ch04-b015,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1605-1618,YES,218,218,YES,YES,YES,first and last source signatures,PASS
ch04-b016,4,Implementation Problems,program-code,chapters/04-Greedy-Algorithms.qmd,1622-1636,YES,218,218,YES,YES,YES,first and last source signatures,PASS
ch05-b001,5,Fibonacci: A Cautionary Tale,technical-other,chapters/05-Dynamic-Programming.qmd,78-84,YES,223,223,YES,YES,YES,first and last source signatures,PASS
ch05-b002,5,Fibonacci: A Cautionary Tale,program-code,chapters/05-Dynamic-Programming.qmd,88-112,YES,224,224,YES,YES,YES,first and last source signatures,PASS
ch05-b003,5,Fibonacci: A Cautionary Tale,program-code,chapters/05-Dynamic-Programming.qmd,116-124,YES,224,224,YES,YES,YES,first and last source signatures,PASS
ch05-b004,5,Counting the Catastrophe,technical-other,chapters/05-Dynamic-Programming.qmd,145-151,YES,225,225,YES,YES,YES,first and last source signatures,PASS
ch05-b005,5,Enter Dynamic Programming: Memoization,program-code,chapters/05-Dynamic-Programming.qmd,174-205,YES,226,226,YES,YES,YES,first and last source signatures,PASS
ch05-b006,5,Enter Dynamic Programming: Memoization,program-code,chapters/05-Dynamic-Programming.qmd,215-220,YES,226,226,YES,YES,YES,first and last source signatures,PASS
ch05-b007,5,The Two Fundamental Properties,technical-other,chapters/05-Dynamic-Programming.qmd,241-245,YES,227,227,YES,YES,YES,first and last source signatures,PASS
ch05-b008,5,The Two Fundamental Properties,technical-other,chapters/05-Dynamic-Programming.qmd,251-258,YES,227,233,YES,YES,YES,first and last source signatures,PASS
ch05-b009,5,Tabulation: The Bottom-Up Alternative,program-code,chapters/05-Dynamic-Programming.qmd,266-301,YES,227,288,YES,YES,YES,first and last source signatures,PASS
ch05-b010,5,Tabulation: The Bottom-Up Alternative,technical-other,chapters/05-Dynamic-Programming.qmd,305-316,YES,228,228,YES,YES,YES,first and last source signatures,PASS
ch05-b011,5,Space Optimization: Using Only What You Need,program-code,chapters/05-Dynamic-Programming.qmd,336-359,YES,229,229,YES,YES,YES,first and last source signatures,PASS
ch05-b012,5,A Systematic Approach to DP Problems,technical-other,chapters/05-Dynamic-Programming.qmd,428-437,YES,231,231,YES,YES,YES,first and last source signatures,PASS
ch05-b013,5,A Systematic Approach to DP Problems,technical-other,chapters/05-Dynamic-Programming.qmd,441-447,YES,231,235,YES,YES,YES,first and last source signatures,PASS
ch05-b014,5,Step 1: Characterize the Structure of Optimal Solutions,technical-other,chapters/05-Dynamic-Programming.qmd,468-482,YES,232,232,YES,YES,YES,first and last source signatures,PASS
ch05-b015,5,Step 2: Define the Recurrence Relation Precisely,algorithm,chapters/05-Dynamic-Programming.qmd,490-505,YES,232,232,YES,YES,YES,first and last source signatures,PASS
ch05-b016,5,Step 3: Identify Overlapping Subproblems,technical-other,chapters/05-Dynamic-Programming.qmd,511-527,YES,233,233,YES,YES,YES,first and last source signatures,PASS
ch05-b017,5,Step 4: Implement Bottom-Up (Tabulation),program-code,chapters/05-Dynamic-Programming.qmd,535-580,YES,233,235,YES,YES,YES,first and last source signatures,PASS
ch05-b018,5,Step 4: Implement Bottom-Up (Tabulation),technical-other,chapters/05-Dynamic-Programming.qmd,584-597,YES,234,234,YES,YES,YES,first and last source signatures,PASS
ch05-b019,5,Step 5: Extract the Solution (Which Items to Take),program-code,chapters/05-Dynamic-Programming.qmd,611-649,YES,234,235,YES,YES,YES,first and last source signatures,PASS
ch05-b020,5,Step 5: Extract the Solution (Which Items to Take),technical-other,chapters/05-Dynamic-Programming.qmd,653-672,YES,235,235,YES,YES,YES,first and last source signatures,PASS
ch05-b021,5,Step 6: Optimize Space (When Possible),program-code,chapters/05-Dynamic-Programming.qmd,678-710,YES,236,236,YES,YES,YES,first and last source signatures,PASS
ch05-b022,5,Step 6: Optimize Space (When Possible),program-code,chapters/05-Dynamic-Programming.qmd,714-732,YES,237,237,YES,YES,YES,first and last source signatures,PASS
ch05-b023,5,The Longest Common Subsequence (LCS) Problem,technical-other,chapters/05-Dynamic-Programming.qmd,780-786,YES,238,238,YES,YES,YES,first and last source signatures,PASS
ch05-b024,5,Developing the Solution,inline-example,chapters/05-Dynamic-Programming.qmd,836-838,YES,239,239,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch05-b025,5,Developing the Solution,technical-other,chapters/05-Dynamic-Programming.qmd,846-851,YES,239,239,YES,YES,YES,first and last source signatures,PASS
ch05-b026,5,Matrix Chain Implementation,program-code,chapters/05-Dynamic-Programming.qmd,861-924,YES,240,241,YES,YES,YES,first and last source signatures,PASS
ch05-b027,5,Tracing Through an Example,program-code,chapters/05-Dynamic-Programming.qmd,928-948,YES,241,241,YES,YES,YES,first and last source signatures,PASS
ch05-b028,5,1. Interval DP,program-code,chapters/05-Dynamic-Programming.qmd,976-1011,YES,242,242,YES,YES,YES,first and last source signatures,PASS
ch05-b029,5,2. Tree DP,program-code,chapters/05-Dynamic-Programming.qmd,1017-1040,YES,243,243,YES,YES,YES,first and last source signatures,PASS
ch05-b030,5,3. Digit DP,program-code,chapters/05-Dynamic-Programming.qmd,1046-1079,YES,243,244,YES,YES,YES,first and last source signatures,PASS
ch05-b031,5,1. Rolling Array,program-code,chapters/05-Dynamic-Programming.qmd,1087-1099,YES,244,244,YES,YES,YES,first and last source signatures,PASS
ch05-b032,5,2. State Compression,program-code,chapters/05-Dynamic-Programming.qmd,1105-1144,YES,209,575,YES,YES,YES,first and last source signatures,PASS
ch05-b033,5,3. Divide and Conquer Optimization,program-code,chapters/05-Dynamic-Programming.qmd,1150-1158,YES,245,245,YES,YES,YES,first and last source signatures,PASS
ch05-b034,5,Project Structure,text-diagram,chapters/05-Dynamic-Programming.qmd,1189-1219,YES,4,247,YES,YES,YES,first and last source signatures,PASS
ch05-b035,5,Core Implementation: DP Base Class,program-code,chapters/05-Dynamic-Programming.qmd,1223-1378,YES,246,249,YES,YES,YES,first and last source signatures,PASS
ch05-b036,5,Example: Knapsack Implementation,program-code,chapters/05-Dynamic-Programming.qmd,1382-1469,YES,250,251,YES,YES,YES,first and last source signatures,PASS
ch05-b037,5,Visualization Component,program-code,chapters/05-Dynamic-Programming.qmd,1473-1566,YES,251,253,YES,YES,YES,first and last source signatures,PASS
ch05-b038,5,Real-World Example: DNA Alignment Tool,program-code,chapters/05-Dynamic-Programming.qmd,1570-1669,YES,247,525,YES,YES,YES,first and last source signatures,PASS
ch05-b039,5,Testing Suite,program-code,chapters/05-Dynamic-Programming.qmd,1673-1780,YES,246,389,YES,YES,YES,first and last source signatures,PASS
ch05-b040,5,Programming Problems,program-code,chapters/05-Dynamic-Programming.qmd,1798-1810,YES,258,258,YES,YES,YES,first and last source signatures,PASS
ch05-b041,5,Programming Problems,program-code,chapters/05-Dynamic-Programming.qmd,1814-1826,YES,258,258,YES,YES,YES,first and last source signatures,PASS
ch05-b042,5,Programming Problems,program-code,chapters/05-Dynamic-Programming.qmd,1830-1842,YES,258,258,YES,YES,YES,first and last source signatures,PASS
ch05-b043,5,Implementation Challenges,program-code,chapters/05-Dynamic-Programming.qmd,1848-1860,YES,259,259,YES,YES,YES,first and last source signatures,PASS
ch05-b044,5,Implementation Challenges,program-code,chapters/05-Dynamic-Programming.qmd,1864-1872,YES,259,259,YES,YES,YES,first and last source signatures,PASS
ch05-b045,5,Implementation Challenges,program-code,chapters/05-Dynamic-Programming.qmd,1876-1887,YES,259,259,YES,YES,YES,first and last source signatures,PASS
ch06-b001,6,The Implementation,program-code,chapters/06-Randomized-Algorithms.qmd,232-253,YES,31,267,YES,YES,YES,first and last source signatures,PASS
ch06-b002,6,How Miller-Rabin Works (Intuitive Explanation),program-code,chapters/06-Randomized-Algorithms.qmd,312-367,YES,268,269,YES,YES,YES,first and last source signatures,PASS
ch06-b003,6,The Birthday Paradox: When Intuition Fails,program-code,chapters/06-Randomized-Algorithms.qmd,417-451,YES,270,271,YES,YES,YES,first and last source signatures,PASS
ch06-b004,6,Amplification: Making Algorithms More Reliable,program-code,chapters/06-Randomized-Algorithms.qmd,470-499,YES,271,271,YES,YES,YES,first and last source signatures,PASS
ch06-b005,6,The Implementation,program-code,chapters/06-Randomized-Algorithms.qmd,560-597,YES,31,273,YES,YES,YES,first and last source signatures,PASS
ch06-b006,6,The Carter-Wegman Construction,inline-example,chapters/06-Randomized-Algorithms.qmd,664-666,YES,275,275,YES,YES,YES,first and last source signatures,PASS
ch06-b007,6,The Carter-Wegman Construction,program-code,chapters/06-Randomized-Algorithms.qmd,676-777,YES,31,277,YES,YES,YES,first and last source signatures,PASS
ch06-b008,6,Understanding Bloom Filter Parameters,program-code,chapters/06-Randomized-Algorithms.qmd,827-963,YES,31,280,YES,YES,YES,first and last source signatures,PASS
ch06-b009,6,Why It Works (Intuitive Explanation),program-code,chapters/06-Randomized-Algorithms.qmd,1012-1100,YES,31,282,YES,YES,YES,first and last source signatures,PASS
ch06-b010,6,The Solution: Count-Min Sketch,program-code,chapters/06-Randomized-Algorithms.qmd,1122-1220,YES,283,285,YES,YES,YES,first and last source signatures,PASS
ch06-b011,6,Expected Value: The Average Case,algorithm,chapters/06-Randomized-Algorithms.qmd,1261-1267,YES,286,286,YES,YES,YES,first and last source signatures,PASS
ch06-b012,6,Chernoff Bounds: Much Stronger Guarantees,program-code,chapters/06-Randomized-Algorithms.qmd,1310-1426,YES,31,288,YES,YES,YES,first and last source signatures,PASS
ch06-b013,6,The Elegant Randomized Solution,program-code,chapters/06-Randomized-Algorithms.qmd,1462-1594,YES,31,291,YES,YES,YES,first and last source signatures,PASS
ch06-b014,6,Estimating π with Random Points,program-code,chapters/06-Randomized-Algorithms.qmd,1618-1675,YES,31,293,YES,YES,YES,first and last source signatures,PASS
ch06-b015,6,The Problem,program-code,chapters/06-Randomized-Algorithms.qmd,1699-1752,YES,294,294,YES,YES,YES,first and last source signatures,PASS
ch06-b016,6,A/B Testing with Statistical Significance,program-code,chapters/06-Randomized-Algorithms.qmd,1758-1858,YES,295,296,YES,YES,YES,first and last source signatures,PASS
ch07-b001,7,Boolean Satisfiability (SAT),technical-other,chapters/07-Computational-Complexity.qmd,286-298,YES,306,306,YES,YES,YES,first and last source signatures,PASS
ch07-b002,7,The Knapsack Problem (Decision Version),technical-other,chapters/07-Computational-Complexity.qmd,338-349,YES,307,307,YES,YES,YES,first and last source signatures,PASS
ch07-b003,7,3-SAT: The Special Case,inline-example,chapters/07-Computational-Complexity.qmd,377-381,YES,307,307,YES,YES,YES,first and last source signatures,PASS
ch07-b004,7,The Clique Problem,technical-other,chapters/07-Computational-Complexity.qmd,395-400,YES,307,307,YES,YES,YES,first and last source signatures,PASS
ch07-b005,7,Step 1: Show Vertex Cover is in NP,program-code,chapters/07-Computational-Complexity.qmd,425-437,YES,308,308,YES,YES,YES,first and last source signatures,PASS
ch07-b006,7,Step 3: Construct the Reduction,text-diagram,chapters/07-Computational-Complexity.qmd,450-458,YES,309,309,YES,YES,YES,first and last source signatures,PASS
ch07-b007,7,Step 3: Construct the Reduction,inline-example,chapters/07-Computational-Complexity.qmd,461-465,YES,309,309,YES,YES,YES,first and last source signatures,PASS
ch07-b008,7,Example: 2-Approximation for Vertex Cover,program-code,chapters/07-Computational-Complexity.qmd,498-520,YES,310,325,YES,YES,YES,first and last source signatures,PASS
ch07-b009,7,Example: SAT Solvers,program-code,chapters/07-Computational-Complexity.qmd,555-590,YES,311,311,YES,YES,YES,first and last source signatures,PASS
ch07-b010,7,Strategy 5: Randomization,program-code,chapters/07-Computational-Complexity.qmd,600-623,YES,312,312,YES,YES,YES,first and last source signatures,PASS
ch07-b011,7,The Complexity Hierarchy,text-diagram,chapters/07-Computational-Complexity.qmd,728-744,YES,314,314,YES,YES,YES,first and last source signatures,PASS
ch07-b012,7,Implementation Exercises,program-code,chapters/07-Computational-Complexity.qmd,847-868,YES,316,316,YES,YES,YES,first and last source signatures,PASS
ch07-b013,7,Implementation Exercises,program-code,chapters/07-Computational-Complexity.qmd,873-891,YES,316,336,YES,YES,YES,first and last source signatures,PASS
ch07-b014,7,Implementation Exercises,program-code,chapters/07-Computational-Complexity.qmd,896-904,YES,317,317,YES,YES,YES,first and last source signatures,PASS
ch08-b001,8,The Lemonade Stand Location Problem,program-code,chapters/08-Approximation-Algorithms.qmd,80-110,YES,322,322,YES,YES,YES,first and last source signatures,PASS
ch08-b002,8,The Naive Approach,program-code,chapters/08-Approximation-Algorithms.qmd,202-221,YES,325,325,YES,YES,YES,first and last source signatures,PASS
ch08-b003,8,The Greedy 2-Approximation,program-code,chapters/08-Approximation-Algorithms.qmd,229-270,YES,310,326,YES,YES,YES,first and last source signatures,PASS
ch08-b004,8,Why This is a 2-Approximation,technical-other,chapters/08-Approximation-Algorithms.qmd,289-294,YES,326,326,YES,YES,YES,first and last source signatures,PASS
ch08-b005,8,An Improved Algorithm: Maximum Matching,program-code,chapters/08-Approximation-Algorithms.qmd,298-317,YES,327,327,YES,YES,YES,first and last source signatures,PASS
ch08-b006,8,Can We Do Better Than 2?,program-code,chapters/08-Approximation-Algorithms.qmd,325-357,YES,327,328,YES,YES,YES,first and last source signatures,PASS
ch08-b007,8,The 2-Approximation Algorithm,program-code,chapters/08-Approximation-Algorithms.qmd,378-461,YES,328,330,YES,YES,YES,first and last source signatures,PASS
ch08-b008,8,Christofides Algorithm: 1.5-Approximation,program-code,chapters/08-Approximation-Algorithms.qmd,487-592,YES,330,332,YES,YES,YES,first and last source signatures,PASS
ch08-b009,8,The Greedy Algorithm,program-code,chapters/08-Approximation-Algorithms.qmd,616-663,YES,316,334,YES,YES,YES,first and last source signatures,PASS
ch08-b010,8,The Weighted Version,program-code,chapters/08-Approximation-Algorithms.qmd,685-724,YES,334,335,YES,YES,YES,first and last source signatures,PASS
ch08-b011,8,MAX-CUT: A Simple Randomized Algorithm,program-code,chapters/08-Approximation-Algorithms.qmd,751-821,YES,31,337,YES,YES,YES,first and last source signatures,PASS
ch08-b012,8,MAX-SAT: Randomized Rounding,program-code,chapters/08-Approximation-Algorithms.qmd,833-889,YES,337,338,YES,YES,YES,first and last source signatures,PASS
ch08-b013,8,The Method of Conditional Expectations,program-code,chapters/08-Approximation-Algorithms.qmd,900-938,YES,338,339,YES,YES,YES,first and last source signatures,PASS
ch08-b014,8,Vertex Cover via LP Relaxation,program-code,chapters/08-Approximation-Algorithms.qmd,950-1010,YES,339,340,YES,YES,YES,first and last source signatures,PASS
ch08-b015,8,Set Cover via LP Relaxation,program-code,chapters/08-Approximation-Algorithms.qmd,1014-1059,YES,51,341,YES,YES,YES,first and last source signatures,PASS
ch08-b016,8,The Integrality Gap,technical-other,chapters/08-Approximation-Algorithms.qmd,1065-1067,YES,341,341,YES,YES,YES,first and last source signatures,PASS
ch08-b017,8,Knapsack: A Classic FPTAS,program-code,chapters/08-Approximation-Algorithms.qmd,1086-1152,YES,342,343,YES,YES,YES,first and last source signatures,PASS
ch08-b018,8,Euclidean TSP: A PTAS,program-code,chapters/08-Approximation-Algorithms.qmd,1163-1208,YES,343,344,YES,YES,YES,first and last source signatures,PASS
ch08-b019,8,Inapproximability Results,program-code,chapters/08-Approximation-Algorithms.qmd,1232-1281,YES,345,346,YES,YES,YES,first and last source signatures,PASS
ch08-b020,8,The PCP Theorem,program-code,chapters/08-Approximation-Algorithms.qmd,1287-1310,YES,346,346,YES,YES,YES,first and last source signatures,PASS
ch08-b021,8,APX-Completeness,program-code,chapters/08-Approximation-Algorithms.qmd,1316-1347,YES,346,347,YES,YES,YES,first and last source signatures,PASS
ch08-b022,8,A Complete Approximation Algorithm Toolkit,program-code,chapters/08-Approximation-Algorithms.qmd,1355-1448,YES,347,349,YES,YES,YES,first and last source signatures,PASS
ch08-b023,8,Implementation Problems,program-code,chapters/08-Approximation-Algorithms.qmd,1482-1501,YES,350,350,YES,YES,YES,first and last source signatures,PASS
ch08-b024,8,Implementation Problems,program-code,chapters/08-Approximation-Algorithms.qmd,1504-1519,YES,350,350,YES,YES,YES,first and last source signatures,PASS
ch09-b001,9,The Basic Idea,algorithm,chapters/09-Advanced-Graph-Algorithms.qmd,162-171,YES,360,360,YES,YES,YES,first and last source signatures,PASS
ch09-b002,9,Edmonds-Karp: Breadth-First Augmenting Paths,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,238-423,YES,361,364,YES,YES,YES,first and last source signatures,PASS
ch09-b003,9,The Algorithm,algorithm,chapters/09-Advanced-Graph-Algorithms.qmd,467-486,YES,366,366,YES,YES,YES,first and last source signatures,PASS
ch09-b004,9,The Algorithm,technical-other,chapters/09-Advanced-Graph-Algorithms.qmd,489-494,YES,366,366,YES,YES,YES,first and last source signatures,PASS
ch09-b005,9,The Algorithm,inline-example,chapters/09-Advanced-Graph-Algorithms.qmd,497-499,YES,366,366,YES,YES,YES,first and last source signatures,PASS
ch09-b006,9,Why Does This Work?,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,516-653,YES,51,369,YES,YES,YES,first and last source signatures,PASS
ch09-b007,9,Implementation,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,712-817,YES,370,372,YES,YES,YES,first and last source signatures,PASS
ch09-b008,9,Hall's Marriage Theorem,inline-example,chapters/09-Advanced-Graph-Algorithms.qmd,832-836,YES,372,372,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch09-b009,9,The Setup,inline-example,chapters/09-Advanced-Graph-Algorithms.qmd,865-867,YES,373,373,YES,YES,YES,first and last source signatures,PASS
ch09-b010,9,Successive Shortest Paths Algorithm,algorithm,chapters/09-Advanced-Graph-Algorithms.qmd,873-883,YES,373,373,YES,YES,YES,first and last source signatures,PASS
ch09-b011,9,Implementation,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,893-1043,YES,51,376,YES,YES,YES,first and last source signatures,PASS
ch09-b012,9,Cycle-Canceling Algorithm,algorithm,chapters/09-Advanced-Graph-Algorithms.qmd,1049-1054,YES,377,377,YES,YES,YES,first and last source signatures,PASS
ch09-b013,9,Architecture,text-diagram,chapters/09-Advanced-Graph-Algorithms.qmd,1142-1160,YES,5,378,YES,YES,YES,first and last source signatures,PASS
ch09-b014,9,Core Network Class,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1164-1299,YES,378,381,YES,YES,YES,first and last source signatures,PASS
ch09-b015,9,Algorithm Interface,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1303-1331,YES,349,382,YES,YES,YES,first and last source signatures,PASS
ch09-b016,9,Application: Matching Solver,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1335-1452,YES,378,384,YES,YES,YES,first and last source signatures,PASS
ch09-b017,9,Visualization Module,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1456-1568,YES,378,386,YES,YES,YES,first and last source signatures,PASS
ch09-b018,9,Command-Line Interface,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1572-1657,YES,386,388,YES,YES,YES,first and last source signatures,PASS
ch09-b019,9,Testing Suite,program-code,chapters/09-Advanced-Graph-Algorithms.qmd,1661-1738,YES,388,389,YES,YES,YES,first and last source signatures,PASS
ch10-b001,10,The Setup,technical-other,chapters/10-String-Processing-Algorithms.qmd,42-50,YES,393,393,YES,YES,YES,first and last source signatures,PASS
ch10-b002,10,The Naive Approach,program-code,chapters/10-String-Processing-Algorithms.qmd,56-80,YES,394,404,YES,YES,YES,first and last source signatures,PASS
ch10-b003,10,The Naive Approach,program-code,chapters/10-String-Processing-Algorithms.qmd,88-95,YES,394,394,YES,YES,YES,first and last source signatures,PASS
ch10-b004,10,The Big Idea,technical-other,chapters/10-String-Processing-Algorithms.qmd,115-132,YES,393,395,YES,YES,YES,first and last source signatures,PASS
ch10-b005,10,The Failure Function (Longest Proper Prefix-Suffix),technical-other,chapters/10-String-Processing-Algorithms.qmd,146-156,YES,395,395,YES,YES,YES,first and last source signatures,PASS
ch10-b006,10,The Failure Function (Longest Proper Prefix-Suffix),technical-other,chapters/10-String-Processing-Algorithms.qmd,160-171,YES,395,396,YES,YES,YES,first and last source signatures,PASS
ch10-b007,10,Computing the Failure Function,program-code,chapters/10-String-Processing-Algorithms.qmd,177-210,YES,396,400,YES,YES,YES,first and last source signatures,PASS
ch10-b008,10,Computing the Failure Function,technical-other,chapters/10-String-Processing-Algorithms.qmd,214-237,YES,397,397,YES,YES,YES,first and last source signatures,PASS
ch10-b009,10,The KMP Search Algorithm,program-code,chapters/10-String-Processing-Algorithms.qmd,245-287,YES,397,404,YES,YES,YES,first and last source signatures,PASS
ch10-b010,10,Complete KMP Example Trace,technical-other,chapters/10-String-Processing-Algorithms.qmd,293-336,YES,398,413,YES,YES,YES,first and last source signatures,PASS
ch10-b011,10,Full Implementation with Examples,program-code,chapters/10-String-Processing-Algorithms.qmd,345-526,YES,399,402,YES,YES,YES,first and last source signatures,PASS
ch10-b012,10,Rolling Hash Function,algorithm,chapters/10-String-Processing-Algorithms.qmd,549-555,YES,403,403,YES,YES,YES,first and last source signatures,PASS
ch10-b013,10,Rolling Hash Function,technical-other,chapters/10-String-Processing-Algorithms.qmd,558-564,YES,403,403,YES,YES,YES,first and last source signatures,PASS
ch10-b014,10,Rolling Hash Function,inline-example,chapters/10-String-Processing-Algorithms.qmd,567-569,YES,403,403,YES,YES,YES,first and last source signatures,PASS
ch10-b015,10,Dealing with Large Numbers,inline-example,chapters/10-String-Processing-Algorithms.qmd,575-577,YES,403,403,YES,YES,YES,first and last source signatures,PASS
ch10-b016,10,Implementation,program-code,chapters/10-String-Processing-Algorithms.qmd,585-818,YES,403,407,YES,YES,YES,first and last source signatures,PASS
ch10-b017,10,What's a Suffix?,technical-other,chapters/10-String-Processing-Algorithms.qmd,845-855,YES,408,408,YES,YES,YES,first and last source signatures,PASS
ch10-b018,10,Building a Suffix Array (Naive),program-code,chapters/10-String-Processing-Algorithms.qmd,875-893,YES,409,410,YES,YES,YES,first and last source signatures,PASS
ch10-b019,10,Building a Suffix Array Efficiently,program-code,chapters/10-String-Processing-Algorithms.qmd,903-1146,YES,409,424,YES,YES,YES,first and last source signatures,PASS
ch10-b020,10,Applications of Suffix Arrays,program-code,chapters/10-String-Processing-Algorithms.qmd,1151-1157,YES,414,414,YES,YES,YES,first and last source signatures,PASS
ch10-b021,10,Applications of Suffix Arrays,program-code,chapters/10-String-Processing-Algorithms.qmd,1160-1180,YES,414,414,YES,YES,YES,first and last source signatures,PASS
ch10-b022,10,What's a Suffix Tree?,terminal,chapters/10-String-Processing-Algorithms.qmd,1196-1206,YES,408,408,NO,NO,YES,section anchor plus full contact-sheet visual sweep; signatures extraction-limited,PASS
ch10-b023,10,DNA Sequence Matching,program-code,chapters/10-String-Processing-Algorithms.qmd,1233-1255,YES,416,416,YES,YES,YES,first and last source signatures,PASS
ch10-b024,10,DNA Sequence Matching,program-code,chapters/10-String-Processing-Algorithms.qmd,1258-1267,YES,416,416,YES,YES,YES,first and last source signatures,PASS
ch10-b025,10,Read Alignment,program-code,chapters/10-String-Processing-Algorithms.qmd,1273-1304,YES,416,417,YES,YES,YES,first and last source signatures,PASS
ch10-b026,10,Detecting Tandem Repeats,program-code,chapters/10-String-Processing-Algorithms.qmd,1310-1340,YES,417,418,YES,YES,YES,first and last source signatures,PASS
ch10-b027,10,Project Structure,text-diagram,chapters/10-String-Processing-Algorithms.qmd,1348-1386,YES,5,427,YES,YES,YES,first and last source signatures,PASS
ch10-b028,10,Core Library Implementation,program-code,chapters/10-String-Processing-Algorithms.qmd,1390-1415,YES,418,430,YES,YES,YES,first and last source signatures,PASS
ch10-b029,10,Core Library Implementation,program-code,chapters/10-String-Processing-Algorithms.qmd,1417-1682,YES,419,424,YES,YES,YES,first and last source signatures,PASS
